# {"t_start": 1640876024.600262, "env_id": "Office-single-v0"} 
r,l,t
0.0,11,0.001835
0.0,47,0.008799
0.0,33,0.014314
0.0,15,0.0164
0.0,46,0.022634
0.0,4,0.023231
0.0,24,0.026518
0.0,36,0.031559
0.0,46,0.037964
0.0,114,0.053998
0.0,36,0.058964
0.0,34,0.063643
0.0,54,0.071054
0.0,66,0.080097
0.0,18,0.082589
0.0,39,0.088005
0.0,52,0.095269
0.0,106,0.110133
0.0,27,0.113819
0.0,16,0.116025
0.0,57,0.1239
0.0,45,0.130302
0.0,90,0.143018
0.0,48,0.149603
0.0,59,0.157691
0.0,59,0.165924
0.0,2,0.166229
0.0,18,0.168715
0.0,42,0.174465
0.0,101,0.188275
0.0,51,0.19532
0.0,12,0.196996
0.0,84,0.20861
0.0,115,0.224433
0.0,16,0.226684
0.0,227,0.257218
0.0,39,0.262586
0.0,69,0.272032
0.0,90,0.284425
0.0,23,0.287631
0.0,42,0.293242
0.0,176,0.31742
0.0,140,0.336281
0.0,80,0.347242
0.0,5,0.347972
0.0,344,0.394909
0.0,229,0.426458
0.0,44,0.432724
0.0,308,0.474601
0.0,213,0.502751
1.0,883,0.622126
0.0,72,0.632212
0.0,124,0.648665
0.0,27,0.652486
0.0,88,0.664545
0.0,676,0.757106
0.0,54,0.764035
0.0,30,0.768163
0.0,26,0.771719
0.0,20,0.774516
0.0,6,0.775362
0.0,56,0.782861
0.0,70,0.792359
0.0,22,0.795386
0.0,188,0.819955
0.0,291,0.858803
0.0,293,0.898549
0.0,253,0.933063
1.0,375,0.983784
0.0,95,0.996712
0.0,70,1.006053
0.0,18,1.008507
1.0,179,1.032821
1.0,342,1.079031
0.0,215,1.108205
0.0,98,1.121574
1.0,216,1.151265
1.0,197,1.177719
0.0,46,1.18404
0.0,22,1.187043
0.0,7,1.188019
0.0,24,1.191281
0.0,27,1.194992
1.0,317,1.237882
0.0,102,1.251865
0.0,45,1.25798
0.0,2,1.258276
1.0,198,1.284955
1.0,259,1.320658
0.0,22,1.323614
1.0,185,1.348408
1.0,78,1.358952
0.0,9,1.360207
0.0,41,1.366035
1.0,210,1.394917
1.0,132,1.413191
0.0,98,1.426801
0.0,48,1.433399
1.0,88,1.445395
0.0,7,1.44643
0.0,32,1.450846
0.0,37,1.455924
0.0,72,1.465726
1.0,115,1.481266
0.0,224,1.511356
0.0,49,1.517853
1.0,225,1.548053
1.0,88,1.559948
1.0,115,1.57549
1.0,72,1.585169
1.0,164,1.607244
1.0,56,1.614789
0.0,89,1.62718
1.0,90,1.639583
0.0,23,1.642912
1.0,96,1.655985
1.0,45,1.661747
0.0,2,1.662053
0.0,69,1.671529
1.0,57,1.679261
0.0,84,1.690528
0.0,14,1.692351
1.0,62,1.70077
1.0,385,1.75151
1.0,129,1.76902
0.0,62,1.7774
0.0,61,1.785802
1.0,125,1.802721
0.0,29,1.806583
0.0,2,1.806892
1.0,145,1.826357
1.0,64,1.834866
1.0,88,1.846796
1.0,32,1.851137
0.0,28,1.854864
1.0,119,1.870903
0.0,29,1.874795
1.0,40,1.880138
1.0,71,1.889698
1.0,174,1.913186
0.0,43,1.919204
1.0,41,1.924743
1.0,33,1.929187
0.0,95,1.942331
1.0,50,1.94904
0.0,67,1.958186
0.0,54,1.965521
1.0,55,1.972982
1.0,64,1.982152
0.0,84,1.993374
1.0,44,1.99929
1.0,84,2.010551
0.0,27,2.014178
1.0,45,2.020274
0.0,4,2.020841
1.0,56,2.028414
1.0,29,2.032339
0.0,9,2.033603
0.0,19,2.036139
0.0,17,2.038301
1.0,38,2.043481
0.0,26,2.047042
0.0,7,2.048028
1.0,61,2.056288
1.0,113,2.07147
1.0,101,2.085238
1.0,33,2.089781
1.0,37,2.094801
0.0,2,2.095106
0.0,6,2.095949
0.0,35,2.100617
1.0,69,2.110011
1.0,39,2.115316
0.0,37,2.120263
1.0,31,2.1245
1.0,127,2.142434
0.0,70,2.152038
0.0,4,2.152628
1.0,34,2.157237
1.0,34,2.16186
1.0,40,2.167387
1.0,32,2.171727
1.0,42,2.177367
1.0,114,2.19274
1.0,44,2.198684
1.0,48,2.205138
1.0,34,2.209757
1.0,31,2.213971
0.0,11,2.215477
1.0,35,2.220217
1.0,31,2.224431
1.0,38,2.229589
1.0,33,2.234111
1.0,31,2.238321
1.0,33,2.242748
1.0,29,2.246702
1.0,32,2.251031
1.0,34,2.25558
1.0,29,2.25954
1.0,112,2.274571
1.0,29,2.278616
1.0,30,2.282689
1.0,32,2.287034
1.0,29,2.291035
1.0,30,2.295111
1.0,33,2.299573
1.0,33,2.304001
