episodes,steps,total reward
18,1000,0.0
27,2000,0.0
36,3000,1.0
44,4000,3.0
56,5000,3.0
61,6000,1.0
78,7000,5.0
90,8000,5.0
109,9000,12.0
121,10000,7.0
149,11000,20.0
169,12000,17.0
204,13000,23.0
237,14000,24.0
273,15000,27.0
313,16000,31.0
357,17000,34.0
413,18000,47.0
466,19000,45.0
525,20000,48.0
581,21000,49.0
638,22000,49.0
701,23000,50.0
762,24000,50.0
818,25000,47.0
873,26000,50.0
930,27000,49.0
988,28000,51.0
1043,29000,49.0
1098,30000,48.0
1160,31000,53.0
1220,32000,52.0
1274,33000,49.0
1330,34000,49.0
1393,35000,52.0
1450,36000,50.0
1502,37000,50.0
1561,38000,50.0
1625,39000,56.0
1690,40000,53.0
1754,41000,50.0
1810,42000,50.0
1870,43000,52.0
1927,44000,49.0
1986,45000,47.0
2046,46000,54.0
2105,47000,51.0
2166,48000,50.0
2229,49000,55.0
2286,50000,50.0
2346,51000,52.0
2406,52000,51.0
2465,53000,52.0
2521,54000,49.0
2578,55000,52.0
2640,56000,52.0
2694,57000,50.0
2757,58000,54.0
2813,59000,49.0
2873,60000,53.0
2928,61000,50.0
2986,62000,49.0
3045,63000,51.0
3106,64000,53.0
3166,65000,52.0
3222,66000,50.0
3278,67000,49.0
3332,68000,51.0
3390,69000,51.0
3449,70000,52.0
3508,71000,51.0
3564,72000,50.0
3625,73000,52.0
3685,74000,53.0
3745,75000,52.0
3802,76000,53.0
3858,77000,47.0
3918,78000,50.0
3974,79000,50.0
4038,80000,52.0
4098,81000,53.0
4158,82000,51.0
4218,83000,55.0
4273,84000,48.0
4333,85000,54.0
4389,86000,52.0
4449,87000,53.0
4508,88000,50.0
4562,89000,49.0
4618,90000,49.0
4677,91000,51.0
4737,92000,51.0
4797,93000,53.0
4856,94000,47.0
4916,95000,50.0
4973,96000,51.0
5033,97000,47.0
5093,98000,49.0
5155,99000,50.0
5214,100000,53.0
