episodes,steps,total reward
25,1000,0.0
41,2000,0.0
47,3000,0.0
51,4000,0.0
56,5000,0.0
59,6000,0.0
69,7000,0.0
78,8000,3.0
84,9000,4.0
98,10000,5.0
116,11000,15.0
156,12000,31.0
189,13000,24.0
229,14000,31.0
270,15000,33.0
310,16000,32.0
349,17000,28.0
391,18000,30.0
429,19000,31.0
468,20000,31.0
507,21000,31.0
549,22000,28.0
590,23000,33.0
626,24000,30.0
665,25000,32.0
709,26000,31.0
750,27000,32.0
789,28000,31.0
828,29000,33.0
866,30000,31.0
911,31000,30.0
952,32000,30.0
993,33000,31.0
1033,34000,31.0
1073,35000,34.0
1110,36000,30.0
1148,37000,33.0
1188,38000,32.0
1229,39000,30.0
1269,40000,33.0
1308,41000,33.0
1348,42000,32.0
1391,43000,30.0
1432,44000,33.0
1474,45000,33.0
1515,46000,29.0
1554,47000,33.0
1594,48000,33.0
1631,49000,31.0
1669,50000,31.0
1710,51000,31.0
1751,52000,32.0
1794,53000,30.0
1834,54000,31.0
1874,55000,32.0
1912,56000,32.0
1953,57000,32.0
1991,58000,33.0
2031,59000,33.0
2070,60000,31.0
2108,61000,34.0
2150,62000,29.0
2187,63000,33.0
2230,64000,31.0
2269,65000,33.0
2308,66000,34.0
2347,67000,33.0
2387,68000,33.0
2427,69000,32.0
2465,70000,32.0
2506,71000,32.0
2545,72000,31.0
2588,73000,30.0
2629,74000,31.0
2670,75000,32.0
2713,76000,32.0
2755,77000,30.0
2793,78000,30.0
2833,79000,32.0
2874,80000,31.0
2914,81000,34.0
2954,82000,32.0
2994,83000,33.0
3031,84000,33.0
3075,85000,30.0
3115,86000,32.0
3155,87000,32.0
3195,88000,29.0
3237,89000,31.0
3278,90000,32.0
3317,91000,31.0
3357,92000,32.0
3397,93000,32.0
3436,94000,31.0
3477,95000,30.0
3517,96000,32.0
3557,97000,28.0
3597,98000,31.0
3637,99000,30.0
3677,100000,32.0
