# {"t_start": 1641345959.4369674, "env_id": "Office-single-v0"} 
r,l,t
0.0,4,0.001099
0.0,30,0.005996
0.0,29,0.010595
0.0,22,0.014317
0.0,6,0.015311
0.0,15,0.0179
0.0,11,0.019739
0.0,62,0.029406
0.0,21,0.03271
0.0,9,0.034239
0.0,43,0.040856
0.0,27,0.045124
0.0,40,0.051414
0.0,83,0.064814
0.0,48,0.072028
0.0,25,0.075849
0.0,168,0.101628
0.0,20,0.104769
0.0,34,0.109936
0.0,60,0.119171
0.0,40,0.125381
0.0,41,0.131621
0.0,86,0.145029
0.0,89,0.15897
0.0,64,0.169104
0.0,84,0.182234
0.0,144,0.205063
0.0,52,0.213161
0.0,110,0.230495
0.0,107,0.247258
0.0,7,0.248392
0.0,144,0.27086
0.0,195,0.301092
0.0,67,0.31152
0.0,227,0.347488
0.0,259,0.388206
0.0,138,0.409445
0.0,126,0.428887
0.0,421,0.494124
0.0,64,0.504296
0.0,9,0.505757
0.0,431,0.574623
0.0,564,0.662463
0.0,177,0.69008
0.0,15,0.692499
0.0,578,0.781896
0.0,100,0.797664
0.0,626,0.895774
0.0,60,0.905057
0.0,153,0.928811
0.0,8,0.930123
0.0,18,0.93293
0.0,146,0.955884
0.0,77,0.968126
0.0,70,0.979273
0.0,75,0.990884
0.0,19,0.9939
0.0,164,1.019264
1.0,142,1.041337
1.0,116,1.059259
0.0,210,1.091896
1.0,159,1.117308
1.0,83,1.130275
1.0,40,1.136702
0.0,851,1.26995
1.0,56,1.279089
1.0,78,1.291409
1.0,375,1.349822
0.0,33,1.354965
0.0,82,1.367633
1.0,32,1.372761
1.0,33,1.377891
0.0,60,1.387227
1.0,57,1.396038
0.0,244,1.434532
1.0,50,1.442708
0.0,163,1.4682
1.0,27,1.472491
1.0,31,1.477359
1.0,26,1.481424
0.0,189,1.510636
0.0,8,1.511933
1.0,34,1.517342
1.0,344,1.571229
1.0,31,1.576188
1.0,58,1.585201
1.0,41,1.591932
1.0,30,1.596722
1.0,31,1.601615
0.0,28,1.605966
0.0,28,1.610454
1.0,29,1.615197
1.0,33,1.620414
1.0,37,1.62617
1.0,28,1.630618
1.0,25,1.634546
1.0,32,1.639596
1.0,25,1.643524
0.0,13,1.645575
1.0,29,1.650104
1.0,26,1.654195
1.0,32,1.659245
0.0,24,1.662978
1.0,25,1.666963
1.0,29,1.671525
1.0,25,1.675519
1.0,29,1.68006
1.0,30,1.684712
0.0,11,1.686413
1.0,27,1.690682
0.0,21,1.693963
1.0,28,1.698516
1.0,30,1.703192
1.0,28,1.707614
1.0,31,1.712522
1.0,27,1.716791
0.0,23,1.720371
1.0,33,1.725751
1.0,29,1.730297
1.0,27,1.734661
1.0,29,1.739202
0.0,23,1.742785
1.0,27,1.747025
1.0,25,1.751246
1.0,30,1.75621
0.0,11,1.757948
1.0,31,1.762976
1.0,25,1.76699
1.0,27,1.771207
1.0,25,1.775121
1.0,29,1.779668
0.0,9,1.781081
1.0,28,1.785504
1.0,31,1.79038
1.0,27,1.794641
0.0,6,1.795623
1.0,25,1.799526
0.0,4,1.800173
1.0,29,1.804691
1.0,28,1.809062
0.0,9,1.810508
0.0,26,1.814566
0.0,19,1.817563
1.0,29,1.822081
1.0,30,1.826776
1.0,25,1.830676
1.0,27,1.834958
0.0,133,1.85554
1.0,27,1.859801
1.0,28,1.864199
1.0,25,1.868162
1.0,31,1.873014
1.0,25,1.877017
1.0,25,1.880932
1.0,25,1.885233
1.0,30,1.890007
1.0,29,1.894679
1.0,28,1.899294
1.0,27,1.903673
1.0,27,1.907945
1.0,27,1.912259
1.0,25,1.916241
1.0,25,1.920316
1.0,33,1.925513
1.0,31,1.930382
1.0,28,1.934816
1.0,27,1.93916
1.0,32,1.944178
0.0,23,1.947826
1.0,29,1.952405
1.0,25,1.956366
1.0,28,1.960769
1.0,32,1.965831
1.0,25,1.969837
1.0,27,1.9741
1.0,25,1.978173
1.0,25,1.982142
0.0,21,1.985476
0.0,9,1.986898
1.0,25,1.990828
1.0,25,1.994787
0.0,17,1.997465
0.0,19,2.00048
1.0,27,2.00475
1.0,26,2.008835
1.0,26,2.012907
1.0,25,2.016918
0.0,9,2.018345
1.0,25,2.022302
1.0,31,2.027109
1.0,25,2.031106
1.0,27,2.035329
1.0,25,2.039239
1.0,25,2.043631
1.0,27,2.047907
1.0,28,2.052358
0.0,21,2.055708
1.0,28,2.060102
1.0,27,2.064513
1.0,31,2.069571
1.0,26,2.073789
0.0,10,2.075344
0.0,19,2.078234
1.0,29,2.082771
1.0,29,2.087628
1.0,27,2.091991
1.0,29,2.09656
0.0,8,2.097822
0.0,13,2.099844
1.0,26,2.103942
0.0,8,2.105242
1.0,26,2.10937
1.0,25,2.113341
1.0,29,2.117901
1.0,25,2.121848
1.0,31,2.126751
0.0,22,2.130243
0.0,13,2.132316
1.0,27,2.136585
1.0,27,2.140831
1.0,27,2.145084
1.0,27,2.149365
1.0,27,2.153655
0.0,8,2.15495
1.0,36,2.160619
1.0,35,2.166172
1.0,27,2.170402
1.0,26,2.174475
1.0,33,2.179673
1.0,29,2.184213
1.0,25,2.188182
1.0,30,2.192927
1.0,25,2.196978
0.0,4,2.197625
1.0,33,2.203211
1.0,27,2.207521
1.0,25,2.211542
1.0,31,2.216423
1.0,31,2.221301
1.0,29,2.226142
1.0,27,2.2304
1.0,26,2.234608
1.0,25,2.238537
1.0,28,2.24295
1.0,29,2.247787
1.0,31,2.252661
1.0,25,2.256697
1.0,29,2.261234
1.0,31,2.266089
1.0,32,2.271147
0.0,23,2.274762
1.0,27,2.279101
0.0,6,2.280069
0.0,8,2.281313
1.0,25,2.285304
1.0,28,2.28972
1.0,27,2.293979
1.0,27,2.298184
1.0,25,2.302166
1.0,25,2.306136
1.0,27,2.310675
1.0,25,2.314637
1.0,29,2.319211
0.0,26,2.32329
0.0,6,2.324249
1.0,29,2.328739
1.0,25,2.332641
1.0,25,2.336612
0.0,27,2.340806
1.0,27,2.345035
1.0,25,2.348927
1.0,28,2.353329
0.0,13,2.355443
1.0,29,2.36035
1.0,28,2.364719
1.0,29,2.369196
1.0,30,2.373984
1.0,25,2.377914
1.0,26,2.381967
1.0,30,2.386944
1.0,29,2.39164
1.0,25,2.395539
1.0,34,2.400816
1.0,25,2.404915
1.0,25,2.40892
1.0,27,2.413161
1.0,29,2.417693
1.0,25,2.421647
1.0,39,2.427764
1.0,35,2.433301
1.0,32,2.438339
1.0,27,2.442563
0.0,4,2.443208
0.0,9,2.44463
0.0,18,2.447483
1.0,25,2.451394
0.0,11,2.453121
1.0,29,2.45763
1.0,31,2.462466
1.0,29,2.467068
1.0,25,2.470966
1.0,32,2.475971
1.0,30,2.480679
0.0,13,2.48275
1.0,28,2.487198
1.0,30,2.491877
1.0,29,2.496443
