episodes,steps,total reward
22,1000,0.0
30,2000,0.0
36,3000,0.0
42,4000,0.0
48,5000,0.0
54,6000,0.0
63,7000,2.0
74,8000,4.0
90,9000,10.0
129,10000,33.0
167,11000,31.0
207,12000,30.0
248,13000,33.0
290,14000,31.0
326,15000,31.0
368,16000,32.0
405,17000,32.0
448,18000,32.0
486,19000,34.0
528,20000,26.0
568,21000,31.0
608,22000,31.0
647,23000,30.0
684,24000,32.0
727,25000,33.0
767,26000,30.0
809,27000,31.0
852,28000,30.0
891,29000,32.0
932,30000,31.0
973,31000,29.0
1006,32000,24.0
1048,33000,28.0
1085,34000,32.0
1127,35000,29.0
1164,36000,33.0
1205,37000,32.0
1245,38000,28.0
1287,39000,31.0
1326,40000,33.0
1366,41000,32.0
1405,42000,31.0
1443,43000,34.0
1484,44000,31.0
1524,45000,34.0
1562,46000,34.0
1601,47000,33.0
1642,48000,30.0
1683,49000,33.0
1724,50000,32.0
1764,51000,32.0
1804,52000,34.0
1844,53000,29.0
1882,54000,34.0
1922,55000,30.0
1964,56000,26.0
2006,57000,33.0
2045,58000,30.0
2084,59000,32.0
2128,60000,31.0
2164,61000,33.0
2203,62000,30.0
2242,63000,33.0
2280,64000,33.0
2321,65000,30.0
2363,66000,31.0
2403,67000,30.0
2442,68000,34.0
2480,69000,33.0
2521,70000,31.0
2563,71000,33.0
2605,72000,29.0
2646,73000,27.0
2686,74000,31.0
2727,75000,32.0
2767,76000,33.0
2804,77000,32.0
2846,78000,30.0
2886,79000,29.0
2925,80000,30.0
2966,81000,32.0
3007,82000,30.0
3047,83000,30.0
3085,84000,34.0
3126,85000,29.0
3164,86000,32.0
3204,87000,31.0
3240,88000,33.0
3284,89000,30.0
3326,90000,29.0
3365,91000,33.0
3408,92000,28.0
3449,93000,31.0
3486,94000,35.0
3525,95000,33.0
3564,96000,33.0
3604,97000,30.0
3645,98000,33.0
3686,99000,29.0
3725,100000,33.0
