# {"t_start": 1641723547.1488955, "env_id": "Office-single-v0"} 
r,l,t
0.0,44,0.009175
0.0,14,0.012049
0.0,5,0.013091
0.0,4,0.013923
0.0,33,0.020671
0.0,14,0.023463
0.0,40,0.031365
0.0,20,0.035413
0.0,4,0.03633
0.0,100,0.056554
0.0,14,0.059425
0.0,37,0.067
0.0,31,0.073127
0.0,26,0.078539
0.0,25,0.083324
0.0,55,0.094212
0.0,43,0.102682
0.0,52,0.112961
0.0,125,0.137916
0.0,129,0.16392
0.0,38,0.171568
0.0,93,0.190128
0.0,42,0.198474
0.0,76,0.21431
0.0,108,0.236468
0.0,20,0.240552
0.0,9,0.242416
0.0,198,0.281772
0.0,54,0.292519
0.0,2,0.292972
0.0,18,0.296541
0.0,145,0.325511
0.0,119,0.349127
0.0,12,0.351554
0.0,95,0.370477
0.0,189,0.408237
0.0,85,0.425586
0.0,24,0.430425
0.0,18,0.434116
0.0,561,0.54584
0.0,177,0.581163
0.0,620,0.705885
0.0,36,0.713129
0.0,45,0.722182
0.0,66,0.735214
0.0,971,0.928942
0.0,97,0.94831
0.0,293,1.006655
0.0,29,1.012671
0.0,866,1.186054
0.0,41,1.194255
0.0,140,1.222662
0.0,47,1.231993
0.0,76,1.247476
0.0,199,1.287764
0.0,35,1.294792
0.0,22,1.29911
0.0,138,1.32661
0.0,14,1.32951
0.0,172,1.363345
0.0,53,1.373827
0.0,6,1.375047
0.0,85,1.39188
0.0,13,1.394487
0.0,53,1.405169
0.0,55,1.416203
0.0,63,1.428813
1.0,125,1.454246
0.0,106,1.47539
1.0,211,1.517505
1.0,109,1.539026
0.0,69,1.552767
0.0,32,1.559136
1.0,91,1.577311
1.0,53,1.588009
0.0,73,1.602705
1.0,193,1.641991
1.0,38,1.650038
1.0,36,1.657223
1.0,263,1.709531
0.0,32,1.71592
1.0,30,1.721924
1.0,36,1.729108
1.0,36,1.736268
1.0,37,1.743732
1.0,38,1.75126
0.0,6,1.752481
0.0,13,1.755073
0.0,15,1.75806
1.0,28,1.763685
1.0,27,1.769133
1.0,29,1.774968
1.0,27,1.780393
1.0,29,1.786192
1.0,34,1.792963
1.0,30,1.798977
1.0,30,1.80518
1.0,34,1.811908
