episodes,steps,total reward
104,10000,0.0
162,20000,0.0
223,30000,0.0
287,40000,0.0
356,50000,0.0
404,60000,0.0
448,70000,0.0
492,80000,0.0
537,90000,0.0
588,100000,0.0
637,110000,0.0
695,120000,0.0
753,130000,0.0
796,140000,0.0
857,150000,0.0
913,160000,0.0
971,170000,0.0
1023,180000,0.0
1081,190000,0.0
1127,200000,0.0
1188,210000,0.0
1252,220000,0.0
1298,230000,0.0
1348,240000,0.0
1392,250000,0.0
1440,260000,0.0
1491,270000,0.0
1547,280000,0.0
1602,290000,0.0
1658,300000,0.0
1710,310000,0.0
1759,320000,0.0
1814,330000,0.0
1871,340000,0.0
1914,350000,0.0
1970,360000,0.0
2020,370000,0.0
2062,380000,0.0
2113,390000,0.0
2156,400000,0.0
2215,410000,0.0
2264,420000,0.0
2316,430000,0.0
2367,440000,0.0
2419,450000,0.0
2470,460000,0.0
2530,470000,0.0
2576,480000,0.0
2634,490000,0.0
2686,500000,0.0
2737,510000,0.0
2788,520000,0.0
2848,530000,0.0
2908,540000,0.0
2954,550000,0.0
3007,560000,0.0
3054,570000,0.0
3094,580000,0.0
3134,590000,0.0
3181,600000,0.0
3229,610000,0.0
3276,620000,0.0
3323,630000,0.0
3371,640000,0.0
3402,650000,0.0
3445,660000,0.0
3475,670000,0.0
3514,680000,0.0
3558,690000,0.0
3589,700000,0.0
3635,710000,0.0
3673,720000,0.0
3719,730000,0.0
3759,740000,0.0
3805,750000,0.0
3839,760000,0.0
3878,770000,0.0
3912,780000,0.0
3960,790000,0.0
3997,800000,0.0
4034,810000,0.0
4070,820000,0.0
4105,830000,0.0
4147,840000,0.0
4186,850000,0.0
4239,860000,0.0
4263,870000,0.0
4295,880000,0.0
4325,890000,0.0
4354,900000,0.0
4403,910000,0.0
4445,920000,0.0
4481,930000,0.0
4511,940000,0.0
4545,950000,0.0
4586,960000,0.0
4620,970000,0.0
4659,980000,0.0
4699,990000,0.0
4732,1000000,0.0
