episodes,steps,total reward
26,1000,0.0
42,2000,0.0
54,3000,0.0
66,4000,0.0
77,5000,0.0
80,6000,0.0
88,7000,0.0
92,8000,0.0
106,9000,0.0
114,10000,0.0
122,11000,0.0
130,12000,0.0
136,13000,0.0
141,14000,0.0
149,15000,0.0
156,16000,0.0
164,17000,0.0
176,18000,0.0
181,19000,0.0
187,20000,0.0
195,21000,0.0
201,22000,0.0
211,23000,0.0
219,24000,0.0
225,25000,0.0
237,26000,0.0
239,27000,0.0
247,28000,0.0
254,29000,0.0
259,30000,0.0
263,31000,1.0
271,32000,0.0
277,33000,1.0
285,34000,0.0
295,35000,0.0
305,36000,0.0
315,37000,0.0
323,38000,0.0
332,39000,1.0
337,40000,0.0
343,41000,1.0
355,42000,1.0
362,43000,0.0
369,44000,1.0
374,45000,1.0
381,46000,1.0
387,47000,1.0
390,48000,0.0
397,49000,0.0
407,50000,0.0
419,51000,1.0
426,52000,0.0
430,53000,2.0
436,54000,0.0
443,55000,1.0
448,56000,2.0
454,57000,0.0
461,58000,1.0
467,59000,1.0
473,60000,2.0
479,61000,1.0
490,62000,3.0
500,63000,0.0
507,64000,1.0
515,65000,2.0
522,66000,3.0
531,67000,2.0
536,68000,2.0
544,69000,3.0
554,70000,1.0
561,71000,3.0
570,72000,2.0
576,73000,0.0
581,74000,1.0
585,75000,2.0
593,76000,4.0
601,77000,4.0
612,78000,3.0
624,79000,2.0
631,80000,2.0
639,81000,4.0
651,82000,1.0
657,83000,3.0
667,84000,5.0
679,85000,6.0
692,86000,8.0
709,87000,7.0
718,88000,2.0
725,89000,3.0
731,90000,3.0
742,91000,4.0
756,92000,7.0
765,93000,4.0
790,94000,14.0
815,95000,16.0
844,96000,13.0
865,97000,13.0
894,98000,21.0
916,99000,14.0
937,100000,13.0
