episodes,steps,total reward
37,1000,0.0
64,2000,0.0
81,3000,2.0
94,4000,1.0
111,5000,1.0
125,6000,3.0
140,7000,2.0
155,8000,4.0
166,9000,2.0
180,10000,2.0
193,11000,4.0
205,12000,3.0
219,13000,6.0
234,14000,5.0
249,15000,1.0
262,16000,5.0
271,17000,3.0
278,18000,2.0
291,19000,4.0
304,20000,3.0
317,21000,3.0
325,22000,4.0
343,23000,6.0
355,24000,6.0
373,25000,6.0
386,26000,4.0
395,27000,3.0
406,28000,5.0
413,29000,4.0
426,30000,7.0
435,31000,5.0
446,32000,5.0
459,33000,5.0
473,34000,5.0
483,35000,6.0
495,36000,6.0
510,37000,8.0
523,38000,3.0
539,39000,5.0
557,40000,8.0
575,41000,9.0
586,42000,5.0
599,43000,6.0
611,44000,5.0
627,45000,8.0
646,46000,8.0
662,47000,9.0
675,48000,6.0
687,49000,5.0
707,50000,9.0
730,51000,11.0
745,52000,6.0
755,53000,7.0
771,54000,5.0
783,55000,6.0
792,56000,4.0
807,57000,8.0
823,58000,8.0
827,59000,1.0
842,60000,9.0
852,61000,3.0
862,62000,5.0
884,63000,11.0
903,64000,14.0
923,65000,11.0
942,66000,10.0
956,67000,6.0
967,68000,4.0
970,69000,2.0
982,70000,9.0
1003,71000,11.0
1017,72000,10.0
1033,73000,10.0
1058,74000,15.0
1071,75000,8.0
1091,76000,10.0
1119,77000,11.0
1150,78000,19.0
1167,79000,8.0
1191,80000,13.0
1215,81000,14.0
1239,82000,14.0
1263,83000,10.0
1287,84000,13.0
1299,85000,5.0
1315,86000,9.0
1339,87000,12.0
1363,88000,14.0
1387,89000,13.0
1399,90000,8.0
1415,91000,9.0
1439,92000,15.0
1463,93000,14.0
1494,94000,21.0
1521,95000,14.0
1547,96000,17.0
1579,97000,20.0
1595,98000,9.0
1615,99000,13.0
1627,100000,8.0
