episodes,steps,total reward
182,10000,16.0
307,20000,30.0
426,30000,36.0
550,40000,54.0
658,50000,45.0
795,60000,64.0
911,70000,63.0
1035,80000,62.0
1171,90000,80.0
1358,100000,113.0
1527,110000,106.0
1695,120000,110.0
1851,130000,98.0
1997,140000,91.0
2176,150000,105.0
2351,160000,112.0
2491,170000,93.0
2683,180000,121.0
2807,190000,77.0
2955,200000,95.0
3127,210000,100.0
3311,220000,118.0
3491,230000,116.0
3627,240000,80.0
3803,250000,104.0
4035,260000,150.0
4167,270000,89.0
4355,280000,112.0
4490,290000,79.0
4635,300000,84.0
4823,310000,107.0
4979,320000,95.0
5187,330000,133.0
5339,340000,93.0
5459,350000,74.0
5599,360000,85.0
5727,370000,84.0
5879,380000,95.0
6043,390000,104.0
6216,400000,110.0
6378,410000,102.0
6523,420000,92.0
6671,430000,93.0
6819,440000,85.0
6979,450000,105.0
7143,460000,106.0
7271,470000,79.0
7419,480000,90.0
7579,490000,104.0
7746,500000,107.0
7919,510000,109.0
8060,520000,86.0
8265,530000,132.0
8435,540000,100.0
8575,550000,85.0
8761,560000,113.0
8923,570000,106.0
9103,580000,111.0
9239,590000,82.0
9407,600000,97.0
9551,610000,90.0
9755,620000,122.0
9917,630000,92.0
10121,640000,126.0
10275,650000,92.0
10463,660000,122.0
10623,670000,100.0
10767,680000,85.0
10885,690000,76.0
11003,700000,71.0
11201,710000,123.0
11387,720000,113.0
11567,730000,99.0
11695,740000,87.0
11835,750000,85.0
12019,760000,112.0
12151,770000,83.0
12327,780000,115.0
12531,790000,124.0
12687,800000,97.0
12839,810000,93.0
13039,820000,124.0
13197,830000,95.0
13386,840000,118.0
13543,850000,90.0
13675,860000,83.0
13853,870000,104.0
14007,880000,97.0
14155,890000,94.0
14346,900000,116.0
14515,910000,106.0
14711,920000,117.0
14831,930000,73.0
14959,940000,81.0
15159,950000,126.0
15309,960000,98.0
15495,970000,117.0
15665,980000,107.0
15799,990000,87.0
15934,1000000,84.0
