# {"t_start": 1643102127.1794162, "env_id": "Office-single-v0"} 
r,l,t
0.0,49,0.001818
0.0,24,0.002637
0.0,7,0.002891
0.0,54,0.004519
0.0,4,0.004678
0.0,34,0.00571
0.0,31,0.006718
0.0,39,0.007928
0.0,4,0.008086
0.0,20,0.008726
0.0,22,0.009421
0.0,46,0.011051
0.0,45,0.012433
0.0,10,0.01277
0.0,39,0.013966
0.0,16,0.014485
0.0,7,0.014732
0.0,53,0.016414
0.0,57,0.01816
0.0,59,0.019946
0.0,46,0.021388
0.0,50,0.022904
0.0,16,0.023402
0.0,24,0.02413
0.0,32,0.02509
0.0,43,0.026412
0.0,27,0.027268
0.0,60,0.029214
0.0,139,0.033527
0.0,34,0.034573
0.0,64,0.036598
0.0,29,0.03751
0.0,68,0.03953
0.0,62,0.041403
0.0,56,0.04308
0.0,93,0.04582
0.0,30,0.046736
0.0,49,0.048202
0.0,124,0.051875
0.0,49,0.053347
0.0,184,0.058894
0.0,14,0.059341
0.0,138,0.063419
0.0,52,0.065024
0.0,102,0.068224
0.0,68,0.070282
0.0,39,0.071446
0.0,70,0.073519
0.0,30,0.074454
0.0,101,0.077471
0.0,42,0.078766
0.0,33,0.079751
0.0,82,0.082199
0.0,97,0.085106
0.0,83,0.087653
0.0,174,0.092807
0.0,70,0.094916
0.0,89,0.09774
0.0,26,0.098603
0.0,174,0.103873
0.0,16,0.104563
0.0,69,0.106629
0.0,186,0.11222
0.0,135,0.116313
0.0,34,0.117377
0.0,87,0.120016
0.0,46,0.121404
0.0,166,0.126338
0.0,75,0.128591
0.0,437,0.141713
0.0,341,0.151926
0.0,566,0.16878
0.0,390,0.180545
0.0,55,0.182198
0.0,344,0.192405
0.0,289,0.201082
0.0,66,0.203115
0.0,22,0.203807
0.0,235,0.210871
0.0,227,0.217622
0.0,268,0.22563
0.0,76,0.227946
0.0,22,0.228638
0.0,202,0.234733
0.0,12,0.235129
0.0,27,0.235972
0.0,30,0.236896
0.0,525,0.252634
0.0,361,0.263416
0.0,316,0.272799
0.0,2,0.272897
0.0,300,0.281838
0.0,11,0.282211
0.0,6,0.282423
0.0,399,0.294343
0.0,49,0.295851
0.0,332,0.305906
0.0,6,0.306131
0.0,21,0.306882
0.0,273,0.315433
0.0,43,0.317029
0.0,179,0.322408
0.0,9,0.322721
0.0,10,0.323143
0.0,231,0.330087
0.0,11,0.330505
0.0,17,0.331055
0.0,53,0.332736
0.0,57,0.334517
0.0,4,0.334686
0.0,23,0.335634
0.0,29,0.336525
0.0,71,0.338814
0.0,10,0.339154
0.0,233,0.346195
0.0,96,0.349097
0.0,96,0.351988
0.0,13,0.352418
0.0,163,0.357296
0.0,187,0.363018
0.0,38,0.364198
0.0,107,0.367414
0.0,116,0.370904
0.0,44,0.372252
0.0,288,0.380923
0.0,216,0.387411
0.0,689,0.40787
0.0,114,0.411306
0.0,65,0.413268
0.0,118,0.4168
0.0,133,0.420785
0.0,130,0.424645
0.0,104,0.427833
0.0,27,0.42867
0.0,34,0.429718
0.0,4,0.42987
0.0,162,0.434681
0.0,54,0.436429
0.0,204,0.442515
0.0,313,0.45181
0.0,52,0.453403
0.0,857,0.478814
0.0,20,0.479446
0.0,574,0.496493
0.0,88,0.499162
0.0,80,0.501568
0.0,39,0.502774
0.0,59,0.504554
0.0,33,0.505566
0.0,27,0.506404
0.0,1000,0.536012
0.0,24,0.536769
0.0,134,0.540771
0.0,370,0.552156
0.0,99,0.555308
0.0,45,0.556687
0.0,117,0.560238
0.0,502,0.575067
0.0,96,0.577946
0.0,127,0.581737
0.0,272,0.589952
0.0,13,0.590382
0.0,34,0.59143
0.0,389,0.603031
0.0,200,0.609173
0.0,102,0.612216
0.0,260,0.620123
0.0,328,0.630327
0.0,85,0.632994
0.0,68,0.635085
0.0,28,0.635955
0.0,239,0.643243
0.0,106,0.646725
0.0,77,0.649097
0.0,474,0.663376
0.0,30,0.664292
0.0,237,0.67142
0.0,439,0.684448
0.0,4,0.684604
0.0,156,0.689244
0.0,630,0.707963
0.0,17,0.708504
0.0,52,0.71007
0.0,8,0.710343
0.0,256,0.717955
0.0,144,0.722251
0.0,153,0.726793
0.0,62,0.728673
0.0,193,0.734445
0.0,20,0.735069
0.0,7,0.735306
0.0,23,0.736011
0.0,22,0.736687
0.0,247,0.744121
0.0,62,0.74599
0.0,106,0.749186
0.0,562,0.76581
0.0,159,0.770517
0.0,188,0.776119
0.0,691,0.796607
0.0,253,0.8041
0.0,65,0.806051
0.0,2,0.806144
0.0,128,0.809931
0.0,8,0.810206
0.0,57,0.811919
0.0,214,0.818407
0.0,341,0.828449
0.0,201,0.834444
0.0,110,0.837756
0.0,407,0.849852
0.0,7,0.850098
0.0,74,0.852426
0.0,26,0.853224
0.0,251,0.860714
0.0,441,0.873817
0.0,108,0.87708
0.0,2,0.877176
0.0,71,0.87933
0.0,21,0.879986
0.0,372,0.891138
0.0,565,0.908141
0.0,20,0.908777
0.0,138,0.912922
0.0,176,0.918706
0.0,215,0.925184
0.0,125,0.929266
0.0,76,0.931687
0.0,20,0.932332
0.0,95,0.935287
0.0,53,0.936933
0.0,74,0.93936
0.0,417,0.951932
0.0,2,0.952034
0.0,34,0.953094
0.0,52,0.954749
0.0,628,0.973634
0.0,517,0.989044
0.0,569,1.006158
0.0,53,1.007762
0.0,294,1.016471
0.0,64,1.018411
0.0,33,1.019423
0.0,28,1.020292
0.0,31,1.021241
0.0,39,1.022414
0.0,27,1.023252
0.0,251,1.03073
0.0,152,1.035281
0.0,222,1.042029
0.0,88,1.044667
0.0,31,1.045619
0.0,31,1.046581
0.0,19,1.047184
0.0,258,1.054877
0.0,115,1.058299
0.0,470,1.072163
0.0,48,1.073621
0.0,293,1.082386
0.0,51,1.083939
0.0,71,1.086057
0.0,127,1.089838
0.0,54,1.091482
0.0,486,1.105782
0.0,220,1.112287
0.0,635,1.131218
0.0,89,1.133883
0.0,602,1.151731
0.0,18,1.152355
0.0,1000,1.182386
0.0,146,1.186722
0.0,38,1.18788
0.0,774,1.211108
0.0,355,1.221829
0.0,34,1.222884
0.0,273,1.2315
0.0,204,1.237751
0.0,24,1.238495
0.0,534,1.254512
0.0,11,1.254901
0.0,268,1.262914
0.0,32,1.263894
0.0,51,1.265424
0.0,476,1.279568
0.0,368,1.290445
0.0,9,1.290749
0.0,61,1.292589
0.0,90,1.29528
0.0,32,1.296268
0.0,979,1.32541
0.0,25,1.32619
0.0,32,1.327178
0.0,41,1.328439
0.0,185,1.333931
0.0,81,1.33638
0.0,514,1.351812
0.0,173,1.356963
0.0,72,1.359111
0.0,140,1.363251
0.0,336,1.373214
0.0,197,1.379083
0.0,541,1.395192
0.0,33,1.396214
0.0,495,1.41084
0.0,48,1.412299
0.0,202,1.418282
0.0,217,1.424807
0.0,175,1.430084
0.0,34,1.431138
0.0,47,1.432556
0.0,47,1.433982
0.0,135,1.438022
0.0,769,1.460728
0.0,182,1.466172
0.0,290,1.474752
0.0,9,1.475052
0.0,171,1.480122
0.0,42,1.481403
0.0,24,1.48214
0.0,213,1.488486
0.0,408,1.500611
0.0,329,1.510582
0.0,284,1.519505
0.0,51,1.521061
0.0,111,1.524426
0.0,55,1.526085
0.0,556,1.543016
0.0,248,1.550432
0.0,15,1.550918
0.0,277,1.559147
0.0,17,1.559697
0.0,317,1.569177
0.0,493,1.583892
0.0,10,1.584231
0.0,497,1.598915
0.0,979,1.628355
0.0,14,1.628818
0.0,56,1.630516
0.0,40,1.631732
0.0,55,1.633387
0.0,214,1.639762
0.0,48,1.641214
0.0,11,1.641574
0.0,56,1.643269
0.0,151,1.647859
0.0,43,1.649153
0.0,132,1.653082
0.0,277,1.661276
0.0,24,1.662026
0.0,103,1.665137
0.0,10,1.665462
0.0,42,1.666729
0.0,103,1.669806
0.0,17,1.670345
0.0,60,1.672156
0.0,35,1.673216
0.0,191,1.678917
0.0,112,1.682263
0.0,15,1.682754
0.0,32,1.68373
0.0,63,1.685738
0.0,509,1.700701
0.0,307,1.70979
0.0,955,1.738036
0.0,32,1.739043
0.0,174,1.744229
0.0,54,1.745852
0.0,353,1.756647
0.0,31,1.757613
0.0,78,1.759979
0.0,525,1.775661
0.0,167,1.780625
0.0,45,1.781998
0.0,105,1.785145
0.0,62,1.787001
0.0,535,1.802885
0.0,936,1.831519
0.0,488,1.846161
0.0,1000,1.876096
0.0,26,1.87691
0.0,326,1.886535
0.0,520,1.901874
0.0,113,1.905255
0.0,443,1.918518
0.0,46,1.919914
0.0,417,1.932319
0.0,38,1.933482
0.0,234,1.940453
0.0,156,1.945139
0.0,269,1.953197
0.0,65,1.955159
0.0,47,1.956587
0.0,18,1.957151
0.0,602,1.974906
0.0,244,1.982149
0.0,48,1.983607
0.0,67,1.985608
0.0,369,1.996536
0.0,13,1.996969
0.0,79,1.99933
