# {"t_start": 1641238474.5717378, "env_id": "Office-single-v0"} 
r,l,t
0.0,28,0.001095
0.0,6,0.001307
0.0,32,0.002365
0.0,7,0.002602
0.0,33,0.003523
0.0,13,0.003944
0.0,55,0.005456
0.0,7,0.005681
0.0,31,0.006612
0.0,43,0.007801
0.0,26,0.008533
0.0,23,0.009181
0.0,36,0.010246
0.0,36,0.011268
0.0,76,0.013385
0.0,17,0.013876
0.0,12,0.014275
0.0,55,0.015762
0.0,17,0.016339
0.0,34,0.017359
0.0,37,0.018462
0.0,4,0.018605
0.0,72,0.020538
0.0,162,0.025023
0.0,36,0.026123
0.0,26,0.026841
0.0,67,0.028673
0.0,50,0.030348
0.0,87,0.032689
0.0,109,0.035676
0.0,85,0.03799
0.0,92,0.040519
0.0,67,0.042417
0.0,71,0.044408
0.0,78,0.046543
0.0,42,0.047695
0.0,74,0.049716
0.0,62,0.0514
0.0,111,0.054651
0.0,155,0.059248
0.0,17,0.05975
0.0,126,0.063207
0.0,18,0.063808
0.0,75,0.065878
0.0,93,0.068421
0.0,36,0.069435
0.0,103,0.072252
0.0,64,0.074112
0.0,21,0.074725
0.0,101,0.077516
0.0,31,0.078385
0.0,63,0.080124
0.0,156,0.084484
0.0,171,0.089515
0.0,149,0.093879
0.0,132,0.09756
0.0,98,0.100329
0.0,194,0.105837
0.0,73,0.10802
0.0,23,0.108684
0.0,96,0.111398
0.0,217,0.117807
0.0,211,0.123842
0.0,180,0.12879
0.0,338,0.13815
0.0,98,0.140953
0.0,95,0.143776
0.0,308,0.15247
0.0,59,0.154195
0.0,96,0.156834
0.0,43,0.158098
0.0,95,0.160706
0.0,140,0.164571
0.0,11,0.164907
0.0,312,0.1742
0.0,111,0.17733
0.0,21,0.177932
0.0,82,0.180215
0.0,2,0.180304
0.0,141,0.184162
0.0,133,0.187845
0.0,82,0.190096
0.0,44,0.191338
0.0,270,0.19909
0.0,5,0.199306
0.0,226,0.205566
0.0,9,0.205854
0.0,43,0.207072
0.0,42,0.208252
0.0,28,0.209067
0.0,51,0.210817
0.0,122,0.21425
0.0,20,0.214831
0.0,140,0.218744
0.0,61,0.220451
0.0,17,0.220961
0.0,26,0.221695
0.0,378,0.232497
0.0,10,0.232804
0.0,16,0.233309
0.0,113,0.23639
0.0,90,0.238863
0.0,266,0.246581
0.0,20,0.247167
0.0,119,0.250481
0.0,19,0.251035
0.0,539,0.266138
0.0,344,0.275829
0.0,7,0.276059
0.0,29,0.27687
0.0,13,0.277253
0.0,108,0.280212
0.0,5,0.28038
0.0,44,0.2816
0.0,31,0.282465
0.0,148,0.286927
0.0,87,0.289328
0.0,45,0.290665
0.0,109,0.293661
0.0,29,0.294486
0.0,278,0.302042
0.0,28,0.302838
0.0,30,0.303689
0.0,181,0.308976
0.0,44,0.310206
0.0,191,0.315706
0.0,250,0.322854
0.0,433,0.335305
0.0,195,0.340604
0.0,127,0.344316
0.0,363,0.35429
0.0,134,0.357957
0.0,212,0.363994
0.0,15,0.36444
0.0,93,0.367064
0.0,14,0.367478
0.0,43,0.368678
0.0,103,0.371667
0.0,66,0.373477
0.0,15,0.373914
0.0,4,0.374078
0.0,235,0.38068
0.0,39,0.381808
0.0,121,0.385437
0.0,77,0.387592
0.0,50,0.388976
0.0,91,0.391476
0.0,418,0.403047
0.0,89,0.405624
0.0,26,0.406371
0.0,116,0.409624
0.0,756,0.430628
0.0,42,0.431813
0.0,19,0.432357
0.0,58,0.433962
0.0,27,0.43473
0.0,19,0.435281
0.0,125,0.438668
0.0,82,0.441033
0.0,116,0.444305
0.0,14,0.444735
0.0,221,0.450761
0.0,103,0.453756
0.0,455,0.466684
0.0,126,0.470233
0.0,221,0.476257
0.0,552,0.491858
0.0,31,0.492743
0.0,151,0.4969
0.0,659,0.515301
0.0,107,0.518546
0.0,93,0.521109
0.0,123,0.524476
0.0,29,0.525297
0.0,334,0.534524
0.0,9,0.534808
0.0,22,0.53547
0.0,36,0.536726
0.0,29,0.537647
0.0,141,0.541691
0.0,24,0.542416
0.0,69,0.544333
0.0,108,0.547302
0.0,87,0.549699
0.0,463,0.562489
0.0,108,0.565592
0.0,86,0.568034
0.0,71,0.570005
0.0,157,0.574631
0.0,101,0.577452
0.0,101,0.580214
0.0,13,0.580604
0.0,104,0.583461
0.0,269,0.590815
0.0,31,0.591688
0.0,79,0.594225
0.0,153,0.598449
0.0,25,0.599159
0.0,26,0.599906
0.0,31,0.600773
0.0,196,0.606165
0.0,39,0.607268
0.0,412,0.618929
0.0,169,0.623998
0.0,39,0.625101
0.0,181,0.630092
0.0,151,0.634545
0.0,21,0.635157
0.0,380,0.645505
0.0,19,0.646068
0.0,19,0.646611
0.0,188,0.651987
0.0,50,0.653447
0.0,34,0.654469
0.0,39,0.655557
0.0,139,0.659347
0.0,13,0.659735
0.0,498,0.673654
0.0,39,0.674754
0.0,94,0.677341
0.0,104,0.680422
0.0,165,0.685148
0.0,11,0.685483
0.0,253,0.692904
0.0,30,0.693762
0.0,187,0.698879
0.0,38,0.699938
0.0,435,0.712114
0.0,235,0.718673
0.0,274,0.726454
0.0,44,0.727683
0.0,16,0.728191
0.0,126,0.731648
0.0,77,0.733769
0.0,67,0.735812
0.0,22,0.736442
0.0,48,0.73778
0.0,414,0.74926
0.0,12,0.749628
0.0,708,0.769289
0.0,61,0.770992
0.0,233,0.777319
0.0,172,0.782203
0.0,13,0.782614
0.0,457,0.795433
0.0,113,0.798596
0.0,21,0.799198
0.0,18,0.79971
0.0,204,0.805277
0.0,173,0.810185
0.0,154,0.814466
0.0,335,0.824384
1.0,241,0.831034
0.0,326,0.840381
0.0,152,0.844577
0.0,281,0.852498
0.0,58,0.854112
1.0,323,0.863404
0.0,56,0.864969
0.0,149,0.869057
0.0,14,0.86951
0.0,46,0.870902
0.0,28,0.871709
0.0,218,0.878146
1.0,432,0.890029
0.0,121,0.893373
0.0,69,0.89528
0.0,114,0.898559
0.0,65,0.90038
0.0,460,0.913135
0.0,73,0.915502
0.0,60,0.91719
0.0,87,0.919588
0.0,32,0.920494
0.0,313,0.929062
0.0,115,0.932482
0.0,228,0.939089
0.0,104,0.941948
0.0,81,0.944223
0.0,352,0.953804
0.0,50,0.955201
0.0,80,0.957402
0.0,21,0.958011
0.0,171,0.963006
0.0,79,0.965197
0.0,149,0.969441
0.0,18,0.969973
0.0,134,0.97402
0.0,16,0.974499
0.0,157,0.978875
0.0,181,0.983837
0.0,27,0.984611
0.0,75,0.986666
0.0,434,0.998847
0.0,12,0.999219
0.0,26,0.999958
0.0,106,1.002905
0.0,335,1.012346
0.0,84,1.014728
0.0,149,1.019179
0.0,254,1.026284
1.0,227,1.032827
0.0,9,1.033113
0.0,26,1.033861
0.0,364,1.044134
0.0,12,1.044507
0.0,11,1.044844
0.0,309,1.05367
0.0,114,1.056902
0.0,62,1.058651
0.0,61,1.060359
0.0,55,1.061903
0.0,80,1.064107
1.0,87,1.066539
0.0,13,1.066955
0.0,188,1.0725
0.0,42,1.073902
0.0,13,1.074372
0.0,188,1.079527
0.0,192,1.084974
0.0,218,1.091321
0.0,122,1.094698
0.0,55,1.096241
0.0,225,1.102666
0.0,34,1.103639
1.0,209,1.109488
0.0,365,1.11964
0.0,17,1.120145
0.0,4,1.120287
0.0,144,1.124627
0.0,359,1.134857
1.0,108,1.137888
0.0,53,1.139366
0.0,298,1.147744
0.0,400,1.158973
0.0,158,1.163761
0.0,37,1.164805
0.0,84,1.167142
0.0,157,1.17145
0.0,233,1.177886
0.0,231,1.184501
0.0,22,1.185174
0.0,186,1.190561
0.0,457,1.203223
0.0,97,1.205961
0.0,132,1.20971
0.0,12,1.210119
1.0,127,1.213644
0.0,183,1.219215
0.0,47,1.220629
0.0,157,1.22516
0.0,95,1.227813
0.0,36,1.228833
0.0,39,1.229928
0.0,18,1.230453
0.0,62,1.232197
0.0,65,1.234035
0.0,11,1.234366
0.0,118,1.23769
0.0,300,1.246448
0.0,157,1.250786
0.0,29,1.251618
0.0,9,1.251901
0.0,145,1.255901
1.0,90,1.258469
0.0,147,1.262567
0.0,84,1.264922
0.0,20,1.265498
0.0,239,1.272249
0.0,342,1.28224
0.0,286,1.290085
0.0,116,1.293296
0.0,31,1.294183
0.0,213,1.300137
0.0,132,1.304045
0.0,191,1.309354
0.0,80,1.31167
0.0,166,1.316707
0.0,121,1.320078
0.0,165,1.324658
1.0,120,1.327958
0.0,31,1.328834
0.0,112,1.332442
0.0,286,1.340657
0.0,32,1.341564
0.0,209,1.347305
0.0,224,1.353582
0.0,231,1.360169
0.0,439,1.37233
0.0,18,1.372979
0.0,7,1.373214
0.0,35,1.3742
1.0,138,1.378032
0.0,193,1.383299
0.0,333,1.392867
0.0,134,1.396782
0.0,162,1.401222
0.0,628,1.418572
0.0,30,1.41944
1.0,103,1.422366
0.0,51,1.423852
0.0,448,1.436457
0.0,67,1.438324
0.0,92,1.440943
0.0,60,1.442809
0.0,514,1.456979
1.0,300,1.465203
0.0,43,1.466434
0.0,12,1.466799
0.0,42,1.468176
0.0,46,1.469597
1.0,151,1.474147
0.0,69,1.476067
0.0,18,1.476587
0.0,246,1.483415
0.0,14,1.483837
0.0,145,1.487923
1.0,318,1.496809
0.0,64,1.498697
0.0,182,1.503926
0.0,19,1.504479
0.0,60,1.506155
0.0,141,1.510052
0.0,29,1.510881
0.0,10,1.511187
0.0,141,1.515187
0.0,52,1.516621
1.0,118,1.519874
0.0,29,1.520698
0.0,55,1.522203
0.0,129,1.525978
0.0,6,1.526196
0.0,36,1.527386
0.0,201,1.53297
0.0,768,1.554304
0.0,138,1.558384
0.0,6,1.558584
0.0,106,1.561561
0.0,17,1.562058
0.0,154,1.566243
0.0,19,1.566795
0.0,80,1.568994
0.0,9,1.569274
0.0,70,1.571216
0.0,56,1.572758
0.0,18,1.573277
0.0,26,1.574073
1.0,324,1.583368
0.0,40,1.584763
0.0,228,1.591084
1.0,86,1.593445
0.0,72,1.595476
1.0,121,1.598828
0.0,211,1.604648
0.0,23,1.605378
0.0,40,1.606489
1.0,286,1.614669
0.0,720,1.634516
1.0,134,1.638401
0.0,17,1.638902
0.0,73,1.641363
0.0,5,1.641534
0.0,26,1.6424
0.0,26,1.643138
0.0,216,1.649031
0.0,17,1.649528
0.0,139,1.653486
0.0,134,1.657223
1.0,403,1.668669
0.0,64,1.670479
0.0,406,1.681824
0.0,15,1.682278
0.0,65,1.684077
0.0,184,1.689116
0.0,334,1.69864
1.0,134,1.702464
0.0,68,1.704334
0.0,98,1.707106
0.0,88,1.709533
0.0,20,1.71012
0.0,4,1.710263
0.0,451,1.722808
0.0,118,1.726353
1.0,94,1.729155
0.0,140,1.733037
0.0,114,1.736393
0.0,91,1.739012
0.0,159,1.743344
1.0,228,1.749618
0.0,83,1.751919
0.0,213,1.757997
0.0,75,1.760173
0.0,290,1.768209
