episodes,steps,total reward
30,1000,0.0
57,2000,1.0
73,3000,3.0
88,4000,1.0
102,5000,1.0
118,6000,2.0
133,7000,1.0
149,8000,5.0
160,9000,3.0
172,10000,4.0
186,11000,4.0
197,12000,5.0
213,13000,2.0
228,14000,3.0
239,15000,3.0
251,16000,4.0
259,17000,2.0
271,18000,3.0
283,19000,4.0
295,20000,3.0
303,21000,2.0
313,22000,6.0
322,23000,4.0
337,24000,3.0
356,25000,4.0
365,26000,2.0
374,27000,4.0
383,28000,5.0
399,29000,6.0
413,30000,5.0
422,31000,6.0
430,32000,5.0
440,33000,3.0
455,34000,6.0
469,35000,5.0
490,36000,8.0
507,37000,6.0
529,38000,7.0
547,39000,6.0
560,40000,4.0
571,41000,5.0
579,42000,1.0
594,43000,7.0
610,44000,6.0
615,45000,1.0
631,46000,7.0
643,47000,5.0
661,48000,7.0
675,49000,7.0
690,50000,6.0
702,51000,6.0
712,52000,3.0
727,53000,5.0
743,54000,7.0
759,55000,6.0
775,56000,7.0
795,57000,9.0
814,58000,9.0
838,59000,9.0
850,60000,4.0
858,61000,5.0
870,62000,6.0
886,63000,11.0
898,64000,5.0
912,65000,7.0
926,66000,9.0
939,67000,8.0
966,68000,15.0
986,69000,8.0
1003,70000,12.0
1019,71000,6.0
1031,72000,9.0
1047,73000,10.0
1065,74000,9.0
1079,75000,8.0
1091,76000,9.0
1111,77000,12.0
1127,78000,7.0
1151,79000,15.0
1163,80000,6.0
1171,81000,5.0
1191,82000,11.0
1202,83000,8.0
1223,84000,10.0
1243,85000,12.0
1263,86000,12.0
1283,87000,11.0
1303,88000,15.0
1315,89000,4.0
1327,90000,8.0
1339,91000,8.0
1358,92000,11.0
1383,93000,12.0
1399,94000,9.0
1422,95000,16.0
1435,96000,7.0
1461,97000,14.0
1483,98000,15.0
1499,99000,9.0
1515,100000,9.0
