episodes,steps,total reward
31,1000,0.0
45,2000,0.0
58,3000,0.0
69,4000,0.0
74,5000,0.0
79,6000,0.0
83,7000,0.0
90,8000,0.0
98,9000,0.0
109,10000,0.0
118,11000,0.0
124,12000,0.0
127,13000,0.0
134,14000,0.0
141,15000,0.0
149,16000,0.0
154,17000,0.0
165,18000,0.0
174,19000,0.0
188,20000,0.0
199,21000,0.0
204,22000,0.0
210,23000,0.0
219,24000,0.0
224,25000,0.0
234,26000,0.0
241,27000,0.0
244,28000,0.0
253,29000,0.0
259,30000,0.0
266,31000,0.0
274,32000,0.0
278,33000,0.0
285,34000,0.0
296,35000,0.0
303,36000,0.0
311,37000,0.0
314,38000,0.0
321,39000,0.0
327,40000,0.0
335,41000,0.0
343,42000,0.0
350,43000,0.0
356,44000,1.0
364,45000,0.0
367,46000,0.0
377,47000,0.0
385,48000,1.0
390,49000,0.0
395,50000,0.0
404,51000,0.0
412,52000,0.0
420,53000,0.0
428,54000,0.0
438,55000,1.0
447,56000,0.0
452,57000,0.0
460,58000,0.0
467,59000,0.0
475,60000,0.0
488,61000,0.0
495,62000,0.0
498,63000,0.0
506,64000,0.0
513,65000,0.0
523,66000,0.0
527,67000,0.0
532,68000,0.0
540,69000,1.0
550,70000,1.0
556,71000,0.0
566,72000,0.0
575,73000,0.0
588,74000,0.0
596,75000,0.0
600,76000,0.0
605,77000,1.0
612,78000,1.0
616,79000,0.0
621,80000,1.0
625,81000,1.0
629,82000,0.0
639,83000,0.0
650,84000,0.0
659,85000,1.0
666,86000,1.0
675,87000,0.0
684,88000,0.0
689,89000,0.0
697,90000,0.0
702,91000,1.0
709,92000,1.0
721,93000,1.0
727,94000,0.0
734,95000,0.0
739,96000,1.0
747,97000,1.0
753,98000,1.0
756,99000,0.0
760,100000,1.0
