# {"t_start": 1641739507.275368, "env_id": "Office-v0"} 
r,l,t
0.0,11,0.0007
0.0,6,0.000936
0.0,21,0.001623
0.0,5,0.001816
0.0,2,0.001911
0.0,53,0.003618
0.0,22,0.004488
0.0,41,0.005852
0.0,93,0.008705
0.0,23,0.009426
0.0,35,0.010538
0.0,76,0.012877
0.0,23,0.013648
0.0,38,0.014868
0.0,10,0.015196
0.0,13,0.015622
0.0,14,0.016075
0.0,14,0.016525
0.0,56,0.018246
0.0,12,0.018689
0.0,9,0.018998
0.0,15,0.019486
0.0,36,0.020581
0.0,5,0.020765
0.0,4,0.020915
0.0,19,0.021498
0.0,66,0.023479
0.0,8,0.023752
0.0,51,0.025428
0.0,75,0.027787
0.0,9,0.028106
0.0,12,0.028537
0.0,16,0.029043
0.0,10,0.029435
0.0,51,0.03103
0.0,29,0.03195
0.0,28,0.03308
0.0,16,0.033586
0.0,11,0.033947
0.0,88,0.036654
0.0,48,0.03812
0.0,63,0.040161
0.0,7,0.040403
0.0,15,0.040877
0.0,16,0.041422
0.0,58,0.043212
0.0,39,0.044472
0.0,4,0.044624
0.0,30,0.04553
0.0,52,0.047143
0.0,21,0.04781
0.0,12,0.048203
0.0,42,0.049593
0.0,39,0.051252
0.0,28,0.052126
0.0,47,0.053569
1.0,63,0.05557
0.0,80,0.058022
0.0,2,0.058114
0.0,45,0.059515
0.0,82,0.061968
0.0,25,0.062744
0.0,8,0.063009
0.0,5,0.063188
1.0,60,0.065188
0.0,112,0.068576
0.0,38,0.069739
0.0,12,0.070135
1.0,20,0.070806
0.0,134,0.075047
0.0,34,0.076093
0.0,10,0.076431
0.0,69,0.078599
0.0,96,0.081966
0.0,86,0.084594
0.0,38,0.085765
1.0,34,0.086944
0.0,65,0.08902
0.0,17,0.089562
0.0,17,0.090097
0.0,106,0.093475
0.0,254,0.101282
0.0,105,0.104574
0.0,36,0.105683
0.0,42,0.107012
0.0,72,0.109169
0.0,49,0.110738
0.0,64,0.112676
0.0,61,0.114511
0.0,38,0.115662
0.0,61,0.11751
0.0,16,0.118017
0.0,20,0.118643
0.0,114,0.122079
0.0,127,0.12609
0.0,102,0.129376
0.0,78,0.131836
0.0,145,0.136365
0.0,100,0.139478
0.0,17,0.140021
0.0,38,0.141183
0.0,7,0.141421
0.0,51,0.14302
0.0,14,0.143473
1.0,71,0.145616
0.0,98,0.148848
0.0,16,0.149356
0.0,67,0.151393
0.0,36,0.152497
0.0,57,0.154236
0.0,96,0.157153
0.0,16,0.157664
1.0,89,0.160587
0.0,43,0.161906
0.0,71,0.164082
0.0,21,0.164772
0.0,51,0.16648
0.0,75,0.169003
0.0,16,0.169513
0.0,29,0.170435
1.0,43,0.17179
0.0,30,0.172711
0.0,57,0.174572
0.0,10,0.174905
1.0,24,0.175656
0.0,80,0.178049
0.0,136,0.182146
0.0,67,0.184224
0.0,21,0.184891
0.0,107,0.188148
0.0,87,0.190972
0.0,33,0.191984
0.0,10,0.192316
0.0,114,0.195815
0.0,45,0.197383
0.0,6,0.197594
0.0,82,0.200222
0.0,78,0.202584
0.0,56,0.204277
0.0,66,0.206306
1.0,143,0.210822
0.0,221,0.21756
0.0,65,0.219565
0.0,34,0.220617
0.0,18,0.221303
1.0,300,0.230806
0.0,139,0.23525
0.0,123,0.239006
0.0,117,0.242601
1.0,193,0.248489
0.0,119,0.252133
0.0,128,0.25631
0.0,20,0.256947
1.0,240,0.264205
0.0,61,0.266091
0.0,30,0.267033
1.0,50,0.268798
1.0,148,0.273288
0.0,91,0.276093
0.0,100,0.279152
1.0,73,0.281342
0.0,169,0.286844
0.0,57,0.288965
0.0,91,0.291779
0.0,54,0.293411
0.0,80,0.295792
0.0,73,0.298001
0.0,120,0.301608
1.0,31,0.302585
1.0,195,0.308455
0.0,33,0.309492
0.0,15,0.309969
1.0,21,0.310642
0.0,2,0.310737
0.0,10,0.311069
0.0,118,0.31479
0.0,15,0.315406
1.0,203,0.321724
1.0,109,0.325187
0.0,119,0.328931
0.0,20,0.329567
1.0,148,0.334018
0.0,99,0.337087
0.0,24,0.337834
1.0,42,0.339132
1.0,210,0.345429
0.0,54,0.347345
0.0,85,0.349982
0.0,2,0.350072
0.0,22,0.350799
0.0,6,0.351013
0.0,12,0.351402
1.0,57,0.353131
0.0,72,0.355317
0.0,123,0.35916
0.0,52,0.360743
1.0,24,0.361501
1.0,60,0.363597
0.0,31,0.364559
0.0,54,0.36623
0.0,4,0.366381
0.0,34,0.367463
0.0,23,0.368181
0.0,7,0.368422
0.0,57,0.370141
0.0,32,0.371104
0.0,38,0.372266
0.0,129,0.376139
0.0,35,0.377388
1.0,238,0.384899
0.0,68,0.387088
0.0,208,0.393386
1.0,67,0.395482
0.0,14,0.395936
0.0,75,0.398188
0.0,12,0.398582
1.0,37,0.399715
0.0,103,0.402861
0.0,121,0.406595
0.0,131,0.410954
0.0,33,0.411983
0.0,151,0.416577
0.0,79,0.419038
0.0,58,0.421
1.0,16,0.421595
0.0,43,0.423006
0.0,116,0.426737
0.0,69,0.428837
1.0,28,0.429714
0.0,49,0.43121
0.0,134,0.435367
0.0,133,0.439385
0.0,48,0.44114
0.0,142,0.44553
0.0,67,0.447637
0.0,96,0.450559
1.0,15,0.451054
1.0,126,0.45492
0.0,48,0.456421
0.0,127,0.460577
1.0,37,0.461725
0.0,15,0.462195
0.0,20,0.462819
0.0,52,0.464403
1.0,31,0.465372
1.0,111,0.468741
0.0,68,0.470855
0.0,189,0.476683
0.0,70,0.479034
0.0,23,0.479764
0.0,6,0.479976
0.0,19,0.480614
0.0,58,0.482525
0.0,35,0.483606
0.0,12,0.483991
0.0,99,0.487014
1.0,37,0.488173
0.0,148,0.492589
0.0,19,0.4932
0.0,219,0.499815
1.0,14,0.500284
0.0,142,0.504867
0.0,18,0.505448
0.0,13,0.50587
0.0,55,0.507543
1.0,90,0.510318
0.0,5,0.510509
0.0,59,0.512316
1.0,15,0.512811
1.0,93,0.515856
0.0,129,0.519795
0.0,24,0.520546
1.0,14,0.521004
0.0,82,0.523477
0.0,69,0.525596
0.0,59,0.527386
1.0,47,0.528844
0.0,24,0.529585
0.0,140,0.533999
0.0,9,0.534346
1.0,33,0.535454
0.0,88,0.538344
0.0,91,0.541132
0.0,51,0.5427
1.0,31,0.543654
0.0,19,0.544259
0.0,272,0.552429
0.0,179,0.55787
0.0,10,0.558212
1.0,155,0.562915
0.0,147,0.567621
0.0,95,0.570502
0.0,13,0.57093
0.0,95,0.574126
0.0,76,0.57651
0.0,40,0.57774
1.0,31,0.578746
0.0,14,0.579183
0.0,143,0.583558
0.0,266,0.591612
1.0,16,0.592155
0.0,30,0.593082
0.0,35,0.594153
0.0,157,0.599151
1.0,15,0.599646
0.0,14,0.600095
0.0,136,0.604232
0.0,126,0.608029
1.0,12,0.608432
1.0,65,0.610636
1.0,233,0.617719
0.0,94,0.620564
1.0,27,0.621402
1.0,113,0.62493
0.0,220,0.632089
0.0,1000,0.662294
1.0,58,0.664097
0.0,74,0.66636
0.0,64,0.668541
0.0,150,0.673149
1.0,20,0.673787
0.0,87,0.676439
0.0,39,0.677646
0.0,124,0.681408
1.0,14,0.681876
0.0,54,0.683533
1.0,227,0.690774
0.0,278,0.699131
1.0,14,0.699593
0.0,40,0.70083
0.0,54,0.702476
0.0,21,0.703144
1.0,12,0.703543
0.0,121,0.707509
0.0,41,0.708766
0.0,10,0.709096
1.0,33,0.710118
1.0,141,0.714395
0.0,16,0.714915
0.0,55,0.716583
1.0,15,0.717074
0.0,13,0.717502
0.0,198,0.723786
0.0,18,0.724363
1.0,16,0.724915
1.0,146,0.729521
1.0,157,0.734262
0.0,47,0.735754
0.0,14,0.736235
1.0,125,0.740016
0.0,51,0.741589
0.0,226,0.748415
1.0,18,0.748993
0.0,40,0.750265
0.0,7,0.750747
0.0,200,0.756775
1.0,31,0.75773
1.0,104,0.760878
0.0,342,0.771454
0.0,115,0.774989
1.0,23,0.775724
1.0,174,0.780977
1.0,124,0.785342
0.0,162,0.790268
1.0,26,0.791131
1.0,108,0.794371
0.0,220,0.801056
0.0,54,0.802698
1.0,14,0.803158
0.0,13,0.803577
0.0,125,0.807381
0.0,24,0.808137
1.0,31,0.809112
1.0,94,0.812112
0.0,227,0.81921
0.0,210,0.825849
1.0,13,0.826283
0.0,101,0.829322
0.0,45,0.830709
0.0,56,0.832459
1.0,11,0.832833
1.0,62,0.834728
0.0,23,0.835446
0.0,97,0.838399
0.0,7,0.838647
1.0,102,0.841732
1.0,120,0.845715
0.0,19,0.846315
1.0,14,0.846816
0.0,19,0.847419
0.0,93,0.850253
0.0,186,0.855812
1.0,11,0.856223
0.0,25,0.857145
0.0,230,0.864185
0.0,153,0.868815
1.0,11,0.869183
0.0,91,0.871951
0.0,330,0.882549
0.0,63,0.884485
1.0,11,0.884858
1.0,130,0.888815
0.0,204,0.89497
0.0,87,0.897646
1.0,11,0.89802
0.0,20,0.898657
0.0,43,0.9
0.0,94,0.902892
1.0,18,0.903476
1.0,83,0.906311
1.0,225,0.913126
0.0,35,0.914423
1.0,11,0.914795
0.0,44,0.916168
0.0,120,0.919912
0.0,68,0.921973
1.0,13,0.922399
1.0,67,0.924483
1.0,104,0.927714
0.0,198,0.933742
1.0,12,0.934149
0.0,5,0.934332
0.0,31,0.935363
0.0,23,0.936159
1.0,13,0.936586
1.0,158,0.941546
0.0,250,0.949033
0.0,146,0.953748
1.0,11,0.954126
1.0,53,0.955764
0.0,18,0.956339
0.0,31,0.9573
1.0,17,0.957838
1.0,97,0.960778
0.0,12,0.961213
0.0,16,0.961727
1.0,12,0.962168
1.0,87,0.964808
1.0,54,0.966525
0.0,36,0.967701
1.0,11,0.968072
0.0,47,0.969798
0.0,204,0.976272
0.0,279,0.98482
1.0,12,0.985227
0.0,15,0.985708
0.0,44,0.987105
0.0,338,0.997332
0.0,6,0.997621
1.0,76,1.000218
1.0,426,1.013256
0.0,45,1.014657
0.0,14,1.015111
0.0,72,1.017304
1.0,214,1.023748
0.0,287,1.03273
1.0,11,1.033105
1.0,43,1.034474
0.0,129,1.038453
0.0,40,1.03975
1.0,12,1.040155
1.0,75,1.042462
0.0,199,1.048791
0.0,13,1.049228
1.0,14,1.04968
0.0,6,1.049893
0.0,4,1.050044
0.0,79,1.052489
1.0,11,1.052864
1.0,128,1.056743
0.0,252,1.064652
0.0,113,1.068348
1.0,13,1.068814
0.0,112,1.072217
0.0,195,1.078128
0.0,14,1.078594
1.0,18,1.07917
1.0,39,1.080382
0.0,52,1.081978
0.0,500,1.097298
1.0,11,1.097679
0.0,24,1.098428
0.0,26,1.09925
0.0,125,1.103208
1.0,15,1.103779
0.0,25,1.104558
0.0,50,1.106111
0.0,12,1.106507
1.0,38,1.107692
1.0,103,1.110833
0.0,26,1.111647
0.0,73,1.113894
1.0,12,1.114295
1.0,70,1.116419
1.0,321,1.126686
0.0,230,1.133611
1.0,11,1.133991
1.0,63,1.135911
0.0,228,1.142808
0.0,81,1.145268
1.0,13,1.145697
0.0,39,1.146904
0.0,42,1.148208
0.0,20,1.148849
1.0,18,1.149418
1.0,90,1.152351
0.0,167,1.157618
0.0,352,1.16845
1.0,11,1.168834
1.0,98,1.171824
0.0,258,1.179614
0.0,202,1.185814
1.0,17,1.186636
1.0,50,1.188168
0.0,76,1.190545
0.0,42,1.191828
1.0,14,1.192279
0.0,37,1.193415
0.0,62,1.195299
0.0,99,1.198514
1.0,15,1.199003
1.0,40,1.200277
0.0,21,1.200942
0.0,72,1.203127
1.0,11,1.203502
1.0,33,1.204523
0.0,85,1.207078
0.0,230,1.214084
0.0,9,1.214399
1.0,71,1.216609
1.0,73,1.21931
0.0,423,1.232277
1.0,13,1.232719
0.0,93,1.235583
0.0,20,1.236217
0.0,39,1.237418
1.0,13,1.237842
0.0,31,1.238808
1.0,153,1.243533
0.0,99,1.246645
1.0,11,1.247018
1.0,56,1.248729
1.0,230,1.255993
0.0,267,1.264157
1.0,11,1.264573
1.0,85,1.267167
0.0,34,1.268252
0.0,51,1.269823
1.0,11,1.270193
1.0,31,1.27117
0.0,280,1.279733
0.0,1000,1.310111
1.0,11,1.310796
1.0,41,1.312074
0.0,93,1.315077
0.0,27,1.315943
0.0,2,1.316033
1.0,97,1.319009
1.0,258,1.326763
0.0,77,1.329115
1.0,12,1.329519
1.0,44,1.330894
1.0,90,1.333643
0.0,2,1.333732
1.0,15,1.334214
0.0,2,1.3343
1.0,119,1.338014
0.0,13,1.338441
1.0,11,1.33881
0.0,11,1.339164
0.0,41,1.340506
0.0,306,1.35002
1.0,11,1.350485
1.0,48,1.352033
0.0,153,1.356737
0.0,124,1.36051
1.0,11,1.360885
0.0,13,1.361304
0.0,47,1.362748
0.0,77,1.365116
0.0,2,1.365207
1.0,34,1.366263
0.0,61,1.368212
0.0,7,1.368467
0.0,4,1.368617
1.0,45,1.370003
0.0,33,1.371143
0.0,163,1.376375
1.0,11,1.376752
1.0,83,1.379319
0.0,233,1.386292
0.0,18,1.386878
1.0,13,1.387314
1.0,63,1.389234
0.0,134,1.393274
0.0,149,1.397856
0.0,2,1.39795
0.0,37,1.3992
0.0,22,1.399893
0.0,63,1.401808
1.0,11,1.402179
1.0,97,1.405349
0.0,41,1.406621
0.0,51,1.408244
1.0,13,1.408759
1.0,49,1.410345
0.0,21,1.411042
0.0,253,1.418708
1.0,11,1.419089
0.0,23,1.41981
0.0,104,1.422973
0.0,33,1.424004
1.0,11,1.424374
0.0,14,1.424829
0.0,70,1.427019
0.0,19,1.427618
1.0,15,1.428104
1.0,48,1.429703
1.0,61,1.431608
0.0,31,1.432572
1.0,20,1.433206
0.0,28,1.434074
0.0,195,1.440157
0.0,74,1.442416
1.0,13,1.442845
1.0,33,1.44386
0.0,38,1.445083
0.0,209,1.451563
1.0,11,1.451937
1.0,37,1.453084
0.0,69,1.455253
0.0,107,1.458521
1.0,11,1.458899
1.0,62,1.460897
0.0,127,1.464787
0.0,125,1.469161
1.0,13,1.469589
1.0,40,1.470846
0.0,54,1.472504
0.0,71,1.474652
1.0,11,1.475021
1.0,56,1.476769
0.0,41,1.478031
0.0,268,1.486324
1.0,13,1.486801
0.0,14,1.487246
0.0,8,1.487518
0.0,122,1.491384
1.0,13,1.491818
0.0,50,1.493358
0.0,43,1.494724
0.0,179,1.500399
1.0,13,1.500833
1.0,36,1.501954
0.0,52,1.503704
0.0,24,1.504529
1.0,11,1.5049
1.0,60,1.506815
0.0,39,1.508037
0.0,55,1.509727
1.0,15,1.510208
0.0,29,1.511112
0.0,87,1.513743
0.0,43,1.515075
1.0,11,1.515445
1.0,41,1.516716
0.0,5,1.516894
0.0,106,1.520113
1.0,11,1.520524
1.0,31,1.521561
1.0,89,1.524396
0.0,123,1.528291
1.0,13,1.528751
0.0,38,1.529934
0.0,108,1.533451
0.0,17,1.533988
1.0,11,1.53436
1.0,61,1.536216
0.0,21,1.536877
0.0,197,1.542859
1.0,11,1.543246
0.0,39,1.544452
0.0,28,1.54532
0.0,631,1.564685
1.0,12,1.565093
1.0,43,1.566453
1.0,96,1.569738
0.0,100,1.572853
1.0,11,1.573232
1.0,75,1.575654
0.0,66,1.577665
0.0,112,1.581097
1.0,11,1.581507
1.0,32,1.582591
0.0,252,1.59063
0.0,275,1.59949
1.0,11,1.599868
1.0,38,1.60107
1.0,91,1.603881
0.0,89,1.606639
1.0,12,1.607043
0.0,24,1.607802
1.0,460,1.622
0.0,140,1.626634
0.0,2,1.62673
1.0,36,1.627858
0.0,100,1.630887
0.0,16,1.631406
1.0,30,1.632331
1.0,31,1.633292
0.0,56,1.63501
0.0,61,1.636916
1.0,11,1.637291
1.0,62,1.639216
0.0,38,1.640405
0.0,22,1.641093
1.0,13,1.641517
1.0,69,1.643712
0.0,27,1.644637
0.0,155,1.649332
1.0,11,1.649711
1.0,24,1.650481
0.0,104,1.653651
0.0,148,1.658694
1.0,13,1.659161
1.0,39,1.66037
1.0,59,1.662166
0.0,194,1.668014
1.0,13,1.668479
1.0,26,1.66929
0.0,183,1.674991
0.0,27,1.675841
1.0,12,1.676243
1.0,24,1.677037
0.0,65,1.679245
0.0,17,1.679786
1.0,11,1.680279
0.0,5,1.680466
1.0,83,1.68306
0.0,123,1.686813
1.0,12,1.687214
1.0,57,1.689085
1.0,54,1.690838
0.0,262,1.69877
1.0,11,1.69915
1.0,62,1.701088
0.0,81,1.703555
0.0,142,1.707983
1.0,16,1.708498
1.0,31,1.709456
0.0,25,1.71025
0.0,490,1.725474
1.0,12,1.725878
0.0,8,1.726152
1.0,68,1.72829
0.0,68,1.730375
1.0,12,1.730781
1.0,46,1.732203
0.0,165,1.737378
0.0,88,1.740072
1.0,12,1.740473
1.0,28,1.741356
0.0,128,1.745198
0.0,45,1.746591
1.0,11,1.746968
1.0,26,1.747792
0.0,22,1.748486
0.0,183,1.754586
1.0,11,1.754999
1.0,24,1.755807
1.0,50,1.757331
0.0,131,1.761309
1.0,14,1.761779
1.0,69,1.763902
1.0,120,1.767699
0.0,13,1.768126
0.0,7,1.768371
1.0,35,1.76946
0.0,89,1.772145
0.0,19,1.772786
0.0,6,1.773087
0.0,24,1.773986
0.0,82,1.776541
0.0,60,1.778361
0.0,2,1.778453
1.0,23,1.779189
0.0,55,1.780867
0.0,103,1.784273
0.0,4,1.784431
1.0,26,1.785254
1.0,67,1.787284
0.0,51,1.788833
1.0,13,1.789256
0.0,19,1.78985
1.0,218,1.796448
0.0,17,1.797058
1.0,12,1.797521
1.0,25,1.798313
1.0,48,1.799806
0.0,64,1.801765
1.0,11,1.802138
1.0,33,1.80318
1.0,207,1.809462
0.0,26,1.81045
1.0,11,1.8109
1.0,23,1.811626
0.0,19,1.812231
0.0,187,1.818273
1.0,11,1.818658
1.0,28,1.819539
1.0,137,1.823683
0.0,14,1.824142
1.0,11,1.824512
0.0,28,1.825392
1.0,183,1.83144
0.0,143,1.835788
1.0,11,1.836168
1.0,27,1.837024
1.0,129,1.840955
0.0,12,1.841346
0.0,9,1.841647
1.0,25,1.842447
1.0,36,1.843572
0.0,128,1.84766
1.0,11,1.848037
1.0,23,1.848768
1.0,181,1.854255
0.0,226,1.861603
1.0,14,1.862086
0.0,29,1.863011
0.0,48,1.864545
0.0,301,1.873994
1.0,13,1.874437
0.0,19,1.875038
1.0,91,1.878155
0.0,21,1.878864
1.0,11,1.879237
1.0,40,1.880478
0.0,96,1.883385
0.0,22,1.884076
1.0,13,1.884502
1.0,23,1.885231
1.0,140,1.889561
0.0,117,1.893103
1.0,29,1.894047
0.0,24,1.894843
1.0,81,1.897324
0.0,7,1.897572
1.0,38,1.898749
1.0,38,1.899918
0.0,34,1.900971
0.0,126,1.904923
1.0,14,1.905431
1.0,42,1.906836
1.0,31,1.90784
0.0,24,1.908872
1.0,12,1.90927
0.0,51,1.910885
0.0,4,1.911038
0.0,61,1.912868
1.0,11,1.913233
1.0,23,1.913963
0.0,54,1.915603
0.0,48,1.917069
1.0,13,1.917493
1.0,29,1.918391
1.0,185,1.924096
0.0,229,1.931345
1.0,12,1.931754
0.0,48,1.933233
0.0,30,1.934181
0.0,51,1.935752
1.0,11,1.936127
1.0,27,1.936975
0.0,183,1.942829
0.0,84,1.94546
1.0,11,1.945834
1.0,26,1.946665
0.0,13,1.947088
0.0,120,1.950833
0.0,6,1.951052
0.0,9,1.951351
0.0,62,1.953242
0.0,11,1.953609
1.0,15,1.954096
1.0,33,1.955125
1.0,121,1.958864
0.0,17,1.959412
1.0,11,1.959787
0.0,10,1.96012
1.0,116,1.963873
0.0,38,1.965087
0.0,7,1.965334
0.0,15,1.965816
1.0,173,1.97122
0.0,194,1.977273
1.0,11,1.977652
1.0,23,1.978383
0.0,20,1.979018
0.0,27,1.979894
1.0,14,1.980354
0.0,4,1.980506
1.0,97,1.983925
0.0,90,1.986764
1.0,11,1.987143
1.0,26,1.987953
0.0,19,1.988557
0.0,34,1.989606
1.0,56,1.991372
0.0,14,1.991834
0.0,183,1.99736
0.0,489,2.01229
1.0,12,2.012701
0.0,8,2.012972
0.0,46,2.014389
0.0,11,2.014799
1.0,12,2.015197
1.0,35,2.016269
0.0,211,2.022985
0.0,97,2.02596
1.0,12,2.026364
1.0,68,2.028439
0.0,23,2.029169
0.0,489,2.044438
1.0,11,2.04482
1.0,24,2.045614
1.0,52,2.047232
0.0,83,2.049768
1.0,11,2.050139
1.0,29,2.051045
0.0,6,2.051259
0.0,52,2.052857
1.0,13,2.053286
1.0,27,2.054138
0.0,39,2.055345
0.0,70,2.057581
1.0,15,2.058147
1.0,30,2.059117
0.0,170,2.064296
0.0,814,2.089309
1.0,52,2.090932
1.0,26,2.091787
0.0,9,2.092094
0.0,76,2.094421
1.0,11,2.094794
1.0,25,2.095618
1.0,204,2.101995
0.0,308,2.111388
0.0,2,2.111486
1.0,30,2.112429
0.0,156,2.117167
0.0,131,2.121151
1.0,12,2.121555
1.0,23,2.122417
1.0,37,2.123699
0.0,115,2.127355
1.0,15,2.127954
1.0,25,2.128787
0.0,36,2.129908
0.0,157,2.134809
1.0,11,2.135188
1.0,26,2.136078
0.0,90,2.13886
0.0,417,2.15174
1.0,11,2.152123
1.0,25,2.152965
0.0,14,2.153428
0.0,102,2.156582
1.0,13,2.157015
1.0,26,2.15784
1.0,130,2.162038
0.0,17,2.162631
1.0,14,2.163089
1.0,24,2.163883
0.0,11,2.164247
0.0,71,2.166524
1.0,12,2.166929
0.0,8,2.167206
0.0,124,2.171231
0.0,91,2.174014
1.0,11,2.174386
1.0,23,2.175125
1.0,41,2.176417
0.0,209,2.182836
1.0,11,2.183217
1.0,23,2.183952
0.0,26,2.184772
0.0,94,2.187637
1.0,12,2.188042
1.0,31,2.189016
0.0,49,2.190607
0.0,26,2.191512
1.0,13,2.191947
1.0,25,2.192742
0.0,18,2.193319
0.0,558,2.210572
1.0,20,2.211228
1.0,25,2.212021
0.0,23,2.212753
0.0,178,2.218215
1.0,11,2.218593
1.0,23,2.219331
1.0,31,2.220309
0.0,103,2.2238
1.0,11,2.224184
1.0,23,2.224928
1.0,224,2.231962
0.0,150,2.236708
1.0,12,2.237127
1.0,28,2.238037
1.0,86,2.240686
0.0,496,2.25652
1.0,11,2.25693
0.0,8,2.257202
1.0,38,2.258461
0.0,8,2.258737
1.0,18,2.259314
1.0,27,2.260168
1.0,41,2.261443
0.0,198,2.267741
1.0,30,2.26869
0.0,8,2.268967
0.0,65,2.270995
0.0,28,2.271868
1.0,11,2.272241
1.0,23,2.272974
1.0,183,2.278573
0.0,24,2.279375
1.0,11,2.279748
1.0,23,2.280484
1.0,84,2.283072
0.0,395,2.295537
1.0,13,2.295982
0.0,16,2.296502
0.0,26,2.297315
0.0,124,2.301092
1.0,11,2.301505
1.0,25,2.302488
1.0,68,2.304655
0.0,9,2.304956
1.0,13,2.305381
1.0,23,2.30611
0.0,47,2.307559
0.0,184,2.313135
1.0,14,2.3136
1.0,39,2.314816
1.0,121,2.318928
0.0,470,2.333455
1.0,11,2.333837
1.0,23,2.334584
1.0,79,2.336995
0.0,12,2.337391
0.0,10,2.337726
0.0,8,2.338001
1.0,40,2.339256
0.0,46,2.340681
1.0,11,2.341053
0.0,22,2.341743
0.0,26,2.342565
0.0,1000,2.372922
0.0,2,2.373025
1.0,28,2.373911
0.0,197,2.380443
0.0,4,2.380603
1.0,13,2.381035
1.0,29,2.381938
1.0,26,2.382831
0.0,196,2.388724
1.0,13,2.389157
0.0,19,2.389757
0.0,9,2.390059
0.0,47,2.391545
1.0,11,2.391921
1.0,25,2.392714
0.0,4,2.392865
0.0,144,2.397237
1.0,16,2.39776
1.0,29,2.398705
0.0,99,2.401721
