# {"t_start": 1640868091.1144948, "env_id": "Office-single-v0"} 
r,l,t
0.0,24,0.001547
0.0,28,0.002954
0.0,34,0.004624
0.0,30,0.005944
0.0,40,0.007651
0.0,9,0.008086
0.0,24,0.00913
0.0,2,0.009258
0.0,47,0.011079
0.0,62,0.013499
0.0,11,0.013962
0.0,13,0.014494
0.0,121,0.018607
0.0,74,0.021005
0.0,46,0.022425
0.0,6,0.02264
0.0,60,0.024484
0.0,6,0.024718
0.0,31,0.025604
0.0,43,0.026819
0.0,41,0.027983
0.0,47,0.029312
0.0,15,0.029771
0.0,111,0.032801
0.0,15,0.033302
0.0,5,0.033466
0.0,25,0.034162
0.0,55,0.035703
0.0,28,0.036472
0.0,42,0.037615
0.0,89,0.040059
0.0,35,0.041018
0.0,31,0.041874
0.0,56,0.043466
0.0,102,0.046276
0.0,42,0.04749
0.0,12,0.047847
0.0,135,0.051611
0.0,80,0.053813
0.0,4,0.053955
0.0,105,0.056838
0.0,25,0.057547
0.0,33,0.05848
0.0,79,0.060822
0.0,59,0.062441
0.0,77,0.064637
0.0,71,0.067343
0.0,190,0.072781
0.0,26,0.073789
0.0,58,0.075986
0.0,53,0.077899
0.0,145,0.083429
0.0,41,0.08458
0.0,17,0.085071
0.0,85,0.087471
0.0,86,0.089828
0.0,46,0.09111
0.0,56,0.092704
0.0,95,0.095264
0.0,106,0.098191
0.0,178,0.103091
0.0,28,0.103948
0.0,14,0.104375
0.0,75,0.106471
0.0,50,0.10792
0.0,29,0.108758
0.0,66,0.110604
0.0,133,0.11429
0.0,90,0.116819
0.0,63,0.118562
0.0,97,0.12123
0.0,19,0.121782
0.0,201,0.127415
1.0,207,0.133218
0.0,57,0.134822
0.0,334,0.144337
0.0,101,0.147523
0.0,28,0.148317
0.0,7,0.148538
0.0,7,0.14876
0.0,149,0.152895
0.0,32,0.15381
0.0,9,0.154089
0.0,118,0.157374
0.0,77,0.159561
0.0,20,0.16014
1.0,190,0.16575
0.0,16,0.16623
0.0,67,0.168131
1.0,189,0.173384
0.0,126,0.17691
0.0,49,0.178299
0.0,65,0.18014
0.0,50,0.18154
0.0,424,0.193133
0.0,88,0.195614
0.0,7,0.195842
0.0,211,0.201717
0.0,47,0.203034
1.0,119,0.206363
1.0,134,0.210058
0.0,16,0.210534
0.0,7,0.210754
0.0,14,0.211166
0.0,63,0.212943
0.0,99,0.215681
0.0,168,0.22035
0.0,250,0.227205
0.0,186,0.232381
0.0,57,0.233995
0.0,26,0.234743
0.0,189,0.240051
0.0,55,0.241594
0.0,331,0.250694
1.0,162,0.255234
0.0,32,0.256189
0.0,185,0.261821
0.0,80,0.264082
1.0,212,0.269946
1.0,177,0.274806
0.0,160,0.279317
0.0,50,0.280723
1.0,226,0.286962
1.0,192,0.292613
0.0,134,0.296389
1.0,326,0.305904
0.0,200,0.311508
0.0,65,0.313324
0.0,62,0.315123
0.0,167,0.319825
0.0,38,0.3209
0.0,21,0.321507
0.0,16,0.321977
0.0,14,0.322399
0.0,45,0.323698
0.0,111,0.326816
0.0,295,0.335016
0.0,217,0.341206
0.0,2,0.341299
0.0,4,0.341453
0.0,2,0.341538
0.0,21,0.342172
1.0,139,0.346069
0.0,214,0.352101
0.0,31,0.352983
0.0,123,0.356381
1.0,168,0.361057
0.0,132,0.364785
0.0,19,0.36534
0.0,235,0.371802
1.0,144,0.375825
0.0,15,0.376269
0.0,103,0.37913
0.0,52,0.380585
0.0,24,0.381279
0.0,62,0.382991
1.0,131,0.386639
0.0,46,0.387934
0.0,126,0.391531
0.0,87,0.39394
1.0,250,0.400833
0.0,91,0.403358
0.0,31,0.404242
0.0,188,0.409474
0.0,58,0.411093
0.0,299,0.419365
0.0,61,0.42105
1.0,121,0.424445
0.0,62,0.426179
0.0,35,0.427233
0.0,92,0.429815
0.0,26,0.430559
0.0,8,0.430812
0.0,22,0.431457
1.0,143,0.435423
0.0,11,0.435757
0.0,300,0.444022
0.0,288,0.451972
0.0,108,0.454957
1.0,74,0.457013
1.0,126,0.460536
1.0,120,0.463928
0.0,29,0.464747
0.0,91,0.467365
1.0,190,0.472622
1.0,76,0.474738
1.0,430,0.486546
0.0,178,0.491469
