# {"t_start": 1640870592.748627, "env_id": "Office-v0"} 
r,l,t
0.0,25,0.001045
0.0,82,0.003543
0.0,38,0.004745
0.0,31,0.00575
0.0,40,0.006939
0.0,2,0.00703
0.0,6,0.007239
0.0,7,0.007489
0.0,11,0.007839
0.0,12,0.008215
0.0,43,0.009645
0.0,77,0.012127
0.0,6,0.012338
0.0,6,0.012542
0.0,32,0.013595
0.0,2,0.013687
0.0,52,0.015213
0.0,29,0.016085
0.0,2,0.016172
0.0,42,0.017467
0.0,20,0.018109
0.0,32,0.019216
0.0,6,0.01942
0.0,45,0.020858
0.0,17,0.021429
0.0,39,0.022576
0.0,4,0.022721
0.0,32,0.023677
0.0,25,0.02443
0.0,40,0.02562
0.0,28,0.026459
0.0,25,0.0272
0.0,5,0.027381
0.0,53,0.02894
0.0,7,0.029204
0.0,10,0.029555
0.0,25,0.030314
0.0,39,0.031513
0.0,17,0.032077
0.0,8,0.032331
0.0,20,0.032942
0.0,29,0.033809
0.0,72,0.035868
0.0,25,0.036622
0.0,28,0.037495
0.0,31,0.038416
0.0,16,0.038912
0.0,29,0.03978
0.0,23,0.040468
0.0,114,0.043845
0.0,29,0.044713
0.0,30,0.045604
1.0,165,0.050426
0.0,68,0.052482
0.0,32,0.053441
0.0,35,0.054487
0.0,36,0.055567
0.0,26,0.056356
0.0,74,0.058553
0.0,77,0.06084
1.0,66,0.062854
0.0,64,0.064712
0.0,36,0.065848
0.0,23,0.06659
0.0,106,0.069812
0.0,81,0.072198
0.0,120,0.075809
0.0,27,0.077123
0.0,24,0.077856
0.0,27,0.078661
0.0,85,0.081165
0.0,33,0.082149
0.0,75,0.084365
0.0,51,0.086026
0.0,60,0.087798
0.0,13,0.088206
0.0,35,0.089266
0.0,70,0.091352
0.0,78,0.093709
0.0,33,0.094695
0.0,28,0.095555
0.0,111,0.098859
0.0,19,0.099502
0.0,41,0.100742
0.0,67,0.102757
0.0,96,0.105592
0.0,58,0.107407
0.0,69,0.109521
1.0,73,0.111696
0.0,53,0.113301
0.0,96,0.116135
0.0,18,0.116701
1.0,52,0.118306
0.0,64,0.120209
0.0,67,0.122228
0.0,25,0.122995
1.0,111,0.126279
0.0,98,0.129227
0.0,39,0.130414
0.0,14,0.130859
0.0,19,0.131453
0.0,41,0.132676
0.0,50,0.134417
0.0,62,0.136274
0.0,89,0.138966
0.0,85,0.141832
0.0,79,0.144169
0.0,11,0.144565
1.0,20,0.145238
0.0,60,0.147018
0.0,30,0.147923
0.0,136,0.151931
1.0,98,0.15489
0.0,53,0.156498
0.0,110,0.159947
0.0,79,0.162347
0.0,49,0.163837
0.0,39,0.164991
0.0,78,0.167315
0.0,96,0.170222
0.0,79,0.17255
0.0,189,0.178543
0.0,52,0.180131
0.0,48,0.181603
1.0,27,0.182472
0.0,196,0.188285
0.0,107,0.19152
0.0,78,0.193884
0.0,71,0.195998
0.0,35,0.19707
0.0,49,0.198591
0.0,44,0.199909
1.0,36,0.201006
0.0,69,0.203061
0.0,25,0.203828
0.0,122,0.20747
0.0,23,0.208187
0.0,54,0.209805
0.0,12,0.210179
0.0,103,0.213294
1.0,32,0.214269
0.0,8,0.21453
0.0,121,0.218087
0.0,86,0.220709
1.0,30,0.221668
1.0,127,0.225682
0.0,39,0.226897
0.0,50,0.228439
0.0,84,0.231024
0.0,55,0.23269
0.0,68,0.234739
0.0,49,0.236197
1.0,42,0.237508
0.0,93,0.240259
0.0,92,0.243219
0.0,128,0.247019
0.0,62,0.248879
1.0,214,0.25527
0.0,65,0.257219
0.0,143,0.26157
1.0,106,0.264715
1.0,302,0.273643
0.0,41,0.274884
0.0,35,0.275958
0.0,27,0.276788
1.0,130,0.280672
0.0,62,0.282552
0.0,43,0.283864
1.0,49,0.285382
0.0,2,0.285473
0.0,14,0.285921
0.0,59,0.287688
1.0,33,0.28869
1.0,125,0.292426
0.0,49,0.293947
0.0,23,0.294663
1.0,18,0.295234
0.0,96,0.298152
0.0,105,0.301316
0.0,133,0.305571
0.0,60,0.307373
1.0,261,0.315044
0.0,52,0.316889
0.0,12,0.317305
1.0,73,0.319543
0.0,19,0.320135
0.0,64,0.322074
0.0,24,0.322847
1.0,18,0.323404
0.0,45,0.32484
0.0,72,0.327045
0.0,224,0.333787
1.0,100,0.3368
0.0,45,0.338294
0.0,82,0.340798
0.0,110,0.344082
0.0,2,0.344174
