episodes,steps,total reward
38,1000,20.0
176,2000,132.0
354,3000,175.0
563,4000,208.0
774,5000,211.0
992,6000,218.0
1201,7000,209.0
1408,8000,206.0
1623,9000,215.0
1845,10000,222.0
2060,11000,215.0
2275,12000,216.0
2477,13000,201.0
2671,14000,193.0
2888,15000,218.0
3110,16000,221.0
3326,17000,217.0
3535,18000,208.0
3748,19000,214.0
3965,20000,216.0
4177,21000,212.0
4389,22000,212.0
4608,23000,219.0
4819,24000,210.0
5041,25000,222.0
5254,26000,213.0
5468,27000,214.0
5686,28000,218.0
5907,29000,222.0
6125,30000,218.0
6343,31000,217.0
6537,32000,193.0
6753,33000,216.0
6967,34000,214.0
7185,35000,218.0
7404,36000,219.0
7622,37000,218.0
7839,38000,215.0
8057,39000,219.0
8276,40000,218.0
8489,41000,213.0
8700,42000,211.0
8917,43000,217.0
9135,44000,218.0
9355,45000,220.0
9567,46000,213.0
9785,47000,217.0
10000,48000,215.0
10212,49000,212.0
10431,50000,219.0
10650,51000,219.0
10866,52000,215.0
11066,53000,200.0
11274,54000,207.0
11488,55000,213.0
11704,56000,216.0
11917,57000,213.0
12134,58000,217.0
12303,59000,167.0
12511,60000,208.0
12727,61000,217.0
12944,62000,215.0
13164,63000,220.0
13378,64000,214.0
13600,65000,221.0
13817,66000,217.0
14037,67000,220.0
14252,68000,216.0
14470,69000,216.0
14690,70000,220.0
14904,71000,214.0
15117,72000,213.0
15337,73000,220.0
15555,74000,217.0
15775,75000,220.0
15995,76000,220.0
16208,77000,213.0
16426,78000,218.0
16641,79000,215.0
16854,80000,211.0
17014,81000,160.0
17228,82000,214.0
17452,83000,224.0
17671,84000,219.0
17858,85000,185.0
18068,86000,210.0
18289,87000,222.0
18510,88000,220.0
18724,89000,213.0
18942,90000,217.0
19160,91000,218.0
19377,92000,217.0
19599,93000,221.0
19768,94000,169.0
19927,95000,158.0
20140,96000,213.0
20357,97000,218.0
20579,98000,221.0
20792,99000,210.0
20982,100000,189.0
