episodes,steps,total reward
27,1000,0.0
42,2000,0.0
54,3000,0.0
63,4000,0.0
70,5000,0.0
81,6000,0.0
92,7000,0.0
105,8000,2.0
109,9000,0.0
113,10000,0.0
120,11000,0.0
129,12000,2.0
135,13000,0.0
146,14000,1.0
156,15000,1.0
163,16000,2.0
174,17000,0.0
176,18000,0.0
184,19000,0.0
192,20000,1.0
197,21000,0.0
207,22000,1.0
224,23000,2.0
228,24000,0.0
241,25000,1.0
245,26000,1.0
253,27000,1.0
257,28000,0.0
263,29000,2.0
273,30000,5.0
283,31000,3.0
293,32000,2.0
296,33000,0.0
303,34000,3.0
312,35000,2.0
318,36000,3.0
332,37000,4.0
347,38000,6.0
355,39000,2.0
368,40000,3.0
377,41000,4.0
384,42000,4.0
399,43000,12.0
421,44000,9.0
442,45000,14.0
467,46000,19.0
500,47000,20.0
534,48000,26.0
559,49000,20.0
592,50000,25.0
625,51000,22.0
661,52000,32.0
696,53000,27.0
730,54000,30.0
768,55000,26.0
808,56000,32.0
849,57000,31.0
888,58000,33.0
926,59000,32.0
961,60000,30.0
995,61000,27.0
1033,62000,31.0
1072,63000,33.0
1116,64000,30.0
1155,65000,33.0
1191,66000,26.0
1233,67000,31.0
1273,68000,33.0
1312,69000,32.0
1350,70000,34.0
1391,71000,33.0
1429,72000,32.0
1467,73000,34.0
1510,74000,30.0
1553,75000,28.0
1595,76000,32.0
1636,77000,33.0
1676,78000,31.0
1716,79000,30.0
1756,80000,29.0
1794,81000,35.0
1833,82000,34.0
1871,83000,33.0
1912,84000,30.0
1953,85000,32.0
1993,86000,32.0
2036,87000,31.0
2075,88000,32.0
2115,89000,30.0
2155,90000,34.0
2195,91000,31.0
2235,92000,31.0
2278,93000,33.0
2318,94000,33.0
2357,95000,31.0
2396,96000,30.0
2435,97000,31.0
2476,98000,30.0
2517,99000,35.0
2558,100000,33.0
