episodes,steps,total reward
34,1000,1.0
57,2000,2.0
77,3000,1.0
94,4000,1.0
110,5000,1.0
124,6000,1.0
137,7000,3.0
159,8000,2.0
170,9000,4.0
182,10000,4.0
198,11000,2.0
213,12000,3.0
226,13000,6.0
237,14000,5.0
249,15000,3.0
265,16000,4.0
279,17000,4.0
291,18000,3.0
301,19000,3.0
313,20000,4.0
322,21000,2.0
337,22000,6.0
349,23000,4.0
362,24000,5.0
377,25000,7.0
383,26000,2.0
391,27000,4.0
403,28000,5.0
410,29000,4.0
415,30000,1.0
429,31000,5.0
439,32000,5.0
449,33000,5.0
465,34000,6.0
477,35000,6.0
498,36000,9.0
514,37000,7.0
531,38000,4.0
539,39000,4.0
551,40000,4.0
566,41000,6.0
578,42000,6.0
587,43000,5.0
595,44000,4.0
614,45000,11.0
633,46000,7.0
643,47000,5.0
659,48000,6.0
677,49000,8.0
702,50000,10.0
710,51000,4.0
724,52000,5.0
746,53000,10.0
766,54000,8.0
779,55000,6.0
798,56000,8.0
802,57000,3.0
818,58000,7.0
830,59000,9.0
846,60000,8.0
854,61000,4.0
870,62000,9.0
879,63000,5.0
883,64000,2.0
898,65000,7.0
921,66000,13.0
939,67000,13.0
959,68000,10.0
972,69000,7.0
979,70000,3.0
994,71000,6.0
1006,72000,6.0
1030,73000,11.0
1043,74000,8.0
1062,75000,13.0
1069,76000,5.0
1083,77000,7.0
1092,78000,4.0
1114,79000,13.0
1131,80000,6.0
1151,81000,12.0
1174,82000,15.0
1192,83000,11.0
1211,84000,13.0
1231,85000,9.0
1253,86000,12.0
1278,87000,15.0
1305,88000,13.0
1316,89000,8.0
1335,90000,14.0
1359,91000,15.0
1379,92000,11.0
1408,93000,18.0
1431,94000,15.0
1451,95000,15.0
1459,96000,5.0
1483,97000,17.0
1487,98000,3.0
1511,99000,18.0
1516,100000,3.0
