# {"t_start": 1641259300.1878355, "env_id": "Office-single-v0"} 
r,l,t
0.0,5,0.000388
0.0,9,0.000747
0.0,71,0.003015
0.0,14,0.003493
0.0,40,0.004783
0.0,2,0.004883
0.0,37,0.00607
0.0,55,0.007823
0.0,46,0.009289
0.0,18,0.009918
0.0,10,0.010291
0.0,31,0.011212
0.0,19,0.011794
0.0,14,0.012226
0.0,31,0.013144
0.0,38,0.014344
0.0,108,0.017538
0.0,11,0.017876
0.0,31,0.018956
0.0,29,0.019783
0.0,37,0.020826
0.0,33,0.021755
0.0,15,0.022248
0.0,44,0.023465
0.0,20,0.024045
0.0,56,0.025696
0.0,141,0.029721
0.0,56,0.031543
0.0,39,0.032698
0.0,107,0.035764
0.0,123,0.039314
0.0,80,0.041647
0.0,12,0.042028
0.0,33,0.043008
0.0,84,0.045431
0.0,166,0.050168
0.0,52,0.051687
0.0,95,0.054439
0.0,58,0.05618
0.0,17,0.056707
0.0,137,0.060825
0.0,43,0.062085
0.0,43,0.063339
0.0,40,0.064517
0.0,72,0.06661
0.0,96,0.069361
0.0,33,0.070329
0.0,49,0.071744
0.0,29,0.072614
0.0,76,0.074803
0.0,71,0.076863
0.0,117,0.080241
0.0,17,0.08077
0.0,102,0.083712
0.0,69,0.085712
0.0,219,0.092228
0.0,13,0.092638
0.0,91,0.095376
0.0,47,0.096741
0.0,4,0.096887
0.0,55,0.098508
0.0,4,0.098656
0.0,84,0.101075
0.0,103,0.104064
0.0,265,0.111573
0.0,55,0.113176
0.0,18,0.113734
0.0,26,0.114553
0.0,64,0.116428
0.0,45,0.117772
0.0,45,0.119266
0.0,6,0.119471
0.0,21,0.1201
0.0,41,0.121297
0.0,112,0.124519
0.0,381,0.135309
0.0,74,0.137415
0.0,601,0.15488
0.0,164,0.159521
0.0,41,0.160691
0.0,193,0.166235
0.0,421,0.178681
0.0,186,0.183907
0.0,45,0.18519
0.0,56,0.186798
0.0,5,0.186971
0.0,11,0.18731
0.0,143,0.191376
0.0,31,0.19243
0.0,51,0.193887
0.0,54,0.195489
0.0,961,0.222878
0.0,62,0.224658
0.0,276,0.233303
0.0,75,0.235668
0.0,25,0.236399
0.0,23,0.23707
0.0,18,0.237606
0.0,179,0.242635
0.0,88,0.24516
0.0,148,0.249302
0.0,58,0.250978
0.0,106,0.253952
0.0,31,0.254857
0.0,103,0.25785
0.0,25,0.25862
0.0,181,0.263988
0.0,27,0.264785
0.0,660,0.283561
0.0,28,0.284383
0.0,124,0.288002
0.0,31,0.288934
0.0,29,0.289995
0.0,39,0.291128
0.0,4,0.291274
0.0,29,0.292141
0.0,17,0.292803
0.0,105,0.295908
0.0,191,0.301226
0.0,103,0.304208
0.0,54,0.305822
0.0,28,0.306674
0.0,374,0.317016
0.0,4,0.317166
0.0,51,0.318742
0.0,15,0.3192
0.0,20,0.319794
0.0,39,0.320935
0.0,31,0.322113
0.0,65,0.323952
0.0,124,0.327633
0.0,189,0.33304
0.0,136,0.336857
0.0,342,0.346526
0.0,102,0.349539
0.0,119,0.35312
0.0,32,0.354063
0.0,88,0.356562
0.0,11,0.356903
0.0,75,0.359036
0.0,146,0.363369
0.0,52,0.364962
0.0,229,0.371439
0.0,92,0.374073
0.0,220,0.380544
0.0,160,0.385442
0.0,26,0.386284
0.0,52,0.387806
0.0,147,0.392002
0.0,10,0.392319
0.0,94,0.395005
0.0,416,0.406648
0.0,21,0.407258
0.0,50,0.408927
0.0,154,0.413393
0.0,476,0.427117
0.0,94,0.429772
0.0,59,0.431468
0.0,63,0.433266
