# {"t_start": 1641723062.945549, "env_id": "Office-v0"} 
r,l,t
0.0,46,0.002002
0.0,2,0.002142
0.0,22,0.003008
0.0,19,0.003784
0.0,25,0.004756
0.0,58,0.006965
0.0,7,0.007271
0.0,31,0.008481
0.0,32,0.010029
0.0,44,0.011555
0.0,75,0.014126
0.0,14,0.014646
0.0,16,0.0152
0.0,16,0.015752
0.0,7,0.015998
0.0,28,0.016941
0.0,9,0.017322
0.0,8,0.017596
0.0,62,0.019531
0.0,10,0.019876
0.0,30,0.020951
0.0,40,0.022339
0.0,20,0.022997
0.0,83,0.025568
0.0,64,0.027525
0.0,32,0.0286
0.0,23,0.029333
0.0,17,0.029918
0.0,35,0.031009
0.0,31,0.031975
0.0,17,0.032542
0.0,8,0.032835
0.0,27,0.033699
0.0,16,0.034223
0.0,23,0.034956
0.0,55,0.036971
0.0,12,0.037372
0.0,21,0.038039
0.0,72,0.040231
0.0,4,0.040391
0.0,105,0.043698
0.0,57,0.045456
0.0,39,0.046672
0.0,9,0.046974
0.0,42,0.048289
0.0,15,0.048788
0.0,31,0.049814
0.0,62,0.051795
0.0,25,0.052618
0.0,17,0.053187
0.0,11,0.053563
0.0,15,0.054073
0.0,61,0.056005
0.0,23,0.056778
0.0,38,0.057998
0.0,29,0.058977
0.0,65,0.061039
0.0,46,0.062509
0.0,36,0.063675
0.0,59,0.065578
1.0,37,0.066798
0.0,109,0.070492
0.0,93,0.073982
0.0,150,0.078764
1.0,101,0.081995
0.0,28,0.082911
0.0,63,0.084938
0.0,27,0.085824
1.0,65,0.087905
0.0,66,0.090007
0.0,51,0.091654
0.0,20,0.092334
0.0,34,0.093438
0.0,82,0.096051
0.0,93,0.099066
0.0,20,0.09974
1.0,106,0.103302
0.0,61,0.105283
0.0,30,0.106267
0.0,36,0.107448
0.0,13,0.107896
0.0,23,0.108649
0.0,18,0.109249
0.0,28,0.110164
1.0,66,0.112399
0.0,58,0.114251
0.0,53,0.115938
0.0,19,0.116586
0.0,31,0.117597
0.0,10,0.117945
0.0,108,0.121358
0.0,71,0.123619
0.0,40,0.124907
0.0,37,0.12611
0.0,35,0.127231
0.0,29,0.128179
0.0,23,0.128942
0.0,65,0.130995
0.0,91,0.134079
0.0,37,0.135313
0.0,90,0.138172
0.0,16,0.138712
0.0,98,0.141815
0.0,76,0.144259
1.0,34,0.145365
0.0,133,0.149523
0.0,84,0.152094
0.0,37,0.153241
0.0,17,0.153783
0.0,80,0.156253
0.0,71,0.158649
0.0,46,0.16011
0.0,97,0.163112
0.0,151,0.167938
0.0,38,0.169214
0.0,100,0.172508
1.0,26,0.173362
0.0,132,0.177383
0.0,117,0.181199
0.0,13,0.181632
0.0,79,0.184052
0.0,32,0.185098
0.0,30,0.186049
0.0,20,0.18669
0.0,20,0.187328
0.0,39,0.188609
0.0,19,0.189257
0.0,116,0.192894
1.0,85,0.19553
0.0,52,0.197397
0.0,87,0.200305
0.0,83,0.202923
0.0,22,0.203623
0.0,71,0.205868
0.0,62,0.207763
0.0,54,0.209462
1.0,31,0.210632
1.0,139,0.21518
0.0,17,0.215735
0.0,100,0.218806
1.0,50,0.220462
0.0,65,0.222535
0.0,139,0.226844
0.0,12,0.227373
1.0,33,0.228564
0.0,81,0.231352
0.0,224,0.238337
0.0,39,0.239558
1.0,21,0.240265
0.0,11,0.240649
0.0,35,0.241748
0.0,6,0.241965
0.0,103,0.245112
0.0,18,0.245688
0.0,54,0.247351
0.0,110,0.250852
1.0,31,0.251888
0.0,5,0.252072
0.0,133,0.256458
0.0,31,0.257446
0.0,2,0.25754
0.0,7,0.2578
0.0,79,0.260244
0.0,12,0.260649
0.0,103,0.264025
0.0,113,0.267482
0.0,44,0.268872
0.0,25,0.26966
1.0,32,0.27066
0.0,11,0.271025
0.0,113,0.27447
0.0,10,0.274808
0.0,67,0.276896
0.0,171,0.282175
0.0,16,0.282703
0.0,34,0.283756
0.0,75,0.28613
0.0,57,0.287883
0.0,80,0.290344
0.0,6,0.290563
1.0,17,0.291117
0.0,175,0.296856
0.0,130,0.300869
0.0,42,0.30217
0.0,10,0.302509
0.0,77,0.304863
0.0,46,0.306292
0.0,154,0.311013
0.0,51,0.312733
0.0,169,0.31794
0.0,9,0.318256
0.0,37,0.319403
1.0,26,0.320234
0.0,190,0.326524
0.0,56,0.328353
0.0,35,0.329601
1.0,33,0.330719
0.0,5,0.330901
0.0,40,0.332282
0.0,85,0.334932
0.0,80,0.337413
1.0,206,0.349452
0.0,51,0.351219
0.0,43,0.3526
1.0,58,0.354398
1.0,160,0.359351
0.0,89,0.362421
0.0,135,0.366587
1.0,47,0.36806
0.0,36,0.369182
0.0,51,0.370801
0.0,33,0.371904
1.0,23,0.372712
0.0,2,0.372808
0.0,39,0.374062
0.0,76,0.376461
0.0,102,0.379576
1.0,246,0.387074
0.0,45,0.388609
0.0,53,0.390287
1.0,21,0.390977
0.0,30,0.391907
0.0,22,0.392612
0.0,71,0.395037
1.0,23,0.395777
0.0,33,0.396801
0.0,81,0.399305
0.0,51,0.400911
1.0,38,0.402092
0.0,62,0.404014
0.0,83,0.406666
0.0,83,0.409411
1.0,40,0.410686
0.0,22,0.411373
0.0,15,0.411855
0.0,13,0.412313
1.0,15,0.412804
0.0,21,0.413462
0.0,87,0.416121
0.0,25,0.416953
0.0,34,0.418006
0.0,42,0.419283
0.0,12,0.419675
0.0,6,0.419885
1.0,41,0.421188
0.0,78,0.423637
0.0,13,0.424093
0.0,49,0.425883
0.0,11,0.42625
1.0,136,0.430404
0.0,10,0.430742
