# {"t_start": 1641721620.3108675, "env_id": "Office-single-v0"} 
r,l,t
0.0,10,0.000742
0.0,31,0.001843
0.0,5,0.00203
0.0,35,0.003133
0.0,31,0.00405
0.0,25,0.004799
0.0,32,0.005737
0.0,24,0.006457
0.0,5,0.006637
0.0,20,0.007326
0.0,67,0.009778
0.0,4,0.009966
0.0,29,0.011121
0.0,26,0.012133
0.0,67,0.014652
0.0,22,0.015399
0.0,95,0.018148
0.0,46,0.019492
0.0,7,0.01973
0.0,36,0.020793
0.0,33,0.021804
0.0,19,0.022481
0.0,96,0.025267
0.0,40,0.026494
0.0,31,0.02746
0.0,50,0.029031
0.0,35,0.030105
0.0,45,0.032014
0.0,58,0.034297
0.0,29,0.035184
0.0,146,0.039895
0.0,81,0.042338
0.0,37,0.043428
0.0,52,0.044931
0.0,75,0.047067
0.0,40,0.048236
0.0,42,0.049453
0.0,96,0.052381
0.0,63,0.054199
0.0,35,0.055228
0.0,91,0.057818
0.0,107,0.060926
0.0,64,0.062769
0.0,104,0.065988
0.0,61,0.067786
0.0,86,0.070577
0.0,41,0.071927
0.0,137,0.075829
0.0,51,0.077305
0.0,93,0.079982
0.0,73,0.082064
0.0,50,0.083508
0.0,187,0.08893
0.0,34,0.089929
0.0,51,0.091504
0.0,30,0.092381
0.0,80,0.094926
0.0,88,0.097505
0.0,38,0.098617
0.0,16,0.099108
0.0,48,0.100922
0.0,12,0.101403
0.0,188,0.106967
0.0,55,0.108545
0.0,97,0.111647
0.0,97,0.11442
0.0,32,0.115359
0.0,30,0.116239
0.0,69,0.118208
0.0,17,0.118725
0.0,35,0.119761
0.0,60,0.121471
0.0,59,0.123246
0.0,39,0.124518
0.0,153,0.128936
0.0,18,0.129482
0.0,61,0.131406
0.0,20,0.13217
0.0,55,0.133952
0.0,169,0.138891
0.0,215,0.144995
0.0,50,0.146447
0.0,98,0.149401
0.0,8,0.149667
0.0,56,0.151274
0.0,72,0.153547
0.0,32,0.154561
0.0,9,0.154849
0.0,106,0.157914
0.0,208,0.164277
0.0,116,0.16765
0.0,33,0.168656
0.0,47,0.170185
0.0,78,0.173013
0.0,85,0.175647
0.0,384,0.186764
0.0,121,0.190319
0.0,12,0.190695
0.0,74,0.192965
0.0,70,0.195079
0.0,42,0.196334
0.0,59,0.198022
0.0,99,0.200847
0.0,374,0.211605
0.0,302,0.220636
0.0,107,0.223772
0.0,40,0.225008
0.0,139,0.229015
0.0,307,0.238037
0.0,282,0.246492
0.0,99,0.249398
0.0,115,0.252668
0.0,4,0.252819
0.0,315,0.262089
0.0,6,0.262299
0.0,113,0.265543
0.0,135,0.269397
0.0,347,0.279493
0.0,115,0.28283
0.0,12,0.283283
0.0,52,0.28479
0.0,35,0.28581
0.0,54,0.287501
0.0,7,0.287729
0.0,209,0.293627
0.0,187,0.299325
0.0,74,0.301657
0.0,124,0.305222
0.0,47,0.306581
0.0,172,0.311604
0.0,2,0.311697
0.0,15,0.312154
0.0,145,0.316471
0.0,276,0.32454
0.0,712,0.345118
0.0,61,0.346907
0.0,6,0.347113
0.0,61,0.348885
0.0,29,0.349744
0.0,542,0.365496
0.0,54,0.367068
0.0,90,0.369614
0.0,19,0.370186
0.0,305,0.378931
0.0,203,0.384759
0.0,175,0.389915
0.0,171,0.395074
0.0,787,0.417983
0.0,10,0.418316
0.0,817,0.441629
0.0,14,0.442071
0.0,119,0.445472
0.0,28,0.446479
0.0,129,0.450402
0.0,229,0.456941
0.0,13,0.45735
0.0,65,0.459236
0.0,76,0.461416
0.0,323,0.470793
0.0,26,0.471571
0.0,10,0.471893
0.0,77,0.474112
0.0,159,0.478963
0.0,343,0.488839
0.0,79,0.491338
0.0,118,0.494736
0.0,35,0.495769
0.0,379,0.506848
0.0,36,0.508126
0.0,87,0.510597
0.0,155,0.515109
0.0,102,0.518055
0.0,218,0.524258
0.0,76,0.526436
0.0,893,0.552552
0.0,35,0.553595
0.0,111,0.55673
0.0,67,0.558664
0.0,38,0.559772
0.0,13,0.560215
0.0,4,0.56036
0.0,28,0.561247
0.0,139,0.565733
0.0,39,0.566881
0.0,11,0.567271
0.0,200,0.572963
0.0,132,0.576735
0.0,158,0.5813
