# {"t_start": 1641374600.7796168, "env_id": "Office-single-v0"} 
r,l,t
0.0,23,0.000898
0.0,4,0.001037
0.0,57,0.002462
0.0,11,0.002798
0.0,67,0.004368
0.0,14,0.00472
0.0,10,0.004978
0.0,18,0.005435
0.0,16,0.005829
0.0,44,0.006912
0.0,8,0.007134
0.0,34,0.007947
0.0,18,0.008402
0.0,12,0.008705
0.0,34,0.009539
0.0,28,0.010434
0.0,32,0.011482
0.0,24,0.012247
0.0,14,0.012705
0.0,22,0.013402
0.0,4,0.013529
0.0,28,0.014275
0.0,61,0.015742
0.0,20,0.016228
0.0,110,0.018999
0.0,23,0.019577
0.0,23,0.020138
0.0,76,0.021936
0.0,33,0.022777
0.0,60,0.024199
0.0,46,0.025432
0.0,40,0.026621
0.0,60,0.028042
0.0,129,0.031499
0.0,90,0.033695
0.0,49,0.034886
0.0,106,0.037345
0.0,75,0.039091
0.0,37,0.039969
0.0,127,0.04361
0.0,77,0.045803
0.0,21,0.046338
0.0,148,0.050019
0.0,229,0.0557
0.0,36,0.056625
0.0,102,0.059118
0.0,95,0.061307
0.0,55,0.062653
0.0,47,0.063776
0.0,23,0.064332
0.0,123,0.067157
0.0,35,0.067985
0.0,55,0.069287
0.0,84,0.071337
0.0,92,0.074047
0.0,29,0.075027
0.0,160,0.079461
0.0,4,0.079594
0.0,43,0.080626
0.0,84,0.082589
0.0,73,0.084302
0.0,44,0.08541
0.0,32,0.086204
0.0,46,0.087368
0.0,42,0.08835
0.0,28,0.08902
0.0,187,0.093272
0.0,41,0.094384
0.0,119,0.097187
0.0,23,0.097754
0.0,73,0.099463
0.0,126,0.102656
0.0,176,0.108135
0.0,84,0.110334
0.0,23,0.110913
0.0,57,0.112253
0.0,50,0.113447
0.0,79,0.115442
0.0,82,0.117477
0.0,120,0.120225
0.0,21,0.120754
0.0,335,0.12869
0.0,77,0.130527
0.0,92,0.13265
0.0,45,0.133946
0.0,187,0.139726
0.0,52,0.141032
0.0,251,0.146909
0.0,333,0.155587
0.0,18,0.156038
0.0,31,0.156774
0.0,57,0.158139
0.0,77,0.159945
0.0,83,0.161884
0.0,155,0.166008
0.0,81,0.168009
0.0,215,0.173282
0.0,25,0.173906
0.0,27,0.1746
0.0,72,0.176481
0.0,372,0.185409
0.0,34,0.18625
0.0,253,0.192116
0.0,43,0.193163
0.0,126,0.196637
0.0,14,0.197023
0.0,1000,0.22069
0.0,595,0.235461
0.0,84,0.237527
0.0,17,0.237947
0.0,26,0.238593
0.0,406,0.248079
0.0,43,0.249155
0.0,20,0.249746
0.0,42,0.250889
0.0,117,0.25367
0.0,16,0.254084
0.0,158,0.258248
0.0,47,0.259399
0.0,116,0.262246
0.0,8,0.262476
0.0,23,0.263037
0.0,102,0.265452
0.0,50,0.266655
0.0,20,0.267154
0.0,18,0.267605
0.0,46,0.268705
0.0,366,0.277558
0.0,13,0.277893
0.0,22,0.27846
0.0,58,0.279857
0.0,20,0.280366
0.0,18,0.280805
0.0,25,0.281422
0.0,12,0.281733
0.0,399,0.291405
0.0,39,0.292364
0.0,47,0.293586
0.0,133,0.296766
0.0,28,0.297453
0.0,87,0.300048
0.0,133,0.303148
0.0,64,0.304676
0.0,638,0.32012
0.0,238,0.32602
0.0,31,0.326819
0.0,77,0.328622
0.0,67,0.330205
0.0,11,0.330488
0.0,5,0.330639
0.0,89,0.332714
0.0,38,0.333628
0.0,168,0.338007
0.0,79,0.339938
0.0,196,0.344563
0.0,66,0.346159
0.0,75,0.348322
0.0,110,0.351205
0.0,18,0.35166
0.0,29,0.352364
0.0,21,0.352884
0.0,366,0.36153
0.0,106,0.364243
0.0,308,0.371392
0.0,42,0.372591
0.0,46,0.373843
0.0,62,0.37534
0.0,101,0.377684
0.0,31,0.378588
0.0,53,0.380248
0.0,150,0.383947
0.0,189,0.388582
0.0,335,0.396493
0.0,50,0.397931
0.0,23,0.398544
0.0,4,0.398673
0.0,59,0.400116
0.0,50,0.401356
0.0,64,0.402911
0.0,146,0.406378
0.0,285,0.413789
0.0,65,0.415375
0.0,9,0.415627
0.0,177,0.419766
0.0,152,0.423794
0.0,26,0.424436
0.0,218,0.429526
0.0,16,0.429954
0.0,535,0.443173
0.0,9,0.443507
0.0,276,0.45044
0.0,66,0.452037
0.0,88,0.454126
0.0,122,0.45697
0.0,110,0.459654
0.0,94,0.461916
0.0,50,0.463118
0.0,421,0.474008
0.0,25,0.474945
0.0,78,0.476979
0.0,66,0.478589
0.0,90,0.480915
0.0,324,0.488605
0.0,82,0.490582
0.0,23,0.491153
0.0,20,0.491647
0.0,453,0.502753
0.0,83,0.504742
0.0,526,0.516909
0.0,66,0.51867
0.0,136,0.522218
0.0,75,0.523984
0.0,152,0.527663
0.0,76,0.529466
0.0,69,0.531355
0.0,157,0.535465
0.0,185,0.539855
0.0,172,0.544013
0.0,648,0.56011
0.0,20,0.560629
0.0,149,0.564639
0.0,86,0.566731
0.0,77,0.568583
0.0,73,0.570341
0.0,159,0.574215
0.0,2,0.574298
0.0,4,0.574424
0.0,57,0.575772
0.0,54,0.577054
0.0,40,0.578039
0.0,63,0.579765
0.0,301,0.586864
0.0,97,0.589175
0.0,702,0.606332
0.0,201,0.611039
0.0,9,0.611295
0.0,68,0.612945
0.0,84,0.614932
0.0,16,0.61534
0.0,15,0.615722
0.0,90,0.617863
0.0,160,0.621923
0.0,11,0.622261
0.0,442,0.632713
0.0,74,0.634498
0.0,77,0.636328
0.0,58,0.638005
0.0,262,0.644467
0.0,38,0.645385
0.0,121,0.648303
0.0,68,0.649959
0.0,168,0.654097
0.0,106,0.656818
0.0,379,0.665895
0.0,221,0.67155
0.0,43,0.672593
0.0,11,0.672885
0.0,12,0.673191
0.0,92,0.675334
0.0,96,0.677627
0.0,90,0.679734
0.0,4,0.679863
0.0,65,0.681408
0.0,480,0.692938
0.0,38,0.694026
0.0,301,0.701131
0.0,349,0.709282
0.0,331,0.717628
0.0,81,0.719726
0.0,6,0.719906
0.0,171,0.723883
0.0,121,0.726728
0.0,93,0.728934
0.0,22,0.729481
0.0,83,0.73163
0.0,397,0.741078
0.0,32,0.741863
0.0,272,0.748461
0.0,213,0.75383
0.0,136,0.757035
0.0,150,0.760605
0.0,36,0.761487
0.0,180,0.765935
0.0,11,0.766276
0.0,49,0.767444
0.0,74,0.769202
0.0,57,0.770587
0.0,239,0.7762
0.0,103,0.778911
0.0,272,0.785216
0.0,149,0.789109
0.0,53,0.790614
0.0,22,0.791163
0.0,120,0.793988
0.0,58,0.795407
0.0,53,0.796673
0.0,104,0.799157
0.0,46,0.800281
0.0,19,0.800755
0.0,217,0.805844
0.0,40,0.806955
0.0,123,0.809987
0.0,105,0.812456
0.0,81,0.8146
0.0,4,0.81473
0.0,306,0.821802
0.0,86,0.823882
0.0,377,0.832853
0.0,272,0.839702
0.0,394,0.849232
0.0,506,0.861136
0.0,173,0.86554
0.0,202,0.87073
0.0,245,0.876657
0.0,448,0.887586
0.0,952,0.910726
0.0,91,0.912894
0.0,101,0.915298
0.0,62,0.916792
0.0,207,0.921642
0.0,816,0.941583
0.0,124,0.944556
0.0,6,0.944736
0.0,25,0.945364
0.0,109,0.94798
0.0,47,0.949131
0.0,576,0.963117
0.0,54,0.964423
0.0,88,0.966588
0.0,71,0.968294
0.0,198,0.972975
0.0,8,0.973205
0.0,91,0.975352
0.0,62,0.976829
0.0,12,0.977145
0.0,73,0.979164
0.0,20,0.979672
0.0,124,0.982721
0.0,70,0.984619
0.0,115,0.987395
0.0,103,0.989833
0.0,177,0.994251
0.0,97,0.996575
0.0,59,0.998001
0.0,45,0.999301
0.0,75,1.001103
0.0,188,1.005547
0.0,89,1.007692
0.0,106,1.010456
0.0,62,1.011957
0.0,104,1.014416
0.0,48,1.015557
0.0,9,1.015821
0.0,199,1.020532
0.0,78,1.022691
0.0,10,1.022968
0.0,89,1.025112
0.0,39,1.026071
0.0,66,1.027687
0.0,33,1.028495
0.0,17,1.028932
0.0,93,1.031439
0.0,195,1.036581
0.0,59,1.038006
0.0,214,1.043149
0.0,12,1.043472
0.0,594,1.058681
0.0,22,1.059287
0.0,40,1.06024
0.0,104,1.062734
0.0,13,1.063076
0.0,86,1.065101
0.0,12,1.065422
0.0,48,1.066609
0.0,278,1.073145
0.0,12,1.07348
0.0,17,1.073919
0.0,80,1.07584
0.0,98,1.078166
0.0,247,1.084512
0.0,110,1.087239
0.0,53,1.088507
0.0,11,1.088792
0.0,38,1.089715
0.0,173,1.094139
0.0,307,1.101376
0.0,263,1.107739
0.0,75,1.109513
0.0,207,1.114684
0.0,834,1.134385
0.0,75,1.13617
0.0,4,1.136296
0.0,30,1.137017
0.0,175,1.141132
0.0,64,1.142676
0.0,143,1.146277
0.0,215,1.151504
0.0,189,1.156527
0.0,119,1.159328
0.0,29,1.16005
0.0,239,1.165655
0.0,322,1.173505
0.0,83,1.175728
0.0,221,1.181177
0.0,70,1.182867
0.0,323,1.190699
0.0,9,1.190956
0.0,528,1.203261
0.0,47,1.204734
0.0,326,1.212485
0.0,36,1.213364
0.0,13,1.213698
0.0,14,1.214059
0.0,11,1.214354
0.0,13,1.214695
0.0,14,1.215048
0.0,46,1.216164
0.0,100,1.218551
0.0,175,1.222753
0.0,116,1.225677
0.0,31,1.22644
0.0,67,1.228068
0.0,47,1.229498
0.0,433,1.239899
0.0,24,1.240505
0.0,118,1.243429
0.0,8,1.243777
0.0,106,1.246358
0.0,56,1.247724
0.0,167,1.25163
0.0,863,1.27201
0.0,88,1.274126
0.0,72,1.275856
0.0,701,1.29265
0.0,11,1.292949
0.0,195,1.29774
0.0,104,1.3002
0.0,76,1.302441
0.0,76,1.304237
0.0,319,1.311612
