episodes,steps,total reward
38,1000,1.0
58,2000,0.0
77,3000,2.0
98,4000,1.0
114,5000,3.0
136,6000,2.0
151,7000,3.0
164,8000,1.0
175,9000,3.0
188,10000,3.0
201,11000,4.0
213,12000,1.0
224,13000,5.0
238,14000,3.0
253,15000,2.0
263,16000,3.0
274,17000,2.0
286,18000,2.0
302,19000,4.0
313,20000,3.0
318,21000,2.0
327,22000,2.0
338,23000,3.0
347,24000,3.0
356,25000,0.0
365,26000,4.0
372,27000,2.0
379,28000,3.0
386,29000,5.0
392,30000,3.0
401,31000,3.0
409,32000,2.0
414,33000,4.0
422,34000,3.0
426,35000,3.0
438,36000,5.0
446,37000,2.0
461,38000,5.0
472,39000,1.0
487,40000,4.0
494,41000,4.0
500,42000,1.0
512,43000,2.0
519,44000,4.0
529,45000,3.0
538,46000,5.0
554,47000,8.0
559,48000,1.0
566,49000,2.0
580,50000,5.0
594,51000,5.0
610,52000,6.0
619,53000,4.0
629,54000,4.0
639,55000,5.0
651,56000,2.0
670,57000,6.0
682,58000,5.0
693,59000,5.0
703,60000,5.0
714,61000,2.0
722,62000,3.0
734,63000,4.0
749,64000,8.0
759,65000,4.0
770,66000,7.0
775,67000,3.0
790,68000,4.0
801,69000,4.0
810,70000,6.0
825,71000,6.0
840,72000,6.0
855,73000,8.0
865,74000,5.0
875,75000,5.0
883,76000,4.0
896,77000,5.0
906,78000,7.0
914,79000,4.0
926,80000,8.0
938,81000,7.0
951,82000,6.0
963,83000,7.0
978,84000,8.0
987,85000,3.0
999,86000,5.0
1010,87000,4.0
1022,88000,8.0
1038,89000,6.0
1058,90000,8.0
1071,91000,7.0
1098,92000,13.0
1113,93000,8.0
1125,94000,7.0
1145,95000,11.0
1166,96000,11.0
1178,97000,4.0
1187,98000,3.0
1198,99000,6.0
1215,100000,6.0
