episodes,steps,total reward
171,10000,23.0
287,20000,24.0
357,30000,21.0
455,40000,31.0
553,50000,32.0
642,60000,37.0
726,70000,37.0
823,80000,41.0
938,90000,52.0
1063,100000,63.0
1150,110000,48.0
1279,120000,65.0
1405,130000,60.0
1560,140000,83.0
1699,150000,68.0
1843,160000,84.0
1999,170000,100.0
2194,180000,123.0
2375,190000,109.0
2536,200000,96.0
2705,210000,101.0
2871,220000,100.0
3031,230000,101.0
3159,240000,82.0
3339,250000,114.0
3479,260000,84.0
3619,270000,90.0
3779,280000,98.0
3929,290000,89.0
4067,300000,84.0
4263,310000,122.0
4422,320000,101.0
4583,330000,96.0
4731,340000,89.0
4918,350000,117.0
5107,360000,118.0
5279,370000,108.0
5422,380000,94.0
5575,390000,93.0
5739,400000,99.0
5891,410000,91.0
6043,420000,88.0
6163,430000,70.0
6323,440000,99.0
6483,450000,97.0
6655,460000,99.0
6819,470000,98.0
6939,480000,74.0
7099,490000,97.0
7262,500000,102.0
7415,510000,98.0
7559,520000,91.0
7711,530000,96.0
7871,540000,102.0
8062,550000,120.0
8263,560000,124.0
8407,570000,87.0
8543,580000,89.0
8682,590000,89.0
8861,600000,105.0
9011,610000,95.0
9195,620000,116.0
9387,630000,121.0
9543,640000,101.0
9695,650000,93.0
9811,660000,68.0
9967,670000,95.0
10111,680000,80.0
10271,690000,100.0
10433,700000,104.0
10593,710000,98.0
10783,720000,114.0
10949,730000,100.0
11111,740000,101.0
11251,750000,80.0
11397,760000,94.0
11564,770000,100.0
11712,780000,90.0
11855,790000,90.0
12039,800000,114.0
12191,810000,99.0
12371,820000,114.0
12495,830000,77.0
12647,840000,98.0
12791,850000,89.0
12975,860000,107.0
13131,870000,93.0
13287,880000,91.0
13452,890000,102.0
13627,900000,115.0
13823,910000,123.0
13945,920000,75.0
14087,930000,94.0
14255,940000,111.0
14375,950000,73.0
14527,960000,93.0
14667,970000,90.0
14819,980000,92.0
14951,990000,92.0
15119,1000000,111.0
