episodes,steps,total reward
26,1000,0.0
41,2000,0.0
56,3000,0.0
70,4000,0.0
80,5000,0.0
89,6000,0.0
96,7000,0.0
111,8000,0.0
116,9000,0.0
128,10000,0.0
133,11000,0.0
143,12000,0.0
147,13000,0.0
155,14000,0.0
162,15000,0.0
172,16000,0.0
179,17000,0.0
188,18000,0.0
194,19000,0.0
204,20000,0.0
210,21000,0.0
219,22000,0.0
226,23000,0.0
234,24000,0.0
243,25000,0.0
251,26000,0.0
258,27000,0.0
270,28000,0.0
280,29000,0.0
286,30000,0.0
291,31000,0.0
298,32000,0.0
306,33000,0.0
312,34000,0.0
315,35000,0.0
325,36000,0.0
330,37000,0.0
334,38000,0.0
343,39000,0.0
344,40000,0.0
349,41000,0.0
357,42000,0.0
364,43000,0.0
374,44000,0.0
384,45000,0.0
392,46000,0.0
395,47000,0.0
398,48000,0.0
408,49000,0.0
411,50000,0.0
415,51000,0.0
420,52000,0.0
424,53000,0.0
433,54000,0.0
440,55000,0.0
445,56000,0.0
455,57000,0.0
466,58000,0.0
474,59000,0.0
477,60000,0.0
484,61000,0.0
496,62000,0.0
501,63000,0.0
507,64000,0.0
518,65000,0.0
531,66000,0.0
539,67000,0.0
540,68000,0.0
551,69000,0.0
561,70000,0.0
566,71000,0.0
574,72000,0.0
581,73000,0.0
586,74000,0.0
599,75000,0.0
609,76000,0.0
614,77000,0.0
622,78000,0.0
635,79000,0.0
642,80000,0.0
648,81000,0.0
652,82000,0.0
660,83000,0.0
667,84000,0.0
676,85000,0.0
680,86000,0.0
689,87000,0.0
692,88000,0.0
697,89000,0.0
701,90000,0.0
708,91000,0.0
721,92000,0.0
729,93000,0.0
734,94000,0.0
741,95000,0.0
753,96000,0.0
755,97000,0.0
763,98000,0.0
768,99000,0.0
774,100000,0.0
