# {"t_start": 1643017140.2679343, "env_id": "Office-single-v0"} 
r,l,t
0.0,50,0.00143
0.0,18,0.001897
0.0,4,0.002027
0.0,49,0.003175
0.0,4,0.0033
0.0,11,0.003583
0.0,25,0.004183
0.0,5,0.004327
0.0,29,0.005016
0.0,24,0.005592
0.0,5,0.005739
0.0,38,0.006689
0.0,51,0.007863
0.0,37,0.008732
0.0,19,0.009195
0.0,19,0.00966
0.0,25,0.01027
0.0,48,0.0114
0.0,76,0.013152
0.0,70,0.014754
0.0,20,0.015229
0.0,109,0.017676
0.0,88,0.019857
0.0,56,0.021161
0.0,48,0.022311
0.0,18,0.022754
0.0,77,0.024566
0.0,125,0.027409
0.0,21,0.027907
0.0,103,0.030257
0.0,27,0.030883
0.0,70,0.032444
0.0,122,0.035194
0.0,69,0.036858
0.0,243,0.043323
0.0,102,0.046643
0.0,39,0.047543
0.0,68,0.049071
0.0,44,0.050065
0.0,106,0.052422
0.0,71,0.054024
0.0,126,0.05681
0.0,86,0.05873
0.0,50,0.059859
0.0,87,0.061837
0.0,142,0.065024
0.0,25,0.065606
0.0,173,0.06951
0.0,98,0.071739
0.0,53,0.072936
0.0,12,0.073234
0.0,60,0.074608
0.0,73,0.076293
0.0,90,0.078337
0.0,74,0.080025
0.0,105,0.082434
0.0,278,0.088646
0.0,123,0.091463
0.0,115,0.0941
0.0,231,0.099429
0.0,112,0.101942
0.0,152,0.105448
0.0,138,0.108601
0.0,312,0.115572
0.0,75,0.117279
0.0,253,0.122884
0.0,311,0.129805
0.0,173,0.133693
0.0,122,0.13643
0.0,42,0.137514
0.0,429,0.147042
0.0,24,0.147612
0.0,279,0.153857
0.0,178,0.157842
0.0,30,0.15855
0.0,37,0.159407
0.0,20,0.159888
0.0,121,0.162675
0.0,182,0.16676
0.0,559,0.179316
0.0,141,0.182528
0.0,358,0.190525
0.0,35,0.19135
0.0,18,0.191809
0.0,7,0.192016
0.0,99,0.194269
0.0,233,0.199485
0.0,85,0.20142
0.0,17,0.201839
0.0,116,0.204474
0.0,61,0.205874
0.0,54,0.207106
0.0,23,0.207652
0.0,52,0.208849
0.0,16,0.209243
0.0,20,0.209717
0.0,4,0.209843
0.0,16,0.210242
0.0,15,0.210613
0.0,53,0.21184
0.0,43,0.212903
0.0,21,0.2134
0.0,35,0.214237
0.0,51,0.215407
0.0,186,0.219573
0.0,37,0.22043
0.0,10,0.220686
0.0,102,0.223021
0.0,135,0.226063
0.0,232,0.231963
0.0,22,0.232495
0.0,238,0.237804
0.0,205,0.242755
0.0,103,0.245148
0.0,77,0.246895
0.0,32,0.24765
0.0,93,0.249803
0.0,333,0.257601
0.0,55,0.2589
0.0,35,0.259784
0.0,250,0.265588
0.0,146,0.268988
0.0,19,0.269455
0.0,113,0.272007
0.0,62,0.27347
0.0,197,0.277903
0.0,115,0.280544
0.0,60,0.281929
0.0,150,0.285286
0.0,165,0.289201
0.0,55,0.290456
0.0,162,0.294152
0.0,286,0.300541
0.0,107,0.303067
0.0,50,0.304376
0.0,30,0.305123
0.0,195,0.309525
0.0,120,0.312282
0.0,83,0.314175
0.0,74,0.315826
0.0,254,0.32185
0.0,316,0.328995
0.0,57,0.330363
0.0,9,0.330602
0.0,155,0.334118
0.0,171,0.338194
0.0,127,0.341122
0.0,309,0.348202
0.0,104,0.350641
0.0,461,0.361064
0.0,111,0.363562
0.0,35,0.364479
0.0,194,0.368931
0.0,101,0.371247
0.0,31,0.371972
0.0,280,0.378497
0.0,12,0.378809
0.0,42,0.379776
0.0,31,0.3805
0.0,44,0.381517
0.0,20,0.381991
0.0,89,0.384019
0.0,77,0.385901
0.0,8,0.386115
0.0,110,0.388619
0.0,127,0.391536
0.0,10,0.391797
0.0,346,0.399605
0.0,27,0.400251
0.0,22,0.400777
0.0,16,0.401172
0.0,93,0.403362
0.0,269,0.409362
0.0,169,0.413158
0.0,20,0.413641
0.0,336,0.421127
0.0,407,0.430148
0.0,243,0.435623
0.0,241,0.441173
0.0,515,0.45254
