episodes,steps,total reward
28,1000,0.0
46,2000,0.0
58,3000,0.0
71,4000,0.0
84,5000,0.0
90,6000,0.0
100,7000,0.0
105,8000,0.0
110,9000,0.0
121,10000,0.0
132,11000,0.0
138,12000,0.0
145,13000,0.0
152,14000,0.0
156,15000,0.0
162,16000,0.0
172,17000,0.0
176,18000,0.0
183,19000,0.0
188,20000,0.0
193,21000,0.0
202,22000,0.0
211,23000,0.0
214,24000,0.0
220,25000,0.0
227,26000,0.0
236,27000,0.0
242,28000,0.0
252,29000,0.0
268,30000,0.0
275,31000,0.0
282,32000,0.0
288,33000,0.0
296,34000,0.0
302,35000,0.0
310,36000,0.0
317,37000,0.0
325,38000,1.0
329,39000,0.0
334,40000,0.0
337,41000,0.0
341,42000,0.0
349,43000,0.0
353,44000,0.0
360,45000,0.0
364,46000,1.0
374,47000,0.0
381,48000,0.0
391,49000,1.0
404,50000,1.0
413,51000,1.0
415,52000,0.0
417,53000,0.0
422,54000,0.0
432,55000,0.0
439,56000,0.0
447,57000,0.0
454,58000,0.0
460,59000,0.0
466,60000,1.0
471,61000,1.0
479,62000,1.0
485,63000,2.0
492,64000,1.0
496,65000,1.0
498,66000,1.0
507,67000,0.0
511,68000,1.0
522,69000,1.0
527,70000,0.0
533,71000,1.0
543,72000,0.0
550,73000,1.0
557,74000,1.0
562,75000,0.0
567,76000,1.0
576,77000,1.0
582,78000,0.0
589,79000,0.0
596,80000,2.0
600,81000,1.0
610,82000,2.0
618,83000,0.0
629,84000,3.0
634,85000,1.0
643,86000,3.0
655,87000,1.0
658,88000,2.0
666,89000,1.0
673,90000,2.0
677,91000,1.0
680,92000,1.0
686,93000,2.0
690,94000,0.0
698,95000,1.0
706,96000,1.0
712,97000,1.0
718,98000,1.0
723,99000,2.0
727,100000,2.0
