# {"t_start": 1641685332.4268022, "env_id": "Office-v0"} 
r,l,t
0.0,21,0.000916
0.0,12,0.001269
0.0,27,0.001994
0.0,6,0.002187
0.0,67,0.004004
0.0,23,0.004608
0.0,19,0.005107
0.0,61,0.006618
0.0,9,0.006868
0.0,63,0.009
0.0,30,0.009775
0.0,39,0.010754
0.0,18,0.011307
0.0,24,0.011931
0.0,25,0.012564
0.0,20,0.013082
0.0,4,0.01322
0.0,21,0.013836
0.0,35,0.014724
0.0,6,0.014907
0.0,46,0.016108
0.0,14,0.016484
0.0,4,0.016612
0.0,8,0.016839
0.0,40,0.017833
0.0,32,0.018646
0.0,51,0.01996
0.0,23,0.020565
0.0,53,0.021857
0.0,12,0.022181
0.0,36,0.023095
0.0,8,0.023324
0.0,42,0.024361
0.0,37,0.025285
0.0,19,0.025778
0.0,39,0.026773
0.0,42,0.028092
0.0,98,0.030469
0.0,41,0.031538
0.0,14,0.031911
1.0,29,0.032664
0.0,45,0.033771
0.0,52,0.035074
0.0,9,0.03533
1.0,98,0.037707
0.0,2,0.037787
0.0,68,0.039471
0.0,21,0.040016
0.0,5,0.040164
0.0,38,0.041156
0.0,56,0.042609
0.0,42,0.04367
0.0,10,0.043948
0.0,18,0.044416
0.0,37,0.045351
0.0,24,0.045978
0.0,129,0.049202
0.0,51,0.050485
0.0,138,0.054603
0.0,110,0.057311
0.0,22,0.057892
0.0,36,0.05881
0.0,59,0.060287
0.0,63,0.061832
1.0,81,0.063818
0.0,110,0.066515
0.0,25,0.067161
0.0,24,0.067775
0.0,25,0.068415
0.0,135,0.071836
0.0,4,0.072011
0.0,35,0.072901
0.0,32,0.073703
0.0,17,0.074161
0.0,47,0.075377
0.0,39,0.076352
1.0,48,0.077532
0.0,2,0.07761
0.0,16,0.078019
0.0,58,0.079813
1.0,41,0.080835
0.0,31,0.081598
0.0,57,0.083071
0.0,16,0.0835
0.0,97,0.085875
0.0,76,0.08773
0.0,56,0.089162
0.0,26,0.089838
1.0,54,0.091184
0.0,72,0.092971
0.0,27,0.09366
0.0,75,0.095587
1.0,27,0.096309
0.0,63,0.097957
0.0,58,0.099412
0.0,42,0.100476
1.0,89,0.102669
0.0,85,0.105048
0.0,19,0.105531
0.0,43,0.106617
0.0,34,0.107509
0.0,55,0.108881
0.0,66,0.110527
0.0,2,0.110606
0.0,28,0.111324
0.0,87,0.113489
0.0,99,0.115957
0.0,69,0.117748
1.0,133,0.12108
0.0,49,0.12234
0.0,7,0.122544
0.0,139,0.126045
1.0,39,0.127061
0.0,158,0.131239
0.0,39,0.132261
0.0,17,0.132717
1.0,98,0.135181
0.0,60,0.136711
0.0,32,0.137532
0.0,121,0.140529
0.0,35,0.141451
0.0,70,0.14321
0.0,55,0.144602
0.0,80,0.146604
1.0,48,0.147827
0.0,90,0.150034
0.0,96,0.152421
0.0,112,0.155521
1.0,85,0.157673
0.0,221,0.163118
0.0,171,0.167414
0.0,57,0.168875
1.0,118,0.171816
0.0,30,0.172601
0.0,176,0.176989
0.0,72,0.178844
1.0,37,0.179801
0.0,219,0.185701
0.0,25,0.18638
0.0,105,0.189052
1.0,35,0.189948
0.0,140,0.193519
0.0,56,0.194997
0.0,123,0.198335
0.0,30,0.199136
1.0,220,0.204708
0.0,21,0.205268
0.0,35,0.206198
0.0,2,0.206278
1.0,159,0.210539
0.0,31,0.211377
0.0,49,0.212635
0.0,36,0.213573
1.0,185,0.218244
0.0,103,0.220876
0.0,99,0.223386
0.0,94,0.225774
1.0,249,0.232193
0.0,94,0.234673
0.0,56,0.236155
1.0,96,0.238622
0.0,77,0.240583
0.0,87,0.242782
0.0,19,0.243298
1.0,85,0.245456
0.0,145,0.249046
0.0,70,0.250855
0.0,85,0.253023
0.0,44,0.254152
1.0,103,0.25672
0.0,100,0.259494
0.0,229,0.265196
0.0,62,0.266828
0.0,89,0.26913
0.0,84,0.271269
0.0,82,0.273342
0.0,37,0.2743
1.0,275,0.281161
0.0,37,0.282138
0.0,36,0.283092
1.0,67,0.285139
0.0,139,0.28878
0.0,80,0.290828
0.0,178,0.2954
0.0,19,0.295922
0.0,36,0.296931
0.0,19,0.297441
0.0,181,0.302145
0.0,88,0.304519
0.0,52,0.305945
0.0,11,0.306252
0.0,79,0.308266
1.0,69,0.310274
0.0,39,0.311332
1.0,115,0.314272
0.0,52,0.31562
1.0,50,0.316914
0.0,60,0.318431
0.0,41,0.319493
0.0,113,0.322333
0.0,23,0.32294
0.0,6,0.323127
0.0,28,0.323863
0.0,84,0.326277
0.0,77,0.328398
0.0,76,0.330332
0.0,42,0.33141
0.0,39,0.332409
0.0,18,0.332887
1.0,205,0.338176
0.0,5,0.338341
0.0,177,0.343141
1.0,67,0.344926
0.0,31,0.345741
0.0,98,0.348228
0.0,100,0.35075
1.0,112,0.353575
1.0,228,0.359301
0.0,59,0.360807
0.0,12,0.361147
1.0,146,0.365088
0.0,48,0.366324
0.0,73,0.368184
0.0,62,0.369769
0.0,23,0.370378
1.0,282,0.377416
0.0,114,0.380319
0.0,24,0.380946
1.0,133,0.384395
0.0,61,0.385949
0.0,143,0.38987
0.0,65,0.391584
1.0,53,0.39294
1.0,142,0.396738
0.0,147,0.400485
0.0,319,0.4085
0.0,13,0.408878
0.0,37,0.409841
0.0,195,0.414996
0.0,260,0.421683
1.0,158,0.425723
0.0,6,0.425912
0.0,20,0.426439
0.0,49,0.427718
0.0,93,0.430107
0.0,116,0.433024
0.0,97,0.4355
0.0,34,0.436369
0.0,44,0.437492
0.0,41,0.438546
0.0,96,0.441233
0.0,53,0.442583
1.0,51,0.443913
0.0,16,0.444344
0.0,8,0.444573
0.0,136,0.447959
0.0,15,0.448367
0.0,51,0.449685
0.0,73,0.45154
0.0,38,0.452546
1.0,42,0.453625
1.0,245,0.459872
0.0,35,0.460794
0.0,69,0.462579
0.0,12,0.462913
0.0,28,0.463649
0.0,98,0.4664
0.0,84,0.468582
1.0,66,0.470267
0.0,20,0.470807
0.0,136,0.474289
