episodes,steps,total reward
107,10000,0.0
166,20000,0.0
241,30000,0.0
310,40000,0.0
352,50000,0.0
402,60000,0.0
440,70000,0.0
499,80000,0.0
550,90000,0.0
601,100000,0.0
656,110000,0.0
714,120000,0.0
764,130000,0.0
811,140000,0.0
867,150000,0.0
905,160000,0.0
949,170000,0.0
1005,180000,0.0
1053,190000,0.0
1103,200000,0.0
1149,210000,0.0
1206,220000,0.0
1247,230000,0.0
1300,240000,0.0
1345,250000,0.0
1402,260000,0.0
1464,270000,0.0
1515,280000,0.0
1558,290000,0.0
1613,300000,0.0
1660,310000,0.0
1701,320000,0.0
1747,330000,0.0
1793,340000,0.0
1852,350000,0.0
1917,360000,0.0
1971,370000,0.0
2033,380000,0.0
2076,390000,0.0
2119,400000,0.0
2179,410000,0.0
2231,420000,0.0
2280,430000,0.0
2325,440000,0.0
2370,450000,0.0
2433,460000,0.0
2473,470000,0.0
2520,480000,0.0
2579,490000,0.0
2632,500000,0.0
2671,510000,0.0
2734,520000,0.0
2778,530000,0.0
2833,540000,0.0
2878,550000,0.0
2927,560000,0.0
2968,570000,0.0
3026,580000,0.0
3083,590000,0.0
3128,600000,0.0
3188,610000,0.0
3232,620000,0.0
3285,630000,0.0
3340,640000,0.0
3383,650000,0.0
3421,660000,0.0
3475,670000,0.0
3521,680000,0.0
3574,690000,0.0
3618,700000,0.0
3663,710000,0.0
3712,720000,0.0
3770,730000,0.0
3826,740000,0.0
3893,750000,0.0
3936,760000,0.0
3985,770000,0.0
4041,780000,0.0
4082,790000,0.0
4138,800000,0.0
4183,810000,0.0
4235,820000,0.0
4279,830000,0.0
4321,840000,0.0
4370,850000,0.0
4420,860000,0.0
4464,870000,0.0
4516,880000,0.0
4562,890000,0.0
4608,900000,0.0
4655,910000,0.0
4697,920000,0.0
4740,930000,0.0
4797,940000,0.0
4844,950000,0.0
4904,960000,0.0
4950,970000,0.0
5007,980000,0.0
5055,990000,0.0
5117,1000000,0.0
