# {"t_start": 1643105622.3164947, "env_id": "Office-v0"} 
r,l,t
0.0,14,0.000708
0.0,4,0.000855
0.0,49,0.00231
0.0,24,0.002997
0.0,48,0.004248
0.0,39,0.005268
0.0,30,0.006097
0.0,49,0.007496
0.0,8,0.007735
0.0,64,0.009763
0.0,17,0.010294
0.0,27,0.011005
0.0,49,0.012255
0.0,16,0.012697
0.0,16,0.013185
0.0,7,0.01342
0.0,4,0.013558
0.0,34,0.014452
0.0,21,0.015016
0.0,25,0.015672
0.0,44,0.016937
0.0,57,0.018506
0.0,62,0.020079
0.0,2,0.020163
0.0,18,0.020652
0.0,14,0.021037
0.0,37,0.022094
0.0,20,0.022622
0.0,37,0.02359
0.0,34,0.024503
0.0,24,0.025139
0.0,42,0.026244
0.0,62,0.027821
0.0,42,0.028897
0.0,15,0.029364
0.0,29,0.030123
0.0,8,0.030361
0.0,26,0.031049
0.0,81,0.033142
0.0,76,0.035087
0.0,13,0.035493
0.0,24,0.03612
0.0,50,0.037428
0.0,68,0.03919
0.0,10,0.039478
0.0,107,0.042216
0.0,139,0.045749
0.0,8,0.045994
0.0,7,0.0462
0.0,47,0.047424
0.0,50,0.048711
0.0,8,0.048945
0.0,145,0.052658
0.0,46,0.053873
0.0,31,0.054702
0.0,12,0.055033
0.0,45,0.056202
0.0,186,0.061348
0.0,63,0.062972
0.0,28,0.06372
1.0,36,0.064676
0.0,78,0.066651
0.0,10,0.066929
0.0,10,0.067214
0.0,17,0.06767
0.0,88,0.069909
0.0,46,0.071103
0.0,28,0.071842
0.0,47,0.073088
0.0,107,0.0758
0.0,86,0.078021
0.0,157,0.081988
1.0,117,0.084994
0.0,79,0.087037
0.0,59,0.088549
0.0,33,0.08941
1.0,112,0.092275
0.0,207,0.097764
0.0,18,0.098492
0.0,28,0.099234
0.0,14,0.099625
0.0,75,0.101578
0.0,61,0.103162
0.0,50,0.104444
0.0,14,0.104822
0.0,86,0.107009
0.0,40,0.108059
0.0,28,0.108787
1.0,34,0.109694
0.0,246,0.116475
0.0,13,0.11685
0.0,50,0.118243
0.0,113,0.121129
0.0,79,0.123174
0.0,35,0.124114
0.0,13,0.124474
1.0,80,0.126571
0.0,15,0.126992
0.0,37,0.12796
0.0,27,0.128694
1.0,54,0.130116
1.0,188,0.135107
0.0,111,0.138002
0.0,30,0.138802
1.0,34,0.139696
0.0,58,0.141199
0.0,73,0.143086
0.0,9,0.143348
0.0,66,0.145107
0.0,69,0.14717
0.0,29,0.147935
0.0,17,0.148382
0.0,56,0.149847
0.0,191,0.154719
0.0,66,0.156511
0.0,107,0.159294
1.0,30,0.160104
1.0,214,0.165554
0.0,58,0.167085
0.0,33,0.167977
1.0,74,0.169922
0.0,8,0.170164
0.0,42,0.171285
0.0,62,0.172908
0.0,32,0.173754
0.0,28,0.174495
0.0,124,0.177696
0.0,11,0.178024
0.0,93,0.180434
1.0,226,0.186252
0.0,112,0.18923
0.0,93,0.191729
1.0,78,0.193824
0.0,55,0.195289
0.0,167,0.199603
0.0,19,0.200136
0.0,28,0.200919
1.0,165,0.205198
0.0,42,0.206313
0.0,28,0.207076
1.0,51,0.208411
0.0,94,0.210826
0.0,49,0.212108
0.0,189,0.217013
0.0,19,0.21756
1.0,266,0.224539
0.0,83,0.226737
0.0,10,0.227029
1.0,29,0.227863
0.0,23,0.228487
0.0,33,0.229368
0.0,52,0.230741
1.0,26,0.231452
0.0,124,0.234677
0.0,81,0.236816
0.0,117,0.239873
1.0,87,0.242157
1.0,258,0.248811
0.0,62,0.250489
0.0,84,0.252698
0.0,22,0.25331
1.0,141,0.257001
0.0,78,0.259063
0.0,62,0.260699
0.0,18,0.261193
0.0,144,0.265362
0.0,14,0.265747
0.0,116,0.268712
1.0,58,0.27024
1.0,244,0.276762
0.0,61,0.278472
0.0,35,0.279396
0.0,9,0.279675
0.0,62,0.281379
0.0,72,0.283327
0.0,104,0.286063
0.0,13,0.286431
0.0,17,0.286899
0.0,72,0.28878
0.0,52,0.290153
1.0,41,0.291263
0.0,34,0.292157
0.0,95,0.294716
0.0,155,0.298905
1.0,135,0.302555
0.0,12,0.302901
0.0,32,0.303781
0.0,246,0.310259
1.0,84,0.312464
0.0,38,0.3135
0.0,35,0.314479
0.0,14,0.31487
1.0,78,0.316906
0.0,9,0.317171
0.0,102,0.319876
0.0,99,0.322566
1.0,41,0.323659
1.0,269,0.330628
0.0,8,0.330886
0.0,127,0.334219
0.0,51,0.335575
0.0,23,0.336212
0.0,76,0.338485
0.0,82,0.340694
1.0,61,0.342328
0.0,18,0.342829
0.0,33,0.343707
0.0,4,0.343838
0.0,11,0.344207
1.0,162,0.348402
0.0,56,0.349906
0.0,66,0.351638
0.0,10,0.351935
1.0,199,0.357091
0.0,13,0.357511
0.0,52,0.358913
0.0,58,0.360451
0.0,4,0.360583
0.0,31,0.361467
0.0,4,0.361604
0.0,16,0.362051
0.0,31,0.362875
0.0,153,0.366893
0.0,64,0.368597
0.0,18,0.369103
1.0,195,0.374286
0.0,37,0.375474
0.0,59,0.377061
1.0,68,0.378987
0.0,6,0.379176
0.0,21,0.379758
0.0,63,0.381428
0.0,42,0.382544
0.0,43,0.383671
0.0,45,0.384889
0.0,74,0.386852
0.0,43,0.388007
0.0,146,0.391786
0.0,21,0.392361
0.0,164,0.39664
1.0,109,0.399534
0.0,34,0.40046
0.0,99,0.403045
0.0,332,0.41163
0.0,21,0.412217
1.0,138,0.415948
0.0,116,0.419003
0.0,106,0.421833
1.0,54,0.423265
0.0,31,0.424098
0.0,65,0.425808
0.0,150,0.429672
1.0,66,0.43144
0.0,156,0.435415
0.0,8,0.435662
0.0,109,0.438525
1.0,74,0.440476
0.0,13,0.440841
0.0,6,0.441027
0.0,42,0.442169
0.0,61,0.443791
0.0,33,0.444656
0.0,255,0.451355
0.0,866,0.473789
0.0,7,0.474013
1.0,254,0.480637
0.0,4,0.480784
0.0,97,0.483336
1.0,52,0.484734
1.0,164,0.489187
0.0,165,0.493512
0.0,16,0.493969
0.0,20,0.494525
1.0,227,0.500425
0.0,42,0.50156
0.0,185,0.50646
1.0,135,0.510004
1.0,145,0.513763
0.0,52,0.515126
0.0,163,0.51935
0.0,22,0.519974
0.0,11,0.520298
0.0,42,0.521431
0.0,270,0.528482
0.0,21,0.52906
0.0,38,0.530083
0.0,113,0.533407
0.0,98,0.535983
1.0,178,0.540612
0.0,23,0.54136
1.0,238,0.547828
0.0,156,0.551955
1.0,61,0.553594
0.0,70,0.55542
0.0,14,0.555818
0.0,15,0.556233
1.0,20,0.556828
1.0,167,0.561307
1.0,122,0.564855
0.0,9,0.565142
1.0,85,0.567399
0.0,71,0.569219
0.0,15,0.569634
0.0,223,0.575426
1.0,160,0.57956
1.0,260,0.58625
1.0,246,0.592582
0.0,30,0.593394
1.0,28,0.594164
1.0,185,0.599216
0.0,25,0.599906
0.0,16,0.600344
0.0,46,0.601565
0.0,6,0.601754
0.0,353,0.611001
0.0,378,0.621063
0.0,129,0.624435
0.0,176,0.629002
1.0,211,0.634461
0.0,150,0.638366
1.0,309,0.646475
0.0,69,0.648284
0.0,46,0.649508
0.0,49,0.650809
0.0,113,0.653756
0.0,84,0.65594
0.0,31,0.656759
0.0,992,0.682294
1.0,67,0.684057
0.0,76,0.686057
0.0,2,0.686141
0.0,70,0.687985
1.0,256,0.694604
1.0,204,0.699884
0.0,47,0.701149
0.0,944,0.725538
1.0,393,0.735741
0.0,180,0.740475
0.0,129,0.743877
0.0,115,0.746898
0.0,45,0.748092
0.0,114,0.751081
0.0,188,0.75605
0.0,65,0.757783
1.0,89,0.760115
1.0,241,0.766368
0.0,121,0.769536
0.0,32,0.770405
0.0,422,0.781153
0.0,59,0.782728
0.0,75,0.784699
0.0,34,0.785621
1.0,43,0.786767
0.0,25,0.787439
0.0,243,0.794154
0.0,140,0.798478
0.0,21,0.799064
1.0,250,0.805895
0.0,97,0.808502
0.0,182,0.813341
1.0,33,0.814252
1.0,281,0.821689
0.0,48,0.822966
0.0,135,0.826652
1.0,150,0.830746
1.0,160,0.834962
1.0,129,0.838408
0.0,31,0.839256
1.0,15,0.839677
1.0,147,0.843495
0.0,110,0.846453
0.0,315,0.854501
1.0,187,0.859384
0.0,23,0.860006
0.0,10,0.860302
0.0,141,0.863977
1.0,383,0.874016
0.0,63,0.875677
0.0,104,0.878385
0.0,51,0.87974
1.0,61,0.881341
0.0,7,0.881559
0.0,195,0.886539
0.0,134,0.890063
1.0,130,0.893449
0.0,93,0.895868
0.0,23,0.896488
0.0,121,0.899639
1.0,61,0.90124
0.0,75,0.903214
0.0,142,0.907329
0.0,448,0.919121
0.0,43,0.920277
0.0,12,0.920618
1.0,214,0.926339
0.0,100,0.928933
1.0,60,0.930482
1.0,166,0.934818
1.0,257,0.941486
0.0,37,0.942488
0.0,275,0.949739
0.0,39,0.950791
0.0,84,0.953028
0.0,85,0.955258
0.0,29,0.956039
0.0,10,0.956331
0.0,160,0.960504
0.0,232,0.966529
