# {"t_start": 1641738288.617829, "env_id": "Office-single-v0"} 
r,l,t
0.0,41,0.001293
0.0,25,0.001918
0.0,45,0.002973
0.0,4,0.003103
0.0,6,0.003273
0.0,42,0.004309
0.0,13,0.004644
0.0,27,0.005276
0.0,8,0.005493
0.0,13,0.005821
0.0,11,0.006102
0.0,21,0.0066
0.0,16,0.006991
0.0,22,0.007528
0.0,95,0.00973
0.0,26,0.010357
0.0,50,0.011733
0.0,69,0.013824
0.0,35,0.014661
0.0,2,0.014741
0.0,11,0.015034
0.0,47,0.016157
0.0,75,0.017927
0.0,18,0.018364
0.0,72,0.020035
0.0,28,0.020748
0.0,55,0.022075
0.0,14,0.022421
0.0,42,0.023377
0.0,97,0.025831
0.0,26,0.026443
0.0,90,0.028504
0.0,11,0.02879
0.0,110,0.031247
0.0,84,0.033258
0.0,59,0.034586
0.0,102,0.036882
0.0,20,0.037358
0.0,33,0.038104
0.0,54,0.039344
0.0,77,0.041051
0.0,42,0.042096
0.0,232,0.047995
0.0,18,0.048446
0.0,86,0.050601
0.0,8,0.050816
0.0,62,0.052212
0.0,93,0.054265
0.0,118,0.056883
0.0,70,0.058531
0.0,122,0.061433
0.0,24,0.062001
0.0,59,0.063323
0.0,57,0.06463
0.0,100,0.067182
0.0,61,0.068588
0.0,89,0.070556
0.0,55,0.071776
0.0,40,0.073104
0.0,27,0.073905
0.0,74,0.075915
0.0,77,0.077712
0.0,10,0.077974
0.0,4,0.078096
0.0,13,0.078419
0.0,47,0.079518
0.0,9,0.079809
0.0,75,0.081499
0.0,52,0.082766
0.0,88,0.084781
0.0,62,0.086212
0.0,129,0.089111
0.0,31,0.089828
0.0,46,0.090873
0.0,105,0.093209
0.0,159,0.097027
0.0,193,0.1013
0.0,185,0.106015
0.0,370,0.114328
0.0,149,0.117693
0.0,74,0.119635
0.0,356,0.128098
0.0,18,0.128534
0.0,359,0.13717
0.0,208,0.141862
0.0,43,0.142854
0.0,120,0.145915
0.0,2,0.145996
0.0,36,0.146817
0.0,167,0.150729
0.0,16,0.151117
0.0,4,0.151234
0.0,11,0.151505
0.0,587,0.16477
0.0,236,0.17092
0.0,56,0.172279
0.0,79,0.174079
0.0,16,0.174474
0.0,223,0.179453
0.0,114,0.182098
0.0,30,0.182805
0.0,41,0.183754
0.0,114,0.186397
0.0,197,0.191149
0.0,126,0.194148
0.0,37,0.195023
0.0,218,0.200685
0.0,195,0.205129
0.0,99,0.207418
0.0,490,0.218891
0.0,32,0.219651
0.0,73,0.221355
0.0,458,0.23157
0.0,189,0.235873
0.0,25,0.236482
