# {"t_start": 1641129869.835209, "env_id": "Office-single-v0"} 
r,l,t
0.0,15,0.000754
0.0,64,0.002302
0.0,4,0.002433
0.0,2,0.002518
0.0,15,0.002958
0.0,56,0.004347
0.0,29,0.005069
0.0,13,0.005411
0.0,8,0.005633
0.0,11,0.00592
0.0,11,0.006209
0.0,28,0.006948
0.0,56,0.008279
0.0,8,0.008499
0.0,24,0.009127
0.0,123,0.012332
0.0,31,0.013095
0.0,51,0.01441
0.0,44,0.015507
0.0,83,0.017503
0.0,11,0.01791
0.0,28,0.018678
0.0,26,0.019346
0.0,131,0.022744
0.0,20,0.023259
0.0,29,0.023974
0.0,34,0.024801
0.0,27,0.025456
0.0,95,0.028002
0.0,103,0.03041
0.0,77,0.032297
0.0,48,0.033449
0.0,28,0.034134
0.0,91,0.036378
0.0,85,0.038367
0.0,153,0.042181
0.0,88,0.044333
0.0,29,0.045107
0.0,95,0.047392
0.0,70,0.049045
0.0,59,0.050584
0.0,70,0.052265
0.0,43,0.053278
0.0,122,0.056197
0.0,121,0.059385
0.0,15,0.059803
0.0,220,0.064984
0.0,74,0.066746
0.0,80,0.068625
0.0,57,0.070054
0.0,56,0.071377
0.0,48,0.072689
0.0,48,0.073836
0.0,180,0.078308
0.0,9,0.078561
0.0,56,0.080094
0.0,13,0.080433
0.0,344,0.088566
0.0,29,0.089282
0.0,74,0.091048
0.0,83,0.09305
0.0,144,0.096454
0.0,99,0.09881
0.0,123,0.101878
0.0,96,0.104506
0.0,18,0.104962
0.0,203,0.109826
0.0,21,0.110348
0.0,52,0.111662
0.0,59,0.113057
0.0,40,0.11401
0.0,67,0.115596
0.0,32,0.116373
0.0,16,0.11677
0.0,26,0.117398
0.0,8,0.117617
0.0,18,0.118062
0.0,158,0.122226
0.0,72,0.124049
0.0,159,0.128046
0.0,225,0.133331
0.0,28,0.134159
0.0,566,0.147646
0.0,31,0.148634
0.0,157,0.152433
0.0,51,0.153655
0.0,169,0.157624
0.0,54,0.158991
0.0,393,0.168673
0.0,110,0.171667
0.0,104,0.174324
0.0,38,0.175276
0.0,4,0.175402
0.0,18,0.175877
0.0,7,0.176076
0.0,54,0.177423
0.0,263,0.183764
0.0,524,0.196262
0.0,136,0.199827
0.0,115,0.202538
0.0,104,0.205044
0.0,394,0.214681
0.0,304,0.222147
0.0,31,0.222996
0.0,348,0.231445
0.0,10,0.231731
0.0,30,0.2325
0.0,42,0.233514
0.0,108,0.236076
0.0,21,0.236595
0.0,75,0.238373
0.0,302,0.245613
0.0,259,0.252168
0.0,47,0.253383
0.0,49,0.254591
0.0,178,0.259098
0.0,132,0.262331
0.0,109,0.265106
0.0,117,0.268023
0.0,98,0.270383
0.0,82,0.272652
0.0,228,0.278094
0.0,76,0.279965
0.0,62,0.281973
0.0,139,0.285576
0.0,145,0.289251
0.0,115,0.292048
0.0,395,0.301725
0.0,31,0.3025
0.0,58,0.303903
0.0,115,0.30699
0.0,113,0.309668
0.0,111,0.312382
0.0,271,0.318807
0.0,90,0.321161
0.0,62,0.322942
0.0,151,0.326588
0.0,133,0.329853
0.0,79,0.331757
0.0,155,0.335535
0.0,103,0.338014
0.0,12,0.338333
0.0,251,0.344332
