episodes,steps,total reward
26,1000,0.0
43,2000,0.0
60,3000,0.0
72,4000,0.0
80,5000,0.0
84,6000,0.0
86,7000,0.0
91,8000,0.0
101,9000,0.0
107,10000,0.0
115,11000,0.0
124,12000,0.0
131,13000,0.0
140,14000,0.0
154,15000,0.0
162,16000,0.0
169,17000,0.0
180,18000,0.0
187,19000,0.0
190,20000,0.0
196,21000,0.0
205,22000,0.0
212,23000,0.0
231,24000,0.0
235,25000,0.0
242,26000,0.0
250,27000,0.0
253,28000,0.0
259,29000,0.0
265,30000,0.0
272,31000,0.0
280,32000,0.0
283,33000,0.0
292,34000,0.0
298,35000,0.0
307,36000,0.0
316,37000,0.0
327,38000,0.0
336,39000,0.0
343,40000,0.0
351,41000,0.0
356,42000,0.0
362,43000,0.0
371,44000,0.0
376,45000,0.0
384,46000,0.0
388,47000,0.0
390,48000,0.0
398,49000,0.0
405,50000,0.0
412,51000,0.0
421,52000,0.0
425,53000,0.0
428,54000,0.0
431,55000,0.0
435,56000,0.0
447,57000,0.0
452,58000,0.0
463,59000,0.0
470,60000,0.0
474,61000,0.0
477,62000,0.0
483,63000,0.0
486,64000,0.0
489,65000,0.0
499,66000,0.0
503,67000,0.0
510,68000,0.0
517,69000,0.0
527,70000,0.0
536,71000,0.0
549,72000,0.0
559,73000,0.0
564,74000,0.0
567,75000,0.0
575,76000,0.0
580,77000,0.0
587,78000,0.0
592,79000,0.0
599,80000,0.0
604,81000,0.0
608,82000,0.0
613,83000,0.0
623,84000,0.0
629,85000,0.0
640,86000,0.0
645,87000,0.0
653,88000,0.0
665,89000,0.0
671,90000,0.0
674,91000,0.0
681,92000,1.0
687,93000,0.0
692,94000,0.0
699,95000,0.0
710,96000,0.0
717,97000,1.0
726,98000,0.0
734,99000,0.0
737,100000,0.0
