episodes,steps,total reward
36,1000,1.0
62,2000,3.0
78,3000,1.0
100,4000,2.0
115,5000,2.0
129,6000,4.0
142,7000,1.0
155,8000,3.0
169,9000,4.0
181,10000,2.0
191,11000,3.0
205,12000,3.0
216,13000,3.0
226,14000,4.0
239,15000,3.0
252,16000,2.0
263,17000,5.0
277,18000,0.0
287,19000,1.0
294,20000,2.0
297,21000,1.0
307,22000,5.0
310,23000,2.0
317,24000,2.0
327,25000,5.0
338,26000,1.0
346,27000,2.0
354,28000,2.0
359,29000,2.0
367,30000,2.0
375,31000,6.0
386,32000,3.0
394,33000,4.0
405,34000,4.0
417,35000,3.0
427,36000,2.0
441,37000,3.0
455,38000,2.0
466,39000,2.0
471,40000,2.0
477,41000,3.0
491,42000,5.0
501,43000,2.0
511,44000,2.0
520,45000,3.0
527,46000,6.0
542,47000,4.0
547,48000,3.0
551,49000,1.0
566,50000,3.0
576,51000,5.0
588,52000,3.0
591,53000,2.0
598,54000,3.0
603,55000,3.0
612,56000,4.0
621,57000,5.0
633,58000,2.0
643,59000,4.0
654,60000,5.0
668,61000,4.0
676,62000,3.0
685,63000,5.0
701,64000,4.0
715,65000,7.0
725,66000,5.0
734,67000,4.0
743,68000,4.0
754,69000,5.0
762,70000,5.0
769,71000,4.0
783,72000,7.0
794,73000,2.0
808,74000,6.0
822,75000,7.0
838,76000,5.0
855,77000,6.0
867,78000,7.0
886,79000,11.0
894,80000,4.0
903,81000,5.0
910,82000,3.0
923,83000,4.0
935,84000,7.0
946,85000,7.0
963,86000,8.0
975,87000,3.0
990,88000,7.0
999,89000,5.0
1018,90000,9.0
1026,91000,3.0
1038,92000,3.0
1047,93000,4.0
1062,94000,9.0
1071,95000,4.0
1083,96000,6.0
1103,97000,10.0
1119,98000,8.0
1131,99000,7.0
1141,100000,5.0
