episodes,steps,total reward
27,1000,0.0
40,2000,0.0
55,3000,0.0
68,4000,0.0
81,5000,0.0
83,6000,0.0
91,7000,0.0
98,8000,0.0
104,9000,0.0
113,10000,0.0
125,11000,0.0
133,12000,0.0
147,13000,0.0
154,14000,0.0
158,15000,0.0
167,16000,0.0
175,17000,0.0
181,18000,0.0
190,19000,0.0
195,20000,0.0
203,21000,0.0
208,22000,0.0
216,23000,0.0
227,24000,0.0
237,25000,0.0
246,26000,0.0
251,27000,0.0
258,28000,0.0
264,29000,0.0
271,30000,0.0
274,31000,0.0
283,32000,0.0
287,33000,0.0
291,34000,0.0
298,35000,0.0
303,36000,0.0
309,37000,0.0
317,38000,0.0
325,39000,0.0
336,40000,0.0
343,41000,0.0
353,42000,0.0
366,43000,0.0
375,44000,0.0
388,45000,0.0
398,46000,0.0
408,47000,0.0
419,48000,0.0
427,49000,0.0
434,50000,0.0
442,51000,0.0
447,52000,0.0
452,53000,0.0
460,54000,0.0
464,55000,0.0
472,56000,0.0
479,57000,0.0
483,58000,0.0
488,59000,0.0
491,60000,0.0
499,61000,0.0
506,62000,0.0
511,63000,0.0
515,64000,0.0
518,65000,0.0
526,66000,0.0
530,67000,0.0
537,68000,0.0
548,69000,0.0
555,70000,0.0
560,71000,0.0
572,72000,0.0
577,73000,0.0
583,74000,0.0
590,75000,0.0
593,76000,0.0
602,77000,0.0
608,78000,0.0
619,79000,0.0
625,80000,0.0
627,81000,0.0
634,82000,0.0
643,83000,0.0
646,84000,0.0
652,85000,0.0
656,86000,0.0
666,87000,0.0
669,88000,0.0
675,89000,0.0
687,90000,0.0
691,91000,0.0
697,92000,0.0
705,93000,0.0
712,94000,0.0
720,95000,0.0
725,96000,0.0
731,97000,0.0
736,98000,0.0
743,99000,0.0
748,100000,0.0
