# {"t_start": 1640875184.1062863, "env_id": "Office-single-v0"} 
r,l,t
0.0,57,0.001676
0.0,13,0.002045
0.0,64,0.003847
0.0,25,0.004513
0.0,6,0.004699
0.0,8,0.004937
0.0,34,0.005805
0.0,13,0.00616
0.0,34,0.007021
0.0,26,0.007706
0.0,42,0.008777
0.0,44,0.009898
0.0,47,0.011092
0.0,57,0.012505
0.0,33,0.013293
0.0,28,0.013983
0.0,57,0.015302
0.0,130,0.018449
0.0,67,0.02029
0.0,9,0.020521
0.0,41,0.021444
0.0,34,0.022277
0.0,64,0.023701
0.0,43,0.024635
0.0,31,0.025323
0.0,76,0.026952
0.0,58,0.028553
0.0,13,0.028859
0.0,67,0.030343
0.0,22,0.030872
0.0,34,0.031719
0.0,130,0.034481
0.0,40,0.035347
0.0,48,0.036507
0.0,149,0.039747
0.0,209,0.044235
0.0,26,0.044811
0.0,191,0.04903
0.0,80,0.050789
0.0,58,0.052059
0.0,40,0.052924
0.0,91,0.054933
0.0,64,0.05637
0.0,37,0.05726
0.0,118,0.05986
0.0,51,0.06103
0.0,27,0.061665
0.0,82,0.063453
0.0,24,0.064038
0.0,44,0.064999
0.0,16,0.065367
0.0,89,0.067316
0.0,2,0.067391
0.0,52,0.068532
0.0,70,0.0701
0.0,167,0.073782
0.0,44,0.074789
0.0,60,0.076126
0.0,67,0.077598
0.0,51,0.078881
0.0,55,0.080101
0.0,168,0.083788
1.0,190,0.088046
0.0,81,0.089839
1.0,382,0.098684
0.0,163,0.102255
1.0,288,0.108482
0.0,4,0.108608
0.0,6,0.108768
0.0,21,0.109247
0.0,58,0.110593
0.0,16,0.110966
0.0,81,0.112727
0.0,129,0.115518
1.0,194,0.119777
0.0,84,0.121674
1.0,122,0.124341
0.0,8,0.12455
0.0,49,0.125695
0.0,164,0.129335
0.0,142,0.132487
0.0,48,0.133624
0.0,110,0.136132
1.0,204,0.140606
0.0,27,0.141303
0.0,99,0.143468
0.0,12,0.143795
0.0,164,0.14739
1.0,275,0.153424
1.0,306,0.160181
0.0,13,0.160506
0.0,17,0.160901
0.0,178,0.164855
1.0,257,0.170826
0.0,60,0.172194
0.0,171,0.175985
0.0,32,0.176744
0.0,82,0.178552
0.0,145,0.181728
0.0,11,0.181999
0.0,194,0.186531
0.0,44,0.187533
0.0,30,0.188229
0.0,14,0.188561
1.0,323,0.195592
0.0,317,0.202379
1.0,210,0.207001
1.0,100,0.209265
0.0,128,0.212188
0.0,208,0.217289
0.0,20,0.217759
0.0,4,0.217877
0.0,77,0.219605
0.0,64,0.220991
1.0,249,0.226635
0.0,563,0.238981
1.0,230,0.24404
0.0,127,0.246988
0.0,13,0.247472
0.0,46,0.248665
1.0,100,0.250857
0.0,89,0.25288
0.0,12,0.253217
0.0,173,0.257264
0.0,85,0.259159
0.0,128,0.261955
0.0,43,0.2629
0.0,19,0.263339
1.0,143,0.266457
0.0,158,0.270434
0.0,143,0.273657
0.0,98,0.275799
0.0,246,0.281359
1.0,134,0.284427
0.0,168,0.288123
0.0,12,0.288409
0.0,10,0.288649
0.0,53,0.28981
1.0,194,0.294147
0.0,100,0.296331
0.0,98,0.298472
0.0,6,0.298634
0.0,16,0.299003
1.0,129,0.301846
0.0,108,0.304312
0.0,251,0.30978
0.0,120,0.312389
0.0,64,0.313817
0.0,43,0.314751
1.0,247,0.3202
0.0,6,0.320368
0.0,157,0.323861
0.0,212,0.328479
0.0,180,0.332402
0.0,43,0.33334
1.0,161,0.336884
0.0,34,0.337645
0.0,130,0.340514
0.0,283,0.346573
0.0,157,0.349976
0.0,2,0.350054
0.0,26,0.350633
1.0,295,0.357004
1.0,74,0.358592
1.0,173,0.36244
0.0,64,0.363913
0.0,64,0.365302
0.0,8,0.365506
0.0,8,0.365707
0.0,59,0.366996
1.0,231,0.372133
0.0,47,0.373165
0.0,25,0.373726
1.0,165,0.377333
0.0,65,0.378778
1.0,435,0.388156
1.0,148,0.391353
0.0,4,0.391472
0.0,195,0.395909
0.0,157,0.399385
1.0,195,0.403739
0.0,49,0.404814
0.0,210,0.409389
0.0,104,0.412028
0.0,163,0.41559
0.0,171,0.419351
1.0,110,0.421793
0.0,313,0.428865
0.0,130,0.431716
0.0,214,0.436422
1.0,121,0.439054
1.0,302,0.445608
0.0,11,0.445886
1.0,183,0.450133
1.0,81,0.451986
0.0,118,0.45457
1.0,162,0.458124
0.0,194,0.462959
1.0,134,0.46594
1.0,176,0.470026
1.0,218,0.474841
1.0,323,0.482416
0.0,95,0.484591
0.0,21,0.485124
1.0,77,0.486857
1.0,261,0.492787
0.0,83,0.494841
1.0,248,0.50044
1.0,241,0.505888
0.0,97,0.508103
0.0,167,0.511877
1.0,80,0.513646
0.0,170,0.517509
0.0,2,0.517588
1.0,244,0.523001
0.0,83,0.524862
0.0,19,0.525311
0.0,22,0.525816
0.0,39,0.526692
0.0,95,0.528847
1.0,225,0.53383
0.0,148,0.537128
0.0,56,0.538395
0.0,148,0.541644
0.0,149,0.544942
0.0,2,0.545044
1.0,114,0.547639
1.0,291,0.554125
0.0,62,0.555524
0.0,141,0.55865
0.0,66,0.560173
0.0,19,0.560614
1.0,123,0.563366
1.0,157,0.566844
0.0,64,0.568302
0.0,81,0.570116
0.0,14,0.570446
1.0,211,0.575051
0.0,150,0.578391
1.0,239,0.583721
0.0,102,0.585965
0.0,59,0.587344
0.0,4,0.587462
0.0,173,0.591238
0.0,40,0.592168
1.0,98,0.59428
0.0,317,0.601135
1.0,274,0.60704
0.0,41,0.608009
0.0,42,0.608929
1.0,212,0.613576
0.0,20,0.614037
0.0,24,0.614615
0.0,138,0.617617
0.0,21,0.618135
1.0,187,0.622218
1.0,215,0.626951
0.0,153,0.630318
1.0,188,0.634423
1.0,123,0.637102
1.0,395,0.645726
0.0,15,0.646077
0.0,180,0.650059
0.0,28,0.650692
1.0,73,0.652331
0.0,85,0.654527
0.0,11,0.654797
1.0,235,0.659985
0.0,51,0.66111
0.0,238,0.66628
0.0,38,0.667387
0.0,19,0.667862
0.0,130,0.670681
1.0,82,0.672497
0.0,94,0.674773
0.0,48,0.675868
0.0,37,0.676701
1.0,207,0.681255
0.0,132,0.68445
1.0,105,0.68675
0.0,15,0.687102
1.0,71,0.688687
0.0,2,0.688783
0.0,67,0.69037
0.0,14,0.690701
0.0,20,0.691154
0.0,264,0.697387
0.0,85,0.69957
0.0,29,0.700451
0.0,120,0.703039
0.0,64,0.704515
0.0,34,0.705444
1.0,47,0.706483
0.0,46,0.707542
0.0,43,0.708507
0.0,207,0.713002
0.0,64,0.714399
0.0,131,0.717309
1.0,105,0.719645
0.0,99,0.721802
0.0,33,0.722549
0.0,36,0.723411
0.0,29,0.724127
1.0,135,0.727099
1.0,160,0.730588
0.0,30,0.731261
1.0,114,0.733783
1.0,94,0.735863
0.0,154,0.739279
0.0,10,0.739566
0.0,103,0.741848
1.0,154,0.745173
0.0,52,0.74632
0.0,21,0.746796
0.0,32,0.747579
1.0,96,0.749636
0.0,66,0.751097
0.0,33,0.751855
0.0,50,0.752942
1.0,135,0.755904
0.0,18,0.756363
0.0,134,0.759325
0.0,19,0.759836
