episodes,steps,total reward
32,1000,0.0
56,2000,0.0
74,3000,4.0
91,4000,2.0
106,5000,1.0
119,6000,2.0
133,7000,2.0
145,8000,6.0
161,9000,3.0
170,10000,3.0
181,11000,3.0
197,12000,5.0
212,13000,2.0
225,14000,3.0
237,15000,2.0
246,16000,3.0
257,17000,2.0
267,18000,4.0
278,19000,3.0
287,20000,3.0
299,21000,3.0
306,22000,2.0
315,23000,2.0
325,24000,3.0
333,25000,4.0
336,26000,1.0
344,27000,3.0
351,28000,3.0
367,29000,4.0
378,30000,3.0
382,31000,1.0
391,32000,2.0
400,33000,3.0
409,34000,4.0
414,35000,2.0
416,36000,0.0
425,37000,3.0
438,38000,3.0
450,39000,3.0
461,40000,5.0
471,41000,3.0
479,42000,4.0
494,43000,4.0
505,44000,2.0
511,45000,2.0
518,46000,5.0
530,47000,5.0
541,48000,2.0
549,49000,3.0
555,50000,3.0
566,51000,1.0
571,52000,2.0
586,53000,5.0
597,54000,6.0
603,55000,4.0
615,56000,6.0
624,57000,3.0
635,58000,4.0
646,59000,4.0
658,60000,5.0
668,61000,5.0
679,62000,4.0
690,63000,5.0
707,64000,5.0
717,65000,4.0
731,66000,4.0
738,67000,5.0
752,68000,8.0
769,69000,7.0
779,70000,5.0
787,71000,4.0
798,72000,5.0
810,73000,7.0
827,74000,8.0
841,75000,7.0
850,76000,4.0
860,77000,4.0
879,78000,9.0
891,79000,6.0
907,80000,7.0
923,81000,9.0
940,82000,9.0
955,83000,8.0
963,84000,4.0
979,85000,7.0
995,86000,6.0
1002,87000,4.0
1026,88000,14.0
1041,89000,10.0
1060,90000,5.0
1079,91000,9.0
1095,92000,11.0
1112,93000,9.0
1126,94000,7.0
1139,95000,9.0
1150,96000,8.0
1159,97000,4.0
1165,98000,5.0
1175,99000,8.0
1178,100000,2.0
