# {"t_start": 1641716344.4243176, "env_id": "Office-v0"} 
r,l,t
0.0,54,0.001995
0.0,15,0.002546
0.0,5,0.002767
0.0,4,0.00295
0.0,30,0.003932
0.0,55,0.005727
0.0,81,0.008373
0.0,11,0.008802
0.0,22,0.009554
0.0,15,0.010087
0.0,13,0.010548
0.0,35,0.011744
0.0,42,0.012992
0.0,57,0.014689
0.0,27,0.015494
0.0,39,0.016592
0.0,5,0.016763
0.0,15,0.017187
0.0,8,0.017443
0.0,8,0.017703
0.0,31,0.018556
0.0,10,0.018854
0.0,11,0.019186
0.0,28,0.019956
0.0,25,0.020656
0.0,12,0.020989
0.0,36,0.021889
0.0,36,0.022818
0.0,14,0.023189
0.0,47,0.024381
0.0,39,0.02535
0.0,25,0.02602
0.0,8,0.02625
0.0,143,0.02999
0.0,16,0.030443
0.0,20,0.030959
0.0,36,0.031843
0.0,22,0.032384
0.0,40,0.033368
0.0,22,0.033933
0.0,38,0.034882
0.0,8,0.035112
0.0,54,0.036449
0.0,2,0.036528
0.0,66,0.038135
0.0,13,0.038472
0.0,24,0.039075
0.0,31,0.039883
1.0,98,0.042369
0.0,83,0.044403
0.0,35,0.045279
0.0,10,0.045599
0.0,35,0.046548
0.0,45,0.047652
0.0,81,0.049672
0.0,13,0.050016
0.0,151,0.053843
0.0,21,0.05439
0.0,99,0.057009
0.0,9,0.057258
0.0,52,0.05864
0.0,44,0.059726
0.0,29,0.060447
0.0,10,0.060722
1.0,47,0.061895
0.0,69,0.063558
0.0,12,0.063882
0.0,29,0.064617
1.0,37,0.065544
0.0,61,0.067023
0.0,73,0.068811
0.0,36,0.069727
1.0,69,0.07151
0.0,97,0.07397
0.0,41,0.075003
0.0,59,0.076445
1.0,77,0.07834
0.0,91,0.08137
0.0,34,0.082294
0.0,24,0.082906
1.0,82,0.085013
0.0,51,0.086544
0.0,77,0.088494
0.0,50,0.089827
1.0,111,0.092667
0.0,113,0.095588
0.0,24,0.09623
0.0,19,0.096715
