# {"t_start": 1641115554.6023252, "env_id": "Office-single-v0"} 
r,l,t
0.0,2,0.000253
0.0,18,0.000843
0.0,25,0.001437
0.0,32,0.002192
0.0,30,0.002913
0.0,61,0.004369
0.0,15,0.004746
0.0,43,0.00574
0.0,21,0.006245
0.0,5,0.006392
0.0,33,0.007162
0.0,63,0.008641
0.0,24,0.009205
0.0,4,0.009342
0.0,16,0.009718
0.0,38,0.010584
0.0,81,0.01249
0.0,48,0.013579
0.0,20,0.014046
0.0,36,0.014886
0.0,106,0.017255
0.0,42,0.018234
0.0,28,0.018886
0.0,40,0.019812
0.0,73,0.021459
0.0,54,0.022676
0.0,69,0.024515
0.0,14,0.024874
0.0,91,0.026933
0.0,68,0.028463
0.0,162,0.03209
0.0,151,0.035583
0.0,93,0.037694
0.0,33,0.038462
0.0,103,0.040818
0.0,4,0.040943
0.0,96,0.043089
0.0,105,0.045429
0.0,77,0.047473
0.0,54,0.048706
0.0,50,0.049847
0.0,39,0.050736
0.0,123,0.053504
0.0,122,0.056267
0.0,32,0.057025
0.0,50,0.058171
0.0,43,0.059159
0.0,37,0.060017
0.0,71,0.06163
0.0,42,0.062581
0.0,160,0.066126
0.0,49,0.067252
0.0,56,0.06853
0.0,97,0.071084
0.0,32,0.071944
0.0,137,0.075068
0.0,33,0.075876
0.0,115,0.078473
0.0,115,0.081628
0.0,51,0.082807
0.0,51,0.084036
0.0,59,0.085386
0.0,125,0.088391
0.0,83,0.090273
0.0,10,0.090531
0.0,20,0.091005
0.0,96,0.093155
0.0,68,0.09487
0.0,19,0.095332
0.0,168,0.099107
0.0,66,0.100606
0.0,68,0.102159
0.0,31,0.102879
0.0,2,0.102954
0.0,20,0.103426
0.0,29,0.104113
0.0,113,0.106655
0.0,402,0.115561
0.0,350,0.123493
0.0,108,0.12599
0.0,181,0.130015
0.0,60,0.131375
0.0,139,0.134481
0.0,32,0.135227
0.0,15,0.135632
0.0,10,0.135889
0.0,51,0.137075
0.0,66,0.13857
0.0,74,0.14055
0.0,40,0.141481
0.0,116,0.144139
0.0,289,0.150633
0.0,164,0.154357
0.0,188,0.158548
0.0,129,0.161524
0.0,232,0.167009
0.0,95,0.169198
0.0,223,0.174217
0.0,58,0.175542
0.0,81,0.177376
0.0,268,0.183778
0.0,366,0.192135
0.0,36,0.192971
0.0,85,0.194945
0.0,116,0.197706
0.0,16,0.198094
0.0,106,0.200537
0.0,22,0.201064
0.0,94,0.203235
0.0,5,0.203378
0.0,46,0.204654
0.0,69,0.206216
0.0,142,0.209693
0.0,891,0.229767
0.0,93,0.232239
0.0,368,0.240463
0.0,106,0.242887
0.0,56,0.244174
0.0,10,0.244435
0.0,319,0.251527
0.0,384,0.260524
0.0,17,0.260945
0.0,104,0.263341
0.0,46,0.264409
0.0,8,0.264623
0.0,12,0.264923
0.0,30,0.265623
0.0,62,0.267035
0.0,44,0.268048
0.0,7,0.268242
0.0,128,0.271369
0.0,23,0.271958
0.0,410,0.281301
0.0,33,0.282088
0.0,75,0.283775
0.0,100,0.286023
0.0,39,0.286956
0.0,59,0.288399
0.0,99,0.290616
0.0,134,0.293698
0.0,34,0.294487
0.0,155,0.297943
0.0,18,0.298386
0.0,313,0.305781
0.0,195,0.310467
0.0,91,0.3127
0.0,60,0.314107
0.0,60,0.315513
0.0,81,0.317385
0.0,212,0.322201
0.0,65,0.323721
0.0,436,0.333957
0.0,254,0.339739
0.0,17,0.340158
0.0,208,0.344833
0.0,27,0.345473
0.0,96,0.347874
0.0,28,0.348611
0.0,13,0.348932
0.0,262,0.354785
0.0,74,0.356493
0.0,56,0.357794
0.0,18,0.358232
0.0,22,0.358754
0.0,48,0.359842
0.0,18,0.360271
0.0,100,0.362552
0.0,214,0.367564
0.0,23,0.368153
0.0,205,0.373031
0.0,39,0.373938
0.0,14,0.374284
0.0,89,0.376363
0.0,72,0.378024
0.0,48,0.379199
0.0,74,0.380924
0.0,12,0.381225
0.0,67,0.382767
0.0,75,0.384477
0.0,13,0.384805
0.0,30,0.385511
