# {"t_start": 1641719836.139356, "env_id": "Office-single-v0"} 
r,l,t
0.0,31,0.00106
0.0,15,0.001489
0.0,48,0.002667
0.0,61,0.004066
0.0,33,0.004829
0.0,17,0.005239
0.0,13,0.005565
0.0,35,0.00636
0.0,9,0.006659
0.0,25,0.007259
0.0,15,0.007668
0.0,24,0.008214
0.0,15,0.008581
0.0,25,0.009159
0.0,11,0.009472
0.0,13,0.009824
0.0,18,0.010248
0.0,41,0.011215
0.0,15,0.011586
0.0,30,0.012291
0.0,47,0.013423
0.0,32,0.014168
0.0,20,0.01468
0.0,158,0.018333
0.0,18,0.01882
0.0,95,0.021127
0.0,16,0.021501
0.0,131,0.024659
0.0,43,0.025646
0.0,41,0.026594
0.0,14,0.026923
0.0,38,0.027749
0.0,32,0.028485
0.0,37,0.029301
0.0,16,0.029667
0.0,31,0.030353
0.0,30,0.031209
0.0,71,0.032749
0.0,100,0.035105
0.0,98,0.037191
0.0,64,0.038638
0.0,4,0.038754
0.0,11,0.039018
0.0,108,0.041417
0.0,42,0.042372
0.0,8,0.04258
0.0,20,0.043047
0.0,8,0.043257
0.0,16,0.043643
0.0,15,0.044065
0.0,39,0.04493
0.0,67,0.04652
0.0,88,0.04866
0.0,82,0.050448
0.0,164,0.053923
0.0,72,0.055527
0.0,20,0.055983
0.0,24,0.056564
0.0,148,0.06018
0.0,109,0.062624
0.0,37,0.063457
0.0,85,0.065361
0.0,74,0.066985
0.0,58,0.068244
0.0,251,0.074126
0.0,177,0.077998
0.0,80,0.079958
0.0,133,0.083009
0.0,22,0.083598
0.0,29,0.084266
0.0,41,0.085212
0.0,57,0.086619
0.0,52,0.087796
0.0,50,0.088918
0.0,78,0.090721
0.0,42,0.09167
0.0,10,0.091914
0.0,230,0.097346
0.0,70,0.098964
0.0,15,0.099332
0.0,67,0.100826
0.0,40,0.101729
0.0,17,0.102168
0.0,82,0.104021
0.0,59,0.105386
0.0,106,0.107815
0.0,12,0.108111
0.0,22,0.108624
0.0,251,0.11463
0.0,156,0.118355
0.0,99,0.120832
0.0,49,0.122016
0.0,25,0.122638
0.0,75,0.124817
0.0,149,0.128229
0.0,77,0.129929
0.0,128,0.133112
0.0,277,0.13927
0.0,15,0.139637
0.0,132,0.142825
0.0,57,0.144131
0.0,18,0.144566
0.0,141,0.147974
0.0,22,0.148523
0.0,293,0.155182
0.0,11,0.155464
0.0,592,0.168992
0.0,283,0.175411
0.0,63,0.176874
0.0,20,0.177379
0.0,139,0.180515
0.0,33,0.181273
0.0,79,0.183061
0.0,229,0.188491
0.0,82,0.190332
0.0,211,0.195301
0.0,93,0.19738
0.0,138,0.200456
0.0,73,0.202099
0.0,95,0.204375
0.0,601,0.218148
0.0,68,0.219698
0.0,351,0.227709
0.0,146,0.230937
0.0,14,0.231277
0.0,26,0.231882
0.0,68,0.233634
0.0,25,0.23421
0.0,85,0.236158
0.0,21,0.236656
0.0,127,0.239562
0.0,31,0.240278
0.0,60,0.241626
0.0,89,0.243654
0.0,47,0.244737
0.0,84,0.246859
0.0,146,0.25009
0.0,8,0.250299
0.0,402,0.259556
0.0,117,0.262248
0.0,38,0.263199
0.0,57,0.264485
0.0,182,0.268792
0.0,88,0.270802
0.0,119,0.273468
0.0,97,0.27571
0.0,88,0.27769
0.0,83,0.279816
0.0,189,0.284053
0.0,92,0.28618
0.0,27,0.286833
0.0,29,0.287535
0.0,63,0.289126
0.0,63,0.290589
0.0,91,0.292824
0.0,82,0.29484
0.0,112,0.297318
0.0,102,0.299729
0.0,57,0.301025
0.0,68,0.302819
0.0,218,0.307646
0.0,380,0.316076
0.0,13,0.316401
0.0,247,0.321937
0.0,2,0.322015
0.0,13,0.32233
0.0,99,0.324577
0.0,26,0.325414
0.0,60,0.326778
0.0,183,0.330971
0.0,7,0.331163
0.0,459,0.341549
0.0,206,0.346222
0.0,15,0.346594
0.0,8,0.346799
0.0,165,0.350731
0.0,145,0.354132
0.0,15,0.354539
0.0,823,0.372936
0.0,81,0.374889
0.0,55,0.376136
0.0,219,0.381018
0.0,31,0.381735
0.0,13,0.382053
0.0,42,0.382996
0.0,15,0.383388
0.0,154,0.386812
0.0,21,0.387313
0.0,64,0.38878
0.0,194,0.393198
0.0,20,0.393944
0.0,21,0.39454
0.0,178,0.398516
0.0,16,0.398909
0.0,111,0.401418
0.0,49,0.402538
0.0,293,0.409147
0.0,1000,0.43162
0.0,40,0.43255
0.0,16,0.432934
0.0,101,0.435188
0.0,64,0.436638
0.0,14,0.436982
0.0,9,0.43721
0.0,27,0.437902
0.0,288,0.444632
0.0,19,0.44508
0.0,193,0.449371
0.0,152,0.453143
0.0,1000,0.475828
0.0,96,0.478007
0.0,89,0.480036
0.0,4,0.480157
0.0,24,0.480717
0.0,114,0.483268
0.0,502,0.494682
0.0,6,0.494856
0.0,6,0.49502
1.0,79,0.496794
0.0,144,0.500012
0.0,32,0.500835
0.0,16,0.50122
0.0,216,0.505994
0.0,55,0.507257
0.0,142,0.510859
0.0,45,0.511915
0.0,118,0.514545
0.0,126,0.517314
0.0,9,0.51755
0.0,128,0.520392
0.0,458,0.530754
0.0,44,0.531875
0.0,132,0.534878
0.0,23,0.535418
0.0,91,0.537439
0.0,66,0.538945
0.0,39,0.53984
0.0,29,0.540514
0.0,28,0.541152
0.0,7,0.541337
0.0,107,0.543748
0.0,190,0.548364
0.0,194,0.552758
0.0,11,0.553039
0.0,59,0.55462
0.0,33,0.555376
0.0,52,0.556554
0.0,170,0.560439
0.0,82,0.562322
0.0,105,0.564851
0.0,301,0.571742
0.0,77,0.57348
0.0,22,0.573998
0.0,68,0.575537
0.0,44,0.576549
0.0,71,0.578379
0.0,252,0.584035
0.0,799,0.60217
0.0,539,0.614384
0.0,39,0.615309
0.0,41,0.616282
0.0,105,0.61866
0.0,390,0.627688
0.0,96,0.629852
0.0,44,0.630863
0.0,382,0.639358
0.0,16,0.639748
0.0,121,0.642778
0.0,343,0.650575
0.0,31,0.651296
0.0,100,0.65366
0.0,492,0.664768
0.0,136,0.667926
0.0,15,0.668299
0.0,74,0.670224
0.0,68,0.671777
0.0,119,0.674461
0.0,2,0.674538
0.0,8,0.674746
0.0,112,0.67738
0.0,569,0.689914
0.0,16,0.69031
0.0,166,0.694229
0.0,2,0.694305
0.0,519,0.706103
