episodes,steps,total reward
29,1000,0.0
47,2000,0.0
61,3000,0.0
78,4000,0.0
89,5000,0.0
103,6000,0.0
109,7000,0.0
118,8000,0.0
119,9000,0.0
124,10000,0.0
135,11000,0.0
140,12000,0.0
152,13000,0.0
158,14000,0.0
172,15000,0.0
182,16000,0.0
188,17000,0.0
191,18000,0.0
200,19000,0.0
209,20000,0.0
213,21000,0.0
226,22000,0.0
229,23000,0.0
234,24000,0.0
242,25000,0.0
253,26000,0.0
265,27000,0.0
271,28000,0.0
281,29000,0.0
287,30000,0.0
294,31000,1.0
303,32000,0.0
313,33000,0.0
324,34000,0.0
330,35000,0.0
336,36000,0.0
343,37000,0.0
349,38000,0.0
354,39000,0.0
358,40000,0.0
370,41000,0.0
380,42000,0.0
388,43000,1.0
392,44000,0.0
399,45000,0.0
404,46000,0.0
410,47000,0.0
412,48000,1.0
419,49000,0.0
430,50000,0.0
441,51000,1.0
445,52000,0.0
450,53000,0.0
454,54000,0.0
461,55000,0.0
467,56000,0.0
477,57000,0.0
486,58000,0.0
489,59000,0.0
495,60000,2.0
505,61000,1.0
512,62000,0.0
522,63000,0.0
529,64000,0.0
538,65000,2.0
544,66000,0.0
555,67000,0.0
562,68000,1.0
568,69000,2.0
582,70000,1.0
592,71000,0.0
600,72000,0.0
605,73000,0.0
613,74000,0.0
618,75000,0.0
620,76000,0.0
633,77000,1.0
640,78000,0.0
650,79000,1.0
651,80000,0.0
657,81000,0.0
664,82000,1.0
669,83000,0.0
676,84000,2.0
680,85000,0.0
685,86000,1.0
691,87000,0.0
704,88000,1.0
709,89000,1.0
716,90000,1.0
723,91000,0.0
728,92000,0.0
737,93000,2.0
741,94000,0.0
750,95000,1.0
753,96000,0.0
764,97000,3.0
770,98000,1.0
777,99000,0.0
782,100000,0.0
