episodes,steps,total reward
25,1000,0.0
43,2000,0.0
55,3000,0.0
64,4000,0.0
68,5000,0.0
71,6000,0.0
78,7000,0.0
85,8000,0.0
98,9000,0.0
111,10000,0.0
118,11000,0.0
125,12000,0.0
140,13000,0.0
147,14000,0.0
156,15000,0.0
163,16000,0.0
173,17000,0.0
177,18000,0.0
181,19000,0.0
188,20000,0.0
202,21000,0.0
208,22000,0.0
214,23000,0.0
218,24000,0.0
226,25000,0.0
235,26000,0.0
238,27000,0.0
246,28000,0.0
253,29000,0.0
261,30000,0.0
269,31000,0.0
278,32000,0.0
289,33000,0.0
296,34000,0.0
304,35000,0.0
314,36000,1.0
318,37000,0.0
329,38000,0.0
335,39000,0.0
347,40000,0.0
355,41000,0.0
361,42000,0.0
364,43000,0.0
374,44000,1.0
379,45000,0.0
386,46000,0.0
393,47000,0.0
400,48000,0.0
405,49000,0.0
412,50000,1.0
418,51000,0.0
424,52000,0.0
436,53000,0.0
439,54000,0.0
448,55000,0.0
456,56000,0.0
463,57000,0.0
470,58000,2.0
479,59000,1.0
492,60000,0.0
498,61000,0.0
505,62000,1.0
513,63000,0.0
526,64000,0.0
535,65000,0.0
541,66000,0.0
552,67000,2.0
560,68000,1.0
568,69000,0.0
570,70000,0.0
582,71000,0.0
588,72000,1.0
604,73000,1.0
618,74000,1.0
623,75000,0.0
629,76000,0.0
633,77000,0.0
640,78000,1.0
644,79000,0.0
647,80000,0.0
653,81000,1.0
659,82000,1.0
663,83000,0.0
668,84000,0.0
677,85000,0.0
679,86000,0.0
684,87000,1.0
689,88000,0.0
693,89000,1.0
703,90000,2.0
707,91000,1.0
713,92000,0.0
718,93000,0.0
722,94000,1.0
728,95000,0.0
738,96000,2.0
747,97000,1.0
752,98000,1.0
758,99000,2.0
763,100000,0.0
